PROLIFIC_PID,story,summary,game,words
6518353efd6c167905451597,bonus,"Steve, a team leader, was tasked with allocating a bonus. Steve had to make a choice of whether to keep the full bonus himself, or allocate a portion to his teammate who contributed significantly to their success.",dglt,37
5c9b1b5c441b4700179b17b2,aid,"James, who has been struggling financially, just received word that he had been approved for welfare. He ran into a neighbor, Mark, when he went to collect his welfare payment and found out that Mark had also applied for welfare but was denied. Now James is wondering if he should keep the money for himself of give some of it to Mark. ",dgkw,62
591b3e133d3e900001045a7b,bonus,"Steve was awarded a bonus for his team's strong performance, however he is able to allocate some of that bonus to his team as he feels right.",dglt,27
613c5fcc8a7d1e33398ada27,bonus,Steve has received a bonus for his team having exceeded their sales target. He has the option to keep the full bonus for himself or share it with his teammate Max if he wants. ,dgkw,34
637b9edf2a2055bf16796ae6,bonus,Steve has to choose whether to keep the bonus for himself or share it with Max. Max's contribution to the project was considerable.,dglt,23
61449811f485875be5126622,aid,James has unexpectedly been awarded some funds which he was badly in need of. He has a dilemma as to whether to now help a neighbour who is short of funds and has no award.,dgkw,35
6759980d797dbe50150130e0,aid,Both James and Mark had applied for financial aid however James found out that only he was successful and Mark didn't receive any money. He is wondering if he should give some to Mark to assist as he knows he is struggling as well,dglt,44
665f5b11085e3574cdc7cde3,bonus,Steve earned a performance bonus and he was presented with the option to give some to his colleague Max,dgkw,19
5f30fff39031820144a7b83f,bonus,"Steve was talked by a company director that his team was being awarded a bonus. The director said that the allocation of the bonus was up to Steve. He could keep all of it, or share it with another colleague Max.",dgkw,41
6712c14c23a005c694db2818,bonus,Team awarded a bonus and the team leader was allocated the full amount of bonus. He recognises a colleague had a significant impact with the pitch presentation and now faces the dilemma of giving some of the bonus to them or keeping all to himself.,dglt,45
665cbb56d9ecb20564b9b607,bonus,"Steve's work team has been awarded a bonus for exceeding their sales goals.  Steve's boss tells him that actually, the entire bonus is allocated to him - however he can decide to share it with her teammate.  Steve is torn on what to do",dgkw,44
5e0e1b8800a6bf000a694f79,aid,James was having problems with money so he applied for welfare. While going to collect his welfare funds he ran into a neighbor that was unfortunately rejected from receiving the same benefits. James is now torn between sharing what he received or keeping it for himself.,dgkw,46
59296fb2e8a7ff000163f033,aid,"James was struggling but found out that he was able to recieve financial assistance.  He is now struggling with the option to help his neighbor mark, or not, since mark wasnt selected but needs help.",dglt,35
65b17c3a6264a7353dc9ed4b,bonus,Steve is given a performance bonus at work for exceeding his sales target. he can choose whether to keep all the bonus for himself or whether he gives some of it to his colleague Max who contributed to the project. the decision of what to do with the bonus is Steve's. ,dglt,51
681485b41e4f472801db525a,aid,james receives welfare money and his neighbour did not. they are both struggling financially so should james give mark some money,dglt,21
61088c529cff73b187d19e6d,bonus,Steve worked as team leader on a project and they received a bonus for surpassing their sales target. His director said Steve was going to get the full bonus and it was up to Steve if he kept it all or shared it with his teammate Max. ,dgkw,47
60e769ec9858960e8ad00886,bonus,"Steve and his team was awarded a performance bonus.  He was given the bonus and had to choose if he would allocate any to his teammate, Max.",dgkw,27
66771ec9708546e39a3e18c5,bonus,Steve has won a bonus for his team exceeding their sales target. Max is his teammate who has made a significant contribution to this success. Steve has to decide whether to keep the bonus or to share some with Max.,dglt,40
5e175705cfe8dc000b559793,aid,"a man got selected to receive funds to aid expenses and now is thinking of sharing the money with someone else that is also struggling, ",dglt,25
6839b6137cc1aa27ad7b85b7,aid,James is faced with the dilemma if to share his government aid with another struggling neighbour who was rejected for the same grant,dgkw,23
5b50881a59119400018abaf3,aid,James was struggling financially and was awarded government aid.  His acquaintance Mark was also struggling but was not awarded the aid.  James had to decided whether or not to share his aid with Mark.,dgkw,34
6765b501bf830acd8f0e20ba,aid,"James was struggling financially and has just been approved for government help. His neighbour, Mark, also applied for government help but his application was declined. ",dgkw,25
601ecf037d641438c0840330,aid,"Two men applied for government assistance with financial hardship. James was awarded the full aid amount, whilst his aquaintance Mark received nothing. ",dgkw,22
5f3ac20029c84574e35b3193,aid,"James was struggling financially, and he got approved for some financial support from a government welfare agency that he had applied to months ago. His neighbor also applied but wasn't selected. James can choose to either keep the money he received for himself or share some with his neighbor.",dgkw,49
6775d2dc10021f9d74ab65aa,aid,"James was struggling financially so applied to an governmental aid programme, he was chosen to receive assistance from this agency. On his way to collect the payment, he met with his neighbour who had also applied but not been selected, James now needs to decide to keep all of the funds or share the money with Mark.",dglt,57
5ebd495e39fb6f017b95054a,aid,"James in having financial difficulties and has been selected to receive government aid, but his neighbour Mark's application for funds was unsuccessful. On learning of this, James has to decide whether to use any of his aid to support Mark.",dglt,40
5a68f15b31b87a0001c75c00,aid,"James was finally accepted into a financial assistance program which he really needed. He was struggling with a decision in which to help an aquaintance, Mark with his money troubles.",dgkw,30
6122b9ffce05d8e56860755a,bonus,"Steve, team leader, was awarded a bonus at work as his team had exceeding the sales target. He could share with his team mate Max if he wishes- Max put in a lot of effort to reach these targets. Should he give some bonus to Max or keep it all himself?",dgkw,51
5c4c870af267d70001e6b998,aid,"James was struggling financially and having applied for financial aid, got accepted and on his way to collect, he met his neighbour who had been declined for the aid, albeit in a similar financial situation. Should James split his aid with his neighbour or not?",dglt,45
661151ff8c5fd442ef11a4de,aid,"I think that James should look at his finances and determine if he has money available to share with Mark.  If not, he should keep the full amount.",dgkw,28
6128ac21a266b9cf5decd445,bonus,Steve's team got a bonus but it forgot Max. Steve had to decide whether to include Max or not. ,dgkw,19
5f008359d27e1c01c7b6c603,bonus,"Steve's team were awarded a bonus for exceeding their sales target. Steve was given the bonus and told that he could either keep it all or give some to his colleague Max, who made important contributions to the team. ",dgkw,39
5b0712a66c2e20000157909c,aid,"James had some financial issues and applied for an aid programme offered by a government welfare agency. James was selected and upon going to the agency to collect the money, he met one of his neighbours, Mark. James learnt that Mark also applied to the aid programme but was not selected. James thought about splitting his aid money with Mark but he was not sure.",dglt,65
5c2e6546af699500010f521a,bonus,"Steve has been awarded a bonus, and wonders if he should give a share of it to Max",dglt,18
62029c5aef1cb18a1337c9c8,aid,James was struggling with money so applied for his some financial help. A few weeks later his application was accepted. On his way to the agency he saw his neighbour who had also applied for the fund but he was not chosen to receive any help. ,dglt,46
66ab133269c32d3d854e9dde,aid,"James was having financial difficulties so applied for assistance. He was successful and went to collect, upon collecting he met an acquaintance who had been declined and now there is the moral dilemma of keeping to himself or splitting   ",dgkw,39
5ba0181462e04c0001f76d2b,aid,"James applied for some funding because he was struggling and discovered his application was successful. Mark, James' neighbour also applied for funding but his application wasn't successful. James was conflicted about keeping the money for himself or sharing some with Mark. ",dglt,41
5754420617f79f0007fbcd4a,aid,"James applied for a government financial grant to provide him additional support, which he was approved for. When he went to collect the money he came across an acquaintance who had also applied but was not accepted. James felt a dilemma about whether to keep the money he had been granted to himself or to share it with the acquaintance. ",dgkw,60
5ccb3fb3d322be00155c9fce,bonus,Steve's team was rewarded with a bonus for hitting their targets. Steve is the team leader so can choose whether to keep the whole bonus for himself or split it with Max,dglt,32
668ee4ea1d03ca7693e83297,bonus,"Steve's Team have been awarded a performance bonus but, Steve now needs to decide whether to keep the full bonus for himself or give some of it to Max who significantly contributed to the Team's success. I think that Steve should give some of the bonus to Max as, this is only fair.  If possible, he should really share it between all of his Team, if they all contributed to the Team's success but, this isn't given to Steve as an option.",dgkw,82
6596be88a11683cdae324f1b,bonus,"Steve was awarded a bonus, but he worked on a team so he could allocate a bonus to his teammate too. ",dgkw,21
67a7f30d7c432b5b7486ece5,bonus,Steve and his team were awarded a performance bonus for exceeding their sales target.  The director tells Steve he will get the full bonus because he was the team leader and he can decide if he wants to share it with Max or not.  Max made a significant contribution to the team's success.  ,dgkw,53
673f9f15c3b14aea08b0a731,aid,"James, who was struggling with finances, unexpectedly received government financial aid. When he went to collect the money from the government agency, he found a neighbor, Mark, there. Mark had also been going through financial hardship. But hard not been selected to receive aid. James' dilemma now is whether to share some of the money he received, with Mark, considering he and Mark did not have a close relationship, just an acquaintanceship.",dglt,72
60e57112c8726a1f5cf5c63a,bonus,Steve and his team were awarded a bonus as they exceeded their sales target. The full bonus was allotted to Steve and down to him whether he splits it with his other team mate Max as he also contributed significantly to the success,dgkw,43
573d5914f3580b000ece4529,bonus,Steve has been awarded a bonus. He will recieve the full amount and it is up to him if he allocates some of that bonus to his team mate Max.,dgkw,30
610659e2d2015c331933c919,aid,James ana Mark were neighbours  they are both struggling for money  They both applied for financial help from the government  James got this and Mark did not James was not sure if he should share the money witrh Mark,dgkw,39
57bdd76370808a00012d9829,bonus,"i would give a portion to max, as he supported the work ",dgkw,12
617452347986aeaf4d2e5278,aid,"James was down on his luck and out of nowhere, he was selected to receive financial aid. When he went to the agency to collect his aid, his neighbor Mark was there and had applied but wasn't selected for the aid and this makes James unsure if he should help out Mark.",dgkw,52
594016e06ee2c800016c09d1,bonus,Steve has been told he has been given a full bonus for his teams performance in achieving their sales goal. He has the opportunity to have it all to himself or to share with his team. He feels the bonus is a good recognition of all his work.,dglt,48
5fc10a4e1de4be09d6c3d2e7,bonus,"steves team did well and was given a bonus, because steve was the leader he was given the potion to keep the full bonus or split it with his team ",dglt,30
5ad8dbe2e34a050001b83eac,bonus,Steve was advised by the director that as a reward for exceeding his sales target he would receive a performance bonus.  Steve needs to decide if he will keep the full bonus or give some to Max who made a significant contribution to the team's success.,dglt,46
60a2a8570a0f9cc00d6b9d1a,aid,"James who was struggling financially found out he would be received financial aid. His neighbor also struggling did not get approved for aid. James had a choice, should he share the money with his neighbor Mark?",dgkw,36
5e4eb1de8e6da203e5b070ca,aid,"James was struggling financially until he unexpectedly received an offer of government welfare. His dilema was whether or not he should she his good fortune with his neighbor and 
acquaintance Mark who was also struggling financially.",dgkw,36
65a4598a91a3f0e75374a8c4,bonus,"Steve and his team was awarded a perfomance bonus for how good they did at sales. The director said that the bonus was allocated to Steve alone, but that Steve could split it with his teammate Max, who contributed to their shared success significantly, if he wanted to, but didn't have to either.",dglt,53
667b36a0609df7ce1b55b889,bonus,"Steve has received a performance bonus from work for exceeding their sales targets. His team leader has allocated him the full bonus, but suggested that he may share it with his colleague Max if he likes - Steve now has to decide whether to keep all of the money or share it with Max.",dgkw,54
5fc3d41149c0c8728f07b95b,aid,"James who was going through a tough time financially got an email from the government welfare agency that he was going to get financial assistance. His neighbor, mark who applied wasn't selected, so James thought about giving some of his aid to mark or not.",dgkw,45
5ff082234cfb7df5d6371e99,aid,"James received financial assistance, and he learned that his neighbor also applied but didn't receive any. James is deciding whether or not to share the money. ",dgkw,26
5acbd1ecf69e940001d9cd4d,bonus,Steven is being given a bonus as team leader.  He can decide how much he wants to give to Max if he chooses to do so.,dgkw,26
60991dd496888904e9201093,bonus,"Steve earned a performance bonus for exceeding a sales target. He was asked to decide whether to keep the full bonus to himself, or split it with his teammate, Max. ",dglt,30
6318be45a49442eee3a88cb3,bonus,Steve worked on a project with Max and was awarded the full bonus. He had to decide to keep it for himself or share with Max.,dgkw,26
60f6ce6de6cf393bcde0c14d,aid,"After applying months ago for welfare assistance, James finally received notification that he was approved. When he went down to the welfare office he met his neighbor Mark. Unfortunately Mark was denied benefits. Both men were in need of funds. James was trying to figure out of he should keep all the funds he received for himself, or if he should or could give some to Mark.",dglt,67
66c2c77d5b9a0a6d850046bb,aid,"James and his neighbor Mark both applied for financial assistance since they are struggling. James received his financial assistance, but Mark did not. James is wondering if he should give some money to Mark or keep it for himself.",dgkw,39
5d43d8751e6eef00171decb2,aid,"One person, from 2, is going to received government help. 
We dont know the criteria of that help. 
We dont know the other person's situation and why they did not receive the help. 
The story ends with a question  - share or keep? We need more info to make an informed choice. ",dglt,52
6761b4cda64b81cef846d06b,bonus,"Steve's team has exceeded their sales target and been allocated a performance bonus. Steve felt this justified his efforts in the last few weeks. The director informed Steve that the allocation of the final bonus was up to him as team leader, and he could choose to allocate none, or some, to his teammate Max. ",dglt,55
60f20aac9a3cd813c94175b4,bonus,"Steve spent weeks intensley working on a project and as it has been a success he has recieved a full bonus to himself, but he can choose to give some to Max who also made a significant contrabution to the teams success",dglt,42
579f55486475d400015ab683,aid,James has received financial aid from a welfare agency. This will help him. His neighbour also applied but was declined. Should he help his neighbour financially?,dglt,26
65c63f9b7a891fff8a4c45a2,aid,"James was struggling financially and had applied to a government welfare agency months ago.  He received notice that he was accepted to the program and would be receiving the full amount to help him with his expenses.  As we was on his way to collect the money, he ran into an acquaintance of his, named Mark.  Mark was also struggling financially, but did not receive any help from the agency.  Now James had to decide if he was going to keep all the money for himself or give some of it to Mark.",dglt,93
6009f30d89becb1172102508,bonus,"Steve's team was awarded a performance bonus for exceeding sales targets. Steve has to decide whether to split this bonus with Max, which I think he should do.",dglt,28
613b89f37101459d36a4768f,aid,"On the way to collect a government agency sponsored fund he desperately needed, James encountered his neighbour Mark, who had also applied for the fund, but was rejected.  Now James faces a dilemma - should he be altruistic, and help Mark, or not?   ",dglt,43
5a0d8077f2e3460001edb910,aid,"James is struggling financially as well as his neighbour Mark. James received government money, but Mark was not chosen so James is now struggling in his decision to keep all the money or share it. ",dgkw,35
60006a6a784be00d525ad974,bonus,A major performance target was reached so a bonus was offered to Steve. He has the opportunity to split this with his teammate who also contributed a lot.,dgkw,28
66703d3e1078fb050306b4bc,aid,"James is going through a rough patch, he's selected for some welfare assistance. His neighbour applied but wasn't successful. James is debating about sharing his financial assistance ",dgkw,27
5f26ce69087bee36e846e2cb,aid,"James is struggling, gets financial assistance. Meets up with neighbour Mark who is also struggling but not getting any assistance. Dilemma is - should James give anything to Mark.",dglt,29
5cadbee8470c560001de5739,bonus,"Man works hard, gets a reward, and he feels good about it. His boss offers to let him keep the bonus or split it with his teammate.",dglt,27
6053790f2babfba77b1cfebb,bonus,"After much hard work and long hours by Steve, his director told him his team were to be given a bonus for exceeding their sales target, giving him the option to share it with his colleague, Max. Steve had a dilemma; keep all the bonus or share with Max, who had contributed greatly to the team's success? ",dglt,57
5f5a07190adc3903dfa338e5,aid,James was skint and received a lifeline payment from the government. Mark a neighbour was in a similar boat but wasn;t as successful with the government payout. Mark was in a quandry as to whether to gift some of the money to James,dgkw,43
5a09ebdf087f2e0001eae39f,bonus,Steve and his team exceeded their sales target and Steve was given the bonus alone. He was told he can deicde whether he keeps it all or shares it with his teammate. ,dglt,32
62964d27c2b2866faa677493,bonus,steve's team had been awarded a bonus. he was informed the bonus would be given to him and it was up to him how he wanted to divide it.,dglt,29
67f4274eae050958d2d5ced6,bonus,"Steve was given the decision on how to decimate the bonus for his team, or keep it all for himself.  It would only be fair that Steve give some to Max for his contributions because without them they may not have had the stellar sales.",dglt,45
605afaf6817151e6d9e890cd,bonus,He should allocate some to Max. This will increase trust and reward in the workplace,dglt,15
5dd32432e0b21b3472c20ebe,aid,James was struggling and was awarded financial aid. His neighbor Mark was also struggling but didn't receive any financial aid which made James question if he should split his money with Mark.,dgkw,32
668568bb50fdf898014285b7,bonus,"Steve, a team leader, received a full performance bonus for exceeding sales targets.",dgkw,13
668e8defc1f9cace8c1f07f3,bonus,"Steve's team got a performance bonus and needs to decide if he wants to split the bonus with his teammate Max, who played a critical part in the work.",dglt,29
63cbfe9db653522f0cc71cae,bonus,"Steve's team was allocated a bonus for exceeding Sales targets. The director allocated the whole bonus to Steve, although he did say that this could be shared with Max, another team member, who had made a significant contribution to the achievement. Steve must now decide whether to keep it all or share some.  ",dgkw,53
5aa2dcf36219a30001f57b7e,bonus,steves team got a bonus for doing a good job. It was up to him if he wanted to share the bonus or not ,dgkw,24
5a143884bd04860001b01123,aid,"James has money troubles and gets a government letter saying that he's going to receive financial aid. As he goes to get the money he bumps into an acquaintance, Mark, who also has money troubles but isn't getting the government aid. James is wondering whether he should share the money with Mark.",dglt,52
62b2113b283e52ffa5e1ae13,bonus,"Steve and his team have been awarded a bonus for exceedinding their sales target. It is up to Steve whether he keeps the bonus for himself or does he share it with Max, who made a large contribution to the success of the whole team",dgkw,45
6120cea050e9bce18a162223,bonus,"Steve found out his team was going to be awarded a performance bonus and he was offered the option to split his bonus with another colleague, who had also put in a lot of effort to the project.",dgkw,38
62a7c4d5266dfb89bf94fec8,aid,"James, who was struggling financially, was unexpectedly approved for full government aid while his neighbor Mark, who also applied, was not selected. Now James must decide whether to keep all the money he desperately needs or share some with Mark, who is also struggling.",dgkw,44
66217266b0f9502da6cfa372,aid,"James who is struggling financially, miraculously obtains money, however is unsure of keeping it all or sharing with his poor neighbour, who is in the same situation as him  ",dglt,29
5dda9b9a9d9e30a06d320ffb,bonus,"Steve and Max work on a sales team that exceeded expectations. As the team lead, Steve received a monetary bonus, which he must decide either to (1) keep for himself or (2) divide between Max and himself.",dglt,37
60a4d6687102dca378b945bb,aid,"James recieved an email to find out he was eligible for government assisstance. On his way to collect this money he bumped into his neighbour Mark and now James is wondering whether he should share his new finances with Mark, who is also going through a rough financial patch.",dglt,49
67768d5e8b0341abb0f7ef1f,aid,"James is going through a tough financial time, and was selected to receive aid from a government welfare agency. He went to the agency to collect his money, and bumped into his neighbour, Mark, who wasn't selected for this money; so now James is weighing up whether to keep all of the money or give some to Mark.",dglt,58
5c2fe02d8a20f50001ea5710,aid,"James is going through financial struggles and found out that he qualified for government assistance. When he went to get his money, he ran into Mark who did not qualify. Now James is deliberating on whether he should share his assistance with Mark.",dgkw,43
63d3fe76e4e3acc87c79496a,bonus,"A bonus has been given to you, based on the work that you have just completed. There is one other person in the team, but it is up to you how the bonus is split. Whether it is shared or whether you keep the full bonus",dglt,46
6724bc43d763af35a17e5bfd,aid,"James was struggling for money but found out that he had been accepted to receive some aid. On the way to collect the aid, he met his neighbour Mark, who had also applied but had not been accepted. What should James do. Mark was also in need but he was only an acquaintance.",dglt,53
67350f68857206d729761937,bonus,"Steve and Max worked on a project together that was very successful. Steve was the team leader and therefore, his boss gave him the bonus and was told he can either keep the bonus for himself or divide it however he deems fit between him and Max,",dglt,47
67696e1e6cf66476feee240e,aid,James need seemed greater than Marks .There fore he should keep the money to himself.,dglt,15
665aff945224bdf82a9ed6e3,aid,James was struggling financially and found out he was successful in applying for financial assistance from a government welfare agency. He met a neighbour of his who was not successful and debated whether he should share some of his aid with said neighbour.,dgkw,43
6023f94d1951e70ae21770ec,aid,James was awarded financial aid after struggling with money but his neighbour Mark who also applied did not receive help. James faced a dilemma over whether to keep the funds for himself or share them with Mark,dgkw,37
575aee8152c3fe00091a6252,bonus,Steve was getting a performance bonus for going beyond a sales target. The director gave Steve a choice to keep the full bonus since he was team lead or give a portion of it to teammate Max.,dglt,37
5f4183ee48465a339d3dc81d,aid,"James, broke, was selected for a government grant that would help him financially. He saw a neighbor at the center while collecting his money and found out that he needed the money too but didn't get it. James now faces a choice and must decide if he wants to share his money.",dglt,52
67ad12becac3e4abb99c57b0,aid,"James, who was going through a difficult financial patch in his life and struggling to make ends meet, unexpectedly received an email from a government welfare agency that he had been selected for financial assistance. When James went to collect his financial assistance, he saw his neighbor, Mark, who also applied but was not selected for assistance, making James wonder if he should keep the money to himself or help out his neighbor Mark.",dglt,74
5e62b7646cf0bf04667c8683,aid,"In summary, two neighbors applied for welfare. One was offered financial assistance and the other was not selected. The neighbor selected was left with a dilemma of keeping the money or helping out his neighbor.",dgkw,35
6649a85b84cfe4b5b8a6132e,aid,"James and his neighbour, Mark both applied for financial assistance from the government. Only James was awarded assistance. He wondered if he should give some to Mark, or keep the money for himself.",dglt,33
5a8895f0f1408d0001769b7b,bonus,"steve and max spent weeks working hard and were awarded a performance bonus, but steve received the full bonus because he is team leader and is allowed to give some of the bonus to max if he wishes",dgkw,38
67ef5e1ea8330a7744f39e17,bonus,Steve's  team got a bonus for having improved on the sales and given all to the team leader who is to decide if to give Max,dglt,26
672f488089b8f59064c010fc,bonus,"Steven was given a full team bouns for exceeding the companies sales target, he was told he can share the bouns with his temmate Max if he wanted too. Now it is up to him to decide whether to keep the entire bonus or share with Max",dglt,47
606dfa7094567e608e95135f,aid,"James was struggling financially and had no savings left.  He received notification that he was to be awarded some money to help him out.  Upon collection of the money, he met his neighbour, Mark who was also struggling for money.",dglt,40
64d5067b6cbee9de481d773b,bonus,"The story is about Steve, who had received a performance bonus for work that he had done along with his teammate, Max. Steve had the choice to either keep all of the bonus or to share it with Max, who had helped him accomplish the goal.",dglt,46
67a692bc6cb5578e397df372,aid,"James qualified for a government financial assistance program though his neighbor Mark did not, despite them both struggling financially",dgkw,19
66bd466cbe2aaab85bfebaab,aid,Oh no Sir! James shall not give Mark a portion of his Payment. Nor should he feel ANY type of way. Now what he SHOULD do is have an already established plan for giving and if he wants to GIFT Mark something than that is perfectly fine. ,dglt,47
5c05da0155614800012bb7bc,bonus,Steve was a team leader and he and his team had been awarded a performance bonus for exceeding their sales target. They had worked very hard to achieve this. The director of the company told Steve that he was going to give him a bonus for this and that it was up to Steve if he wanted to give any to his teammate. Steve was left with a choice of what to do with the bonus - should he keep it all or should he share it?,dgkw,87
6697c11cb2a452583e99cd86,bonus,"Steve was awarded a performance bonus. He is unsure about whether to share it with his colleague Max, who contributed to the good performance. ",dglt,24
56b4b565b2de2a000d3316ba,bonus,"Steve and his team exceeded their sales target. Because of this, Steve was awarded a bonus that he could choose to keep all for himself, or share his bonus with Max if he chooses.",dgkw,34
6658b5ca5f6a7ef6d4527b29,bonus,"Steve and Max worked as a team, and exceeded their sales target which led to the director awarding a bonus to Steve as he was the team leader. He now has to choose if he will keep the bonus fully, or split it with steve as he contributed greatly to the sales.",dgkw,52
665f1d07718fd2f868db3aa9,bonus,"Steve and his team are awarded a bonus for exceeding their sales target. However, the director allocates the full bonus to Steve and lets him decide whether to share it with his teammate, Max.",dglt,34
5fc2c0cfdb80f9025c6b4810,aid,James is going through a hard time and was approved for government assistance. He has an acquaintance who also applied but was denied assistance. James must now decide if he,dgkw,30
62e3e0d56f00aade7fbbb1a0,bonus,Steve's team were awarded a sales bonus for exceeding their sales target. Steve would be faced with quite the dilemma of determining whether the bonus should be kept or shared with Max. ,dgkw,32
