hp_response_id,source_row,PROLIFIC_PID,treatment,allocation,memory,hp,social_proximity,sp_num,Market,category_num,category,classification_origin,similarity_dg_kw_control_rater_1,similarity_dg_kw_control_rater_2,similarity_dg_kw_control_rater_3,similarity_dg_kw_control_mean,similarity_dg_kw_market_rater_1,similarity_dg_kw_market_rater_2,similarity_dg_kw_market_rater_3,similarity_dg_kw_market_mean
HP0054,54,67ec2dbc404fd41af3fd389a,lt,8.0,"An example would be when a coworker and I get stuff from the vending machine and they don't have enough money, so I pay for some of their food.",4,Teammate / coworker,3,0,1,Moral,gpt_5_6_round7,51,57,49,52.333333333333336,19,22,27,22.666666666666668
HP0055,55,66cf21b57ed16b335a50bddf,kw,6.0,"Sending money to someone who needs it, yet its a large chunk of what I have left.",4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,67,71,63,67.0,19,19,22,20.0
HP0056,56,66e1ee920e1ee1e658264d5b,lt,6.0,donating a good amount to charity,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,60,68,59,62.333333333333336,11,13,20,14.666666666666666
HP0057,57,56abcb46f209e0000adab961,lt,6.0,generosity,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,43,44,43,43.333333333333336,7,5,17,9.666666666666666
HP0058,58,5a86357bae9a0b0001a9f14e,kw,6.5,I would find it similar if i bought a sandwich or a pastry for a friend.,4,Friend,4,0,1,Moral,gpt_5_6_round7,52,57,50,53.0,13,18,25,18.666666666666668
HP0059,59,62865cb9d41a9e2aaf141c84,kw,8.5,I would imagine that this would be to pay back my portion of a meal.,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,25,34,34,31.0,21,27,29,25.666666666666668
HP0060,60,6148bbcd519a30b146897026,lt,6.0,When I bought lunch for someone in Sri Lanka,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,54,56,49,53.0,11,18,25,18.0
HP0061,61,667abc1762de46b3164e4c07,kw,8.0,Being generous to someone who helped me,4,Teammate / coworker,3,0,1,Moral,gpt_5_6_round7,51,57,49,52.333333333333336,14,18,23,18.333333333333332
HP0062,62,57541379f5000a0006b06ab4,kw,6.0,it would be similar to me filling up a bottle but only 2/3 to the top,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,27,25,12,21.333333333333332,2,8,13,7.666666666666667
HP0063,63,6115ddc1b0981cea63afacce,lt,8.0,I find it like doing a good thing. Helping someone who needs it.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,52,58,53,54.333333333333336,9,9,20,12.666666666666666
HP0064,64,62fcc87b89f17c39f2bf27f7,kw,6.0,If I knew i owed someone for something previous so would make up the remaining amount in transfer.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,25,43,34,34.0,23,27,28,26.0
HP0065,65,6101ca2b4ef4ff44381fe3cd,lt,6.0,It's almost like loaning money to someone or giving to charity.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,47,60,53,53.333333333333336,13,18,23,18.0
HP0066,66,644c34bee80856c9546c7312,kw,6.0,I feel it as buying my partner lunch,4,Friend,4,0,1,Moral,gpt_5_6_round7,48,57,46,50.333333333333336,13,18,25,18.666666666666668
HP0067,67,60aa73f653d961e8b31909b3,lt,6.0,paying them for a service,4,Abstract stranger,1,0,0,No clear justification,gpt_5_6_round7,17,31,28,25.333333333333332,27,31,39,32.333333333333336
HP0068,68,5ecd41b94c2e85070cdafa60,lt,8.0,That an alturistic act to try and make both participants equal,4,Anonymous peer,2,0,1,Moral,gpt_5_6_round7,65,70,67,67.33333333333333,14,12,23,16.333333333333332
HP0069,69,67670650760358754c284066,kw,8.0,a situation where they dserve the moeny more than me maybe i have enough in my account and dont need it but they more desperatly need it,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,69,67,62,66.0,12,15,22,16.333333333333332
HP0070,70,67798247d6fc9e510470baef,lt,6.0,This would be like giving money to charity or helping others.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,56,65,57,59.333333333333336,10,13,20,14.333333333333334
HP0071,71,5eddaa6d115bb4ac7e59f153,kw,10.0,"A gift for a special occasion, ie. Baby shower or engagement, but less than a birthday gift ",4,Friend,4,0,1,Moral,gpt_5_6_round7,48,56,45,49.666666666666664,10,14,20,14.666666666666666
HP0072,72,63ea5b93d1c6d38e1f57dcfa,kw,6.0,I find it similar to stories of generosity this time of year during the holiday season. It is a charitable time of year.,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,50,60,51,53.666666666666664,8,9,20,12.333333333333334
HP0073,73,655f8d03e234484afb1c3d51,kw,6.0,I find this similar to splitting a payment if we are at the movies and want to share in the costs for tickets and snacks.,4,Anonymous peer,2,0,1,Moral,gpt_5_6_round7,29,45,31,35.0,20,25,30,25.0
HP0074,74,6671c66b6e4bc111961291ae,lt,7.0,It reminds me of if I buy a candy bar for a friend.,4,Friend,4,0,1,Moral,gpt_5_6_round7,51,56,48,51.666666666666664,12,17,23,17.333333333333332
HP0075,75,675d9cf5d9b26c34bbac262b,lt,5.5,"Transferring $4 feels like a situation where I decide to split what I have more fairly with someone who started out with less. For example, if I have extra lunch money and my friend has much less, I give them half of what I have so we can both have enough. It’s an effort to reduce the gap between us. Its like having an equal share by ensuring equity in both parties.",4,Friend,4,0,1,Moral,gpt_5_6_round7,84,80,77,80.33333333333333,24,24,29,25.666666666666668
HP0076,76,5f970ff3eff5040736b63117,kw,12.0,Losing money,4,No mention of recipient,0,0,3,Self-interest,gpt_5_6_round7,16,20,26,20.666666666666668,9,7,12,9.333333333333334
HP0077,77,678fba732e3c7c2620e94db9,lt,6.0,would switch from me having 8 and them having 4 to me having 4 and them having 8,4,Abstract stranger,1,0,0,No clear justification,gpt_5_6_round7,73,78,69,73.33333333333333,25,24,28,25.666666666666668
HP0078,78,66587fc76ffbd0dff98853c6,lt,0.0,Send a birthday present to my niece,4,Friend,4,0,1,Moral,inherited_hpmin,49,58,47,51.333333333333336,10,14,21,15.0
HP0079,79,6719761fc33e7e0d88199445,kw,9.0,"I find it similar to extreme charity, giving away more than you should, to make you feel morally better.",4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,55,63,57,58.333333333333336,12,12,19,14.333333333333334
HP0080,80,662fa48c0b5e59f9bd5322cc,kw,6.0,Seeing someone who is homeless and going out and giving them some take out food because they need it more than you. ,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,61,66,59,62.0,12,14,22,16.0
HP0081,81,5dbf3be9aab19f3e2dab2f4d,lt,6.0,PAying a small fine.,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,13,21,19,17.666666666666668,15,19,24,19.333333333333332
HP0082,82,5ee55d2d0eccfc2a733ad0db,lt,6.0,Believing the other person needs or deserves the money more.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,58,57,55,56.666666666666664,11,8,20,13.0
HP0083,83,5bce2c5253de59000184642a,kw,6.0,I would find it similar to raising and supporting a child. We often give them more than we give ourselves because they need more as children and we want to give them the best possible opportunity to be successful in life.,4,Friend,4,0,1,Moral,gpt_5_6_round7,48,54,47,49.666666666666664,10,12,21,14.333333333333334
HP0084,84,6662ad148ef5e11fdf2dd894,lt,6.0,Being charity,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,45,60,50,51.666666666666664,8,9,19,12.0
HP0085,85,5bb3e443951bd40001f1e0fd,kw,10.0,Feeling the other person needs the money more than me,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,57,55,56,56.0,11,8,20,13.0
HP0086,86,6735456e8034ea7e61eac785,lt,6.0,"I would find it similar to having dinner together and split checks not being possible, so I give $4 to a friend to cover my part of the meal plus the tip.",4,Friend,4,0,0,No clear justification,gpt_5_6_round7,25,40,34,33.0,23,27,32,27.333333333333332
HP0087,87,6681e05e37692ab271e02312,lt,7.0,both having equal amounts of money,4,Anonymous peer,2,0,1,Moral,gpt_5_6_round7,53,51,59,54.333333333333336,11,15,20,15.333333333333334
HP0088,88,610acbfd3ae11a1b16a1c3ee,lt,6.0,being an idiot,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,1,4,2,2.3333333333333335,0,0,2,0.6666666666666666
HP0089,89,5eaeeae9cde8075d1f14c369,lt,6.0,having to share as a child with my siblings,4,Friend,4,0,1,Moral,gpt_5_6_round7,48,49,43,46.666666666666664,10,14,20,14.666666666666666
HP0090,90,62e98b16791977c7b8e645b2,kw,6.0,Paying for an exercise class,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,10,23,18,17.0,22,24,32,26.0
HP0091,91,6621a2f38453311275d17d65,kw,6.0,I find it similar to donating a large amount of money to someone in need. Especially for a meal or something that they can't quite afford. ,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,62,70,60,64.0,13,15,21,16.333333333333332
HP0092,92,578bb26f6cc44500010448c8,lt,6.0,The other participant would be happy to receive this amount.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,46,32,29,35.666666666666664,9,6,20,11.666666666666666
HP0093,93,66bd25fdae3afa8b2a215da6,kw,6.0,them getting 75 percent of the money,4,Abstract stranger,1,0,0,No clear justification,gpt_5_6_round7,65,58,57,60.0,18,17,20,18.333333333333332
HP0094,94,672d2977ae54935ef84a2b74,kw,6.0,Giving away something which is mine. ,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,61,66,60,62.333333333333336,15,11,21,15.666666666666666
HP0095,95,60299d096ab1b93a43d650a7,kw,6.0,Similar to giving a Christmas present because I'm giving the person more than they've earned out of generosity,4,Friend,4,0,1,Moral,gpt_5_6_round7,57,62,52,57.0,11,17,21,16.333333333333332
HP0096,96,596214729955ee00015bce36,lt,6.0,It would be unfair to me. This makes me uncomfortable.,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,25,26,29,26.666666666666668,8,5,14,9.0
HP0097,97,5eac3597d327962548ce2cd3,kw,12.0,"This would be like giving up more of a meal to someone, even though you're the one that received it all in the first place. ",4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,66,69,61,65.33333333333333,17,20,22,19.666666666666668
HP0098,98,5f68fe45f544c70bb0f525e6,lt,6.0,"Giving a greater share to someone I love, or giving to charity",4,Friend,4,0,1,Moral,gpt_5_6_round7,58,66,58,60.666666666666664,12,17,21,16.666666666666668
HP0099,99,66f0a4b44573af0b7f3ecb3d,lt,6.0,Unequal. The participant would have more than me. ,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,60,58,51,56.333333333333336,15,8,18,13.666666666666666
HP0100,100,66535915cbec1d69819d3933,lt,6.0,Communism!,4,Anonymous peer,2,0,1,Moral,gpt_5_6_round7,16,20,18,18.0,6,6,10,7.333333333333333
HP0101,101,652d345392daf75ed7f323a6,kw,12.0,Sending the left over money to savings account,4,No mention of recipient,0,0,3,Self-interest,gpt_5_6_round7,8,19,17,14.666666666666666,12,10,12,11.333333333333334
HP0102,102,666344916bdba2e2c980dcd0,lt,6.0,this is similar to splitting the money equally.,4,Anonymous peer,2,0,1,Moral,gpt_5_6_round7,61,57,65,61.0,15,17,21,17.666666666666668
HP0103,103,5c6c917e5902c9000164116c,kw,12.0,"Me and a friend got a reward for completing a task, they did more work so they got the larger amount of money.",4,Friend,4,0,1,Moral,gpt_5_6_round7,33,40,29,34.0,18,30,26,24.666666666666668
HP0104,104,66786fd4594ab649c244de43,kw,6.0,i think its similar to helping someone in need,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,52,57,53,54.0,10,8,20,12.666666666666666
HP0105,105,606494cd5aa6eec759e99983,kw,12.0,feeding someone hungrier than me,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,60,58,55,57.666666666666664,10,11,21,14.0
HP0106,106,6419cfe35db47397bee1b0e1,lt,6.0,Overcompensating because the original situation was unfair. overcorrection. Us giving more of our money to billionaires even though they don't deserve it. ,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,31,42,43,38.666666666666664,12,13,20,15.0
HP0107,107,6431c58ce5be91cd5c2c5d8f,lt,6.0,This feels like a bonus that is given in real life.,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,11,22,22,18.333333333333332,16,20,23,19.666666666666668
HP0108,108,611e7207aaf352cb4c807e78,kw,11.5,giving away money,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,62,69,63,64.66666666666667,16,16,20,17.333333333333332
HP0109,109,66baeb26193b68793e6575f2,lt,6.0,"I'd find this similar to paying my kids for chores. If one of them does more chores, they would get a little more money than the other one. ",4,Friend,4,0,1,Moral,gpt_5_6_round7,30,36,30,32.0,21,29,29,26.333333333333332
HP0110,110,5e70bf61017e070009a8a738,kw,6.0,I Find this similar to buying them lunch ,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,51,58,49,52.666666666666664,14,18,25,19.0
HP0111,111,5ea29c5cad06661b01230684,lt,4.0,Placing a bet,4,No mention of recipient,0,0,3,Self-interest,inherited_hpmin,4,15,13,10.666666666666666,9,15,15,13.0
HP0112,112,60a56378aa5f55ddac516adc,lt,6.0,it would be similar to rounding up when I'm buying something.,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,21,20,27,22.666666666666668,19,25,24,22.666666666666668
HP0113,113,5e580bcf4782bd01723249e2,lt,12.0,giving a friend money if they can't afford something,4,Friend,4,0,1,Moral,gpt_5_6_round7,58,64,56,59.333333333333336,17,20,23,20.0
HP0114,114,676c67883fa1ba4ea4eb05a7,kw,12.0,giving a friend some money i owe them,4,Friend,4,0,1,Moral,gpt_5_6_round7,27,43,38,36.0,23,26,28,25.666666666666668
HP0115,115,558965bffdf99b74158d77dd,lt,8.0,Receiving a team bonus at work that we split evenly.,4,Teammate / coworker,3,0,1,Moral,gpt_5_6_round7,33,45,38,38.666666666666664,19,27,31,25.666666666666668
HP0116,116,6000cfb6be1cd0204ed257c7,lt,10.0,"This is similar to paying someone, maybe using CashApp to transfer money to cover a meal. There's nothing different between this and the prior option to me besides the amount sent. ",4,Abstract stranger,1,0,0,No clear justification,gpt_5_6_round7,26,42,35,34.333333333333336,24,27,32,27.666666666666668
HP0117,117,5f5ce7f940a2614f6cb6e747,kw,12.0,"It seems like a higher level donation for something I would be passionate about, such as knowing that they may double the match if I gave a minimum amount like $8. ",4,Abstract stranger,1,0,2,Mutual Benefit / Cooperation,gpt_5_6_round7,48,57,48,51.0,12,17,20,16.333333333333332
HP0118,118,6155e95c0808b015514b34e0,lt,6.0,I find it similar to giving someone money for gas.,4,Abstract stranger,1,0,0,No clear justification,gpt_5_6_round7,53,61,49,54.333333333333336,17,20,25,20.666666666666668
HP0119,119,5c4e68d8bcc3dc00015501fb,kw,6.0,This is similar to paying someone to complete a job for you.,4,Abstract stranger,1,0,0,No clear justification,gpt_5_6_round7,18,31,28,25.666666666666668,28,32,40,33.333333333333336
HP0120,120,59f38493da08940001d4e599,lt,6.0,Being overly generous can be a good feeling.  Especially if it is going to someone in need.,4,Abstract stranger,1,0,1,Moral,gpt_5_6_round7,56,62,54,57.333333333333336,11,8,19,12.666666666666666
HP0121,121,63d5438c43c3c41d0ffd96c0,lt,12.0,"This is also buying an item, but something a bit larger. Say a sandwich for lunch.",4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,22,43,41,35.333333333333336,19,29,34,27.333333333333332
HP0122,122,5de92feac16a6b000e8add98,lt,6.0,Giving too much money to someone,4,Abstract stranger,1,0,3,Self-interest,gpt_5_6_round7,54,57,49,53.333333333333336,14,13,16,14.333333333333334
HP0123,123,5d6807f9778de5001a120d9a,lt,12.0,Paying taxes to the the powers in place.,4,No mention of recipient,0,0,0,No clear justification,gpt_5_6_round7,18,29,23,23.333333333333332,13,17,27,19.0
HP0124,124,5ea7f2a576434f0008303441,lt,12.0,rewarding a friend for work done,4,Friend,4,0,1,Moral,gpt_5_6_round7,27,36,30,31.0,23,28,34,28.333333333333332
HP0125,125,59d44f0a078dbe00019511a9,lt,12.0,Donating a larger amount of money. Kind of like a tax. ,4,No mention of recipient,0,0,1,Moral,gpt_5_6_round7,48,54,49,50.333333333333336,13,15,22,16.666666666666668
