set,context,vignette_id,points
1,M-TG,MH7,0
1,M-TG,SL3,3
1,M-TG,SH5,3
1,M-TG,MH5,0
1,M-TG,ML6,0
1,M-TG,CL1,3
1,M-TG,SH2,1
1,M-TG,MH2,1
1,M-TG,CL7,5
1,M-LT,ML5,1
1,M-LT,CH6,0
1,M-LT,CH5,0
1,M-LT,CH4,1
1,M-LT,SH4,7
1,M-LT,MH6,1
1,M-LT,MH4,1
1,M-LT,CL5,0
1,M-LT,SL2,0
1,M-LT,CL3,0
1,M-LT,SH3,13
1,M-LT,SL6,3
1,M-LT,SH8,12
1,M-LT,ML8,1
1,M-LT,CH2,0
1,M-LT,SL5,1
1,M-LT,ML4,0
1,M-LT,CL8,0
1,M-LT,SH6,12
1,M-LT,SL1,0
1,M-LT,MH3,0
1,M-LT,SL8,3
1,M-LT,CH8,0
1,M-LT,SH7,7
1,M-LT,CL4,4
1,M-LT,SL4,8
1,M-LT,ML1,0
1,M-LT,MH1,0
1,M-LT,MH8,0
1,M-LT,ML2,0
1,M-LT,CL2,0
1,M-LT,ML7,0
1,M-LT,SH1,2
1,M-LT,CH1,0
1,M-LT,ML3,0
1,M-LT,CH7,2
1,M-LT,CH3,0
1,M-LT,SL7,1
1,M-LT,CL6,0
1,M-LT,MH7,1
1,M-LT,SL3,10
1,M-LT,SH5,6
1,M-LT,MH5,0
1,M-LT,ML6,0
1,M-LT,CL1,0
1,M-LT,SH2,1
1,M-LT,MH2,0
1,M-LT,CL7,2
1,M-KW,ML5,1
1,M-KW,CH6,0
1,M-KW,CH5,0
1,M-KW,CH4,1
1,M-KW,SH4,7
1,M-KW,MH6,1
1,M-KW,MH4,1
1,M-KW,CL5,0
1,M-KW,SL2,0
1,M-KW,CL3,0
1,M-KW,SH3,13
1,M-KW,SL6,3
1,M-KW,SH8,12
1,M-KW,ML8,1
1,M-KW,CH2,0
1,M-KW,SL5,1
1,M-KW,ML4,0
1,M-KW,CL8,0
1,M-KW,SH6,12
1,M-KW,SL1,0
1,M-KW,MH3,0
1,M-KW,SL8,3
1,M-KW,CH8,0
1,M-KW,SH7,7
1,M-KW,CL4,4
1,M-KW,SL4,8
1,M-KW,ML1,0
1,M-KW,MH1,0
1,M-KW,MH8,0
1,M-KW,ML2,0
1,M-KW,CL2,0
1,M-KW,ML7,0
1,M-KW,SH1,2
1,M-KW,CH1,0
1,M-KW,ML3,0
1,M-KW,CH7,2
1,M-KW,CH3,0
1,M-KW,SL7,1
1,M-KW,CL6,0
1,M-KW,MH7,1
1,M-KW,SL3,10
1,M-KW,SH5,6
1,M-KW,MH5,0
1,M-KW,ML6,0
1,M-KW,CL1,0
1,M-KW,SH2,1
1,M-KW,MH2,0
1,M-KW,CL7,2
2,C-UG,MH2,2
2,C-UG,CH5,0
2,C-UG,MH8,10
2,C-UG,CL7,0
2,C-UG,ML2,12
2,C-UG,ML4,2
2,C-UG,MH3,0
2,C-UG,CL3,0
2,C-UG,ML3,13
2,C-UG,CH7,0
2,C-UG,CH4,0
2,C-UG,CH8,0
2,C-UG,SH7,0
2,C-UG,CH1,0
2,C-UG,ML6,0
2,C-UG,SL2,0
2,C-UG,CL2,0
2,C-UG,ML1,4
2,C-UG,CL5,0
2,C-UG,CL6,0
2,C-UG,CL4,0
2,C-UG,SL6,0
2,C-UG,ML5,7
2,C-UG,CL1,0
2,C-UG,MH6,1
2,C-UG,SL7,0
2,C-UG,SL3,0
2,C-UG,CH3,0
2,C-UG,SL8,0
2,C-UG,SH5,0
2,C-UG,CH2,0
2,C-UG,MH7,6
2,C-UG,SL5,0
2,C-UG,MH5,6
2,C-UG,SH2,0
2,C-UG,MH4,18
2,C-UG,ML8,5
2,C-UG,MH1,4
2,C-UG,SH3,0
2,C-UG,SL1,0
2,C-UG,SH8,0
2,C-UG,ML7,10
2,C-UG,SL4,0
2,C-UG,SH6,0
2,C-UG,CL8,0
2,C-UG,SH4,0
2,C-UG,SH1,0
2,C-UG,CH6,0
2,C-TG,MH2,1
2,C-TG,CH5,2
2,C-TG,MH8,0
2,C-TG,CL7,4
2,C-TG,ML2,0
2,C-TG,ML4,2
2,C-TG,MH3,1
2,C-TG,CL3,6
2,C-TG,ML3,0
2,C-TG,CH7,3
2,C-TG,CH4,4
2,C-TG,CH8,3
2,C-TG,SH7,1
2,C-TG,CH1,4
2,C-TG,ML6,0
2,C-TG,SL2,1
2,C-TG,CL2,3
2,C-TG,ML1,1
2,C-TG,CL5,3
2,C-TG,CL6,3
2,C-TG,CL4,8
2,C-TG,SL6,4
2,C-TG,ML5,0
2,C-TG,CL1,4
2,C-TG,MH6,0
2,C-TG,SL7,2
2,C-TG,SL3,2
2,C-TG,CH3,7
2,C-TG,SL8,2
2,C-TG,SH5,2
2,C-TG,CH2,4
2,C-TG,MH7,0
2,C-TG,SL5,2
2,C-TG,MH5,0
2,C-TG,SH2,2
2,C-TG,MH4,0
2,C-TG,ML8,0
2,C-TG,MH1,0
2,C-TG,SH3,1
2,C-TG,SL1,1
2,C-TG,SH8,1
2,C-TG,ML7,0
2,C-TG,SL4,3
2,C-TG,SH6,1
2,C-TG,CL8,2
2,C-TG,SH4,2
2,C-TG,SH1,4
2,C-TG,CH6,4
2,M-LT,MH2,0
2,M-LT,CH5,1
2,M-LT,MH8,1
2,M-LT,CL7,3
2,M-LT,ML2,0
2,M-LT,ML4,0
2,M-LT,MH3,1
2,M-LT,CL3,1
2,M-LT,ML3,0
2,M-LT,CH7,3
2,M-LT,CH4,4
2,M-LT,CH8,2
2,M-LT,SH7,4
2,M-LT,CH1,2
2,M-LT,ML6,1
2,M-LT,SL2,1
2,M-LT,CL2,1
2,M-LT,ML1,0
2,M-LT,CL5,2
2,M-LT,CL6,2
2,M-LT,CL4,5
2,M-LT,SL6,5
2,M-LT,ML5,1
2,M-LT,CL1,1
2,M-LT,MH6,1
2,M-LT,SL7,2
2,M-LT,SL3,5
2,M-LT,CH3,1
2,M-LT,SL8,5
2,M-LT,SH5,5
2,M-LT,CH2,2
2,M-LT,MH7,1
2,M-LT,SL5,2
2,M-LT,MH5,1
2,M-LT,SH2,2
2,M-LT,MH4,0
2,M-LT,ML8,1
2,M-LT,MH1,0
2,M-LT,SH3,5
2,M-LT,SL1,1
2,M-LT,SH8,7
2,M-LT,ML7,0
2,M-LT,SL4,5
2,M-LT,SH6,7
2,M-LT,CL8,1
2,M-LT,SH4,2
2,M-LT,SH1,2
2,M-LT,CH6,2
2,M-TG,MH2,0
2,M-TG,CH5,2
2,M-TG,MH8,1
2,M-TG,CL7,5
2,M-TG,ML2,0
2,M-TG,ML4,1
2,M-TG,MH3,1
2,M-TG,CL3,6
2,M-TG,ML3,0
2,M-TG,CH7,4
2,M-TG,CH4,4
2,M-TG,CH8,3
2,M-TG,SH7,1
2,M-TG,CH1,4
2,M-TG,ML6,0
2,M-TG,SL2,1
2,M-TG,CL2,2
2,M-TG,ML1,0
2,M-TG,CL5,3
2,M-TG,CL6,3
2,M-TG,CL4,10
2,M-TG,SL6,4
2,M-TG,ML5,0
2,M-TG,CL1,3
2,M-TG,MH6,0
2,M-TG,SL7,2
2,M-TG,SL3,2
2,M-TG,CH3,6
2,M-TG,SL8,3
2,M-TG,SH5,2
2,M-TG,CH2,4
2,M-TG,MH7,0
2,M-TG,SL5,2
2,M-TG,MH5,0
2,M-TG,SH2,2
2,M-TG,MH4,0
2,M-TG,ML8,0
2,M-TG,MH1,0
2,M-TG,SH3,1
2,M-TG,SL1,1
2,M-TG,SH8,2
2,M-TG,ML7,0
2,M-TG,SL4,3
2,M-TG,SH6,3
2,M-TG,CL8,2
2,M-TG,SH4,2
2,M-TG,SH1,3
2,M-TG,CH6,3
2,C-LT,MH2,3
2,C-LT,CH5,0
2,C-LT,MH8,9
2,C-LT,CL7,0
2,C-LT,ML2,11
2,C-LT,ML4,2
2,C-LT,MH3,1
2,C-LT,CL3,0
2,C-LT,ML3,12
2,C-LT,CH7,0
2,C-LT,CH4,0
2,C-LT,CH8,0
2,C-LT,SH7,0
2,C-LT,CH1,0
2,C-LT,ML6,1
2,C-LT,SL2,0
2,C-LT,CL2,0
2,C-LT,ML1,5
2,C-LT,CL5,0
2,C-LT,CL6,0
2,C-LT,CL4,1
2,C-LT,SL6,0
2,C-LT,ML5,6
2,C-LT,CL1,0
2,C-LT,MH6,2
2,C-LT,SL7,0
2,C-LT,SL3,1
2,C-LT,CH3,0
2,C-LT,SL8,0
2,C-LT,SH5,0
2,C-LT,CH2,0
2,C-LT,MH7,5
2,C-LT,SL5,0
2,C-LT,MH5,6
2,C-LT,SH2,0
2,C-LT,MH4,15
2,C-LT,ML8,5
2,C-LT,MH1,4
2,C-LT,SH3,0
2,C-LT,SL1,1
2,C-LT,SH8,0
2,C-LT,ML7,9
2,C-LT,SL4,0
2,C-LT,SH6,0
2,C-LT,CL8,0
2,C-LT,SH4,0
2,C-LT,SH1,1
2,C-LT,CH6,0
2,AID,MH2,12
2,AID,CH5,0
2,AID,MH8,3
2,AID,CL7,0
2,AID,ML2,8
2,AID,ML4,7
2,AID,MH3,2
2,AID,CL3,0
2,AID,ML3,14
2,AID,CH7,0
2,AID,CH4,0
2,AID,CH8,0
2,AID,SH7,0
2,AID,CH1,0
2,AID,ML6,3
2,AID,SL2,0
2,AID,CL2,0
2,AID,ML1,9
2,AID,CL5,0
2,AID,CL6,0
2,AID,CL4,0
2,AID,SL6,0
2,AID,ML5,2
2,AID,CL1,0
2,AID,MH6,8
2,AID,SL7,0
2,AID,SL3,0
2,AID,CH3,0
2,AID,SL8,0
2,AID,SH5,0
2,AID,CH2,0
2,AID,MH7,2
2,AID,SL5,0
2,AID,MH5,2
2,AID,SH2,0
2,AID,MH4,11
2,AID,ML8,2
2,AID,MH1,6
2,AID,SH3,0
2,AID,SL1,2
2,AID,SH8,0
2,AID,ML7,6
2,AID,SL4,0
2,AID,SH6,0
2,AID,CL8,0
2,AID,SH4,0
2,AID,SH1,1
2,AID,CH6,0
2,BONUS,MH2,1
2,BONUS,CH5,0
2,BONUS,MH8,7
2,BONUS,CL7,0
2,BONUS,ML2,6
2,BONUS,ML4,0
2,BONUS,MH3,0
2,BONUS,CL3,0
2,BONUS,ML3,4
2,BONUS,CH7,0
2,BONUS,CH4,0
2,BONUS,CH8,0
2,BONUS,SH7,0
2,BONUS,CH1,0
2,BONUS,ML6,1
2,BONUS,SL2,0
2,BONUS,CL2,0
2,BONUS,ML1,4
2,BONUS,CL5,0
2,BONUS,CL6,0
2,BONUS,CL4,0
2,BONUS,SL6,0
2,BONUS,ML5,11
2,BONUS,CL1,0
2,BONUS,MH6,1
2,BONUS,SL7,0
2,BONUS,SL3,0
2,BONUS,CH3,0
2,BONUS,SL8,0
2,BONUS,SH5,0
2,BONUS,CH2,0
2,BONUS,MH7,14
2,BONUS,SL5,0
2,BONUS,MH5,16
2,BONUS,SH2,0
2,BONUS,MH4,6
2,BONUS,ML8,13
2,BONUS,MH1,9
2,BONUS,SH3,0
2,BONUS,SL1,0
2,BONUS,SH8,0
2,BONUS,ML7,7
2,BONUS,SL4,0
2,BONUS,SH6,0
2,BONUS,CL8,0
2,BONUS,SH4,0
2,BONUS,SH1,0
2,BONUS,CH6,0
2,C-KW,MH2,3
2,C-KW,CH5,0
2,C-KW,MH8,9
2,C-KW,CL7,0
2,C-KW,ML2,11
2,C-KW,ML4,3
2,C-KW,MH3,1
2,C-KW,CL3,0
2,C-KW,ML3,13
2,C-KW,CH7,0
2,C-KW,CH4,0
2,C-KW,CH8,0
2,C-KW,SH7,0
2,C-KW,CH1,0
2,C-KW,ML6,1
2,C-KW,SL2,0
2,C-KW,CL2,0
2,C-KW,ML1,5
2,C-KW,CL5,0
2,C-KW,CL6,0
2,C-KW,CL4,1
2,C-KW,SL6,0
2,C-KW,ML5,6
2,C-KW,CL1,0
2,C-KW,MH6,2
2,C-KW,SL7,0
2,C-KW,SL3,1
2,C-KW,CH3,0
2,C-KW,SL8,0
2,C-KW,SH5,0
2,C-KW,CH2,0
2,C-KW,MH7,5
2,C-KW,SL5,0
2,C-KW,MH5,6
2,C-KW,SH2,0
2,C-KW,MH4,14
2,C-KW,ML8,5
2,C-KW,MH1,4
2,C-KW,SH3,0
2,C-KW,SL1,1
2,C-KW,SH8,0
2,C-KW,ML7,9
2,C-KW,SL4,0
2,C-KW,SH6,0
2,C-KW,CL8,0
2,C-KW,SH4,0
2,C-KW,SH1,0
2,C-KW,CH6,0
2,M-UG,MH2,0
2,M-UG,CH5,2
2,M-UG,MH8,1
2,M-UG,CL7,4
2,M-UG,ML2,0
2,M-UG,ML4,0
2,M-UG,MH3,1
2,M-UG,CL3,1
2,M-UG,ML3,0
2,M-UG,CH7,3
2,M-UG,CH4,3
2,M-UG,CH8,2
2,M-UG,SH7,3
2,M-UG,CH1,2
2,M-UG,ML6,1
2,M-UG,SL2,1
2,M-UG,CL2,1
2,M-UG,ML1,0
2,M-UG,CL5,2
2,M-UG,CL6,2
2,M-UG,CL4,6
2,M-UG,SL6,6
2,M-UG,ML5,1
2,M-UG,CL1,1
2,M-UG,MH6,1
2,M-UG,SL7,2
2,M-UG,SL3,6
2,M-UG,CH3,1
2,M-UG,SL8,4
2,M-UG,SH5,5
2,M-UG,CH2,2
2,M-UG,MH7,0
2,M-UG,SL5,2
2,M-UG,MH5,0
2,M-UG,SH2,2
2,M-UG,MH4,0
2,M-UG,ML8,1
2,M-UG,MH1,0
2,M-UG,SH3,5
2,M-UG,SL1,1
2,M-UG,SH8,7
2,M-UG,ML7,0
2,M-UG,SL4,4
2,M-UG,SH6,7
2,M-UG,CL8,1
2,M-UG,SH4,2
2,M-UG,SH1,2
2,M-UG,CH6,2
2,M-KW,MH2,0
2,M-KW,CH5,1
2,M-KW,MH8,1
2,M-KW,CL7,4
2,M-KW,ML2,0
2,M-KW,ML4,0
2,M-KW,MH3,1
2,M-KW,CL3,1
2,M-KW,ML3,0
2,M-KW,CH7,3
2,M-KW,CH4,3
2,M-KW,CH8,2
2,M-KW,SH7,3
2,M-KW,CH1,2
2,M-KW,ML6,1
2,M-KW,SL2,1
2,M-KW,CL2,1
2,M-KW,ML1,0
2,M-KW,CL5,2
2,M-KW,CL6,2
2,M-KW,CL4,5
2,M-KW,SL6,6
2,M-KW,ML5,1
2,M-KW,CL1,1
2,M-KW,MH6,1
2,M-KW,SL7,2
2,M-KW,SL3,6
2,M-KW,CH3,1
2,M-KW,SL8,4
2,M-KW,SH5,5
2,M-KW,CH2,2
2,M-KW,MH7,1
2,M-KW,SL5,2
2,M-KW,MH5,1
2,M-KW,SH2,2
2,M-KW,MH4,0
2,M-KW,ML8,1
2,M-KW,MH1,0
2,M-KW,SH3,5
2,M-KW,SL1,1
2,M-KW,SH8,7
2,M-KW,ML7,0
2,M-KW,SL4,4
2,M-KW,SH6,7
2,M-KW,CL8,1
2,M-KW,SH4,2
2,M-KW,SH1,2
2,M-KW,CH6,2
3,C-KW,SH5,0
3,C-KW,CL6,0
3,C-KW,CL7,0
3,C-KW,CL2,0
3,C-KW,SH3,0
3,C-KW,SH1,0
3,C-KW,CH6,0
3,C-KW,SL7,0
3,C-KW,SH8,0
3,C-KW,MH3,0
3,C-KW,MH2,2
3,C-KW,CH5,0
3,C-KW,MH8,10
3,C-KW,ML8,6
3,C-KW,ML6,0
3,C-KW,CH8,0
3,C-KW,SH7,0
3,C-KW,CH7,0
3,C-KW,SL5,0
3,C-KW,CH1,0
3,C-KW,MH5,6
3,C-KW,ML2,12
3,C-KW,CL8,0
3,C-KW,SH2,0
3,C-KW,SL4,0
3,C-KW,CH2,0
3,C-KW,CL4,0
3,C-KW,SH6,0
3,C-KW,CH3,0
3,C-KW,SL6,0
3,C-KW,CL5,0
3,C-KW,CH4,0
3,C-KW,SL1,0
3,C-KW,SL3,0
3,C-KW,ML3,10
3,C-KW,SL8,0
3,C-KW,MH7,7
3,C-KW,ML5,7
3,C-KW,CL3,0
3,C-KW,ML7,10
3,C-KW,MH6,2
3,C-KW,SH4,0
3,C-KW,ML4,0
3,C-KW,ML1,8
3,C-KW,SL2,0
3,C-KW,MH1,8
3,C-KW,MH4,12
3,C-KW,CL1,0
3,M-KW,SH5,0
3,M-KW,CL6,0
3,M-KW,CL7,0
3,M-KW,CL2,0
3,M-KW,SH3,5
3,M-KW,SH1,0
3,M-KW,CH6,0
3,M-KW,SL7,0
3,M-KW,SH8,2
3,M-KW,MH3,0
3,M-KW,MH2,0
3,M-KW,CH5,0
3,M-KW,MH8,8
3,M-KW,ML8,6
3,M-KW,ML6,0
3,M-KW,CH8,0
3,M-KW,SH7,0
3,M-KW,CH7,0
3,M-KW,SL5,0
3,M-KW,CH1,0
3,M-KW,MH5,8
3,M-KW,ML2,10
3,M-KW,CL8,0
3,M-KW,SH2,0
3,M-KW,SL4,2
3,M-KW,CH2,0
3,M-KW,CL4,0
3,M-KW,SH6,5
3,M-KW,CH3,0
3,M-KW,SL6,0
3,M-KW,CL5,0
3,M-KW,CH4,0
3,M-KW,SL1,0
3,M-KW,SL3,2
3,M-KW,ML3,6
3,M-KW,SL8,0
3,M-KW,MH7,7
3,M-KW,ML5,7
3,M-KW,CL3,0
3,M-KW,ML7,8
3,M-KW,MH6,0
3,M-KW,SH4,0
3,M-KW,ML4,0
3,M-KW,ML1,6
3,M-KW,SL2,0
3,M-KW,MH1,6
3,M-KW,MH4,12
3,M-KW,CL1,0
3,M-LT,SH5,0
3,M-LT,CL6,0
3,M-LT,CL7,0
3,M-LT,CL2,0
3,M-LT,SH3,6
3,M-LT,SH1,0
3,M-LT,CH6,0
3,M-LT,SL7,0
3,M-LT,SH8,3
3,M-LT,MH3,0
3,M-LT,MH2,0
3,M-LT,CH5,0
3,M-LT,MH8,8
3,M-LT,ML8,6
3,M-LT,ML6,0
3,M-LT,CH8,0
3,M-LT,SH7,0
3,M-LT,CH7,0
3,M-LT,SL5,0
3,M-LT,CH1,0
3,M-LT,MH5,8
3,M-LT,ML2,8
3,M-LT,CL8,0
3,M-LT,SH2,0
3,M-LT,SL4,2
3,M-LT,CH2,0
3,M-LT,CL4,0
3,M-LT,SH6,6
3,M-LT,CH3,0
3,M-LT,SL6,0
3,M-LT,CL5,0
3,M-LT,CH4,0
3,M-LT,SL1,0
