hp_response_id,memory
HP0955,i have no idea what i'm expected to write. it's similar to someone having a lot of something and not sharing equally
HP0956,"Like running a bet where you arrange for both sides to be as well off, regardless of the outcome."
HP0957,Potential selfishness.
HP0958,Someone who needs the money but also wants to be generous
HP0959,Another person was short $4 for lunch and I gave it to them.
HP0960,I find it similar to purchasing a small treat for a friend during myself purchasing a whole meal.
HP0962,Someone being selfish.
HP0965,Making a donation to an organization
HP0966,Forgetting to give the grandkids pocket money
HP0968,Having no expectations
HP0970,This is similar to giving to charity - perhaps quite generously! 
HP0971,I find this similar to telling someone good job and give them a high five. No money is exchanged.I 
HP0972,It would be like being hard with money but still wanting to donate
HP0974,Hoarding wealth.
HP0975,I find that this is a neutral transfer.
HP0976,A senior teammate sharing part of their performance bonus with a junior employee who helped on a project
HP0977,Paying for a service
HP0978,Similar to seeing someone without any money and giving them money to afford some food.
HP0980,Paying for a meal/snack
HP0981,"If the split of dollars was already equal, say we both worked on a job, but I spent 2x as much time on it vs. the other participant."
HP0982,12
HP0983,To someone whom I owe nothing and have no reason to give.
HP0984,Paying them back for a coffee they purchased for you.
HP0985,Giving them something but not half
HP0986,how the rich have money but don't help others
HP0988,buying a gift for a family member
HP0989,The CEO is paying his entry-level employees. 
HP0990,it almost similar to buying someone a coffee 
HP0991,"It would make me feel very selfish. It reminds me of my oldest kid using a younger sibling to help him do something that makes money (like shoveling driveways), but not giving any of the money to the younger siblings."
HP0992,"Sharing a portion of the money I might spend on food with a child, or someone with a smaller appetite than myself"
HP0996,"When people want to ensure they come out on top, so they are willing to share but not to their detriment or to make things equal as they still wish to be better."
HP0997,Yes I'd be happy to do this. I imagine it the same as if I was helping my work friend with her work.  Perhaps I'd buy a friend a coffee to this value as a treat on me.  
HP0998,It would be very kind and nice gesture
HP1001,I find this similar to sharing some of my food with someone.
HP1002,"Billionaires sitting on their money and not wanting to give any of it away, even in fair taxes."
HP1003,"Being asked to donate money to a cause, while having little excess money to spare and having to decline"
HP1004,buying a sandwich at a deli
HP1005,betting with a friend on a football match
HP1006,This also wouldn't be the worse outcome.
HP1007,buying someone a cup of coffee
HP1008,Taxation in the USA
HP1009,this would not be even and i would not do it.
HP1010,not interacting with anyone when buying a ticket
HP1011,"I would find that similar to somebody who finds some money on the ground while walking with a friend.  The friend also sees the money at the same moment, but because I was quicker to pick most of it up I claim the majority of the money."
HP1012,It's similar to how I imagine most people would react in most situations.
HP1013,Giving a bite of icecream to a family member.
HP1015,"Paying for some sort of basic goods or services, maybe buying a coffee on my way to work?"
HP1016,I find this similar to helping someone who asked to borrow/have a couple of dollars.
HP1018,Billionaires not passing $ down the chain
HP1019,I find it similar to someone giving the minimum that they can contribute knowing that they could perhaps give more
HP1020,my partner sharing her wages with me
HP1021,keeping sweets from someone else
HP1022,Giving 4 gifts and them giving 8
HP1025,Nothing
HP1026,"Since no money is changing hands, this is like just hanging out. Nothing is really happening here."
HP1027,Sticking with the status quo giving no consideration to the other person
HP1028,Leaving things at the status quo. The luck of the draw. 
HP1029,"This is similar to bosses paying employees, giving them only a small amount. "
HP1030,A bit cheap - factory biscuits to a bake sale
HP1031,real life when people don't help out strangers
HP1033,"Taking an extra cut, e.g. splitting a meal 60/40 because you've driven and used petrol"
HP1034,This can be like sending someone if they need a little more moeny for ordering food.
HP1035,Every day life at work.
HP1036,"this is how most real life situations work, because it's considered rude to discuss individual income differences. "
HP1037,I imagine this being similar to refusing to give money to someone else.
HP1038,Giving my daughter some spending money when we go out
HP1039,I find it similar to donating to a charity
HP1041,sharing a meal with someone but you eat more than them 
HP1043,not tipping
HP1044,I don't really find this similar to many things.  Perhaps when you are asked to give someone or a charity money and you don't.
HP1045,I would find this similar to watching past a charity money collector.
HP1046,"I would feel this is like a lottery, you win some, you lose some."
HP1047,"Donating to charity, where I am willing to donate a smaller portion of my funds to help those in need."
HP1050,Greed
HP1051,"Tossing a bit of your reward to another as a participation trophy, even though they did not initially receive the allocation"
HP1053,It feels like walking past a homeless person asking for money that I can afford to give
HP1054,I find it similar to running a business where the person getting the 8$ is the decision maker whereas the person getting $4 doesn't have much decision making power
HP1056,Give what you can afford
HP1057,Dividing something based on equity where funds are allocated based on the needs of each individual.
HP1058,"Accepting the results as they are, as if nature intended the original outcome. "
HP1059,Not giving money to a beggar on the street.
HP1061,An older sibling keeping all of their allowance which is more than the younger sibling.
HP1062,"Transferring $0 to the other participant is similar to not even having to consider sharing in the first place, such like when I was at school and was paying for lunch. That money was mine and mine only."
HP1063,This is an unequal allocation so I find it similar to giving money to a child - they get a smaller part of the entire package. 
HP1064,"This would be like an older sibling being given an amount of money for the two of you to share on a day out and them taking more of it on the basis that they're older so need more spending money for bigger ice creams, more expensive funfair rides etc. It would feel unfair to the younger sibling although sometimes it might be fair as they might both have the same number of rides or ice creams etc."
HP1065,I won't be transferring them any money as it's a zero amount.
HP1066,Not buying something from a shop
HP1067,it is similar to giving them 1/3 of the money instead of half which would be most fair
HP1069,sharing
HP1070,"That is weird because you do not want to make that person get impact, you donate 2"
HP1071,I have $12 and choose to transfer $4 such as a charitable donation
HP1072,Getting ice cream and sharing some of it with my friend. 
HP1073,"I find this similar to giving a donation or percentage of income to a charity. You are still keeping a lot of it for yourself, but giving away part of it."
HP1075,Being selfish and self motivated which is quite like the state of today's society
HP1076,"This would be trickling down and sharing a little but not equal so still kind of selfish, like Democratic politicians."
HP1077,8
HP1078,A homeless person asking for money and not giving any.
HP1080,Being charitable but still making sure you have enough to live like giving to the poor.
HP1081,Acceptance of what is already.
HP1082,I remember not giving anything to a friend who obviously was in need of something I disagreed with.
HP1083,Giving someone a bite of your cake
HP1084,Not willing to donate and also fair
HP1085,I would find it similar to leaving a tip at a restaurant or something adjacent.
HP1086,Similar to keeping all the cookies for myself and not sharing
HP1087,Somebody I do not know or I am not overly keen on
HP1088,It reminds me of tipping out the cook when I worked as a waitress I would give over about a third or a quarter of my money to the cook at the end of my waiting shift
HP1090,It would be like paying someone back for a cup of coffee that they bought you.
HP1091,Looking the other way when things are unequal.
HP1092,to no transaction
HP1093,i think that it would be a little greedy to transfer nothing to him
HP1095,"It would be pity so that they walk away with something rather than nothing at all, while i keep most of it."
HP1096,"I'm eating a hershey bar and my son asks for some, so I give him 4 of the 12 squares of chocolate. "
HP1097,Being selfish
HP1098,paying taxes.
HP1099,Not donating to charity even when asked but keeping all the money for yourself
HP1100,"This to me also represents a hierarchy society, but is more reflective of someone born into the middle class. They are given no special advantages, but also not as vulnerable as those born into a lower class system. "
HP1101,Similar to just earning your own money and not sharing
HP1102,This would be fair but I would feel bad that I have more than they do and it wasn't their choice how much was allocated to them.  
HP1104,"If I gave $4 to another person, it would be a gift, like on a birthday or holiday."
HP1106,I would find it similar to being an owner of a business as opposed to an employee
HP1107,"daily life, where you keep the money you gain"
HP1108,Greediness
HP1109,Having a bag of sweets and not offering any to anyone else.
HP1110,A situation where I have done more than half the work towards a shared goal.
HP1111,giving money to a homeless person
