model,set,task,context,item_id,points
claude,1,retrieval,M-LT,C2,3
claude,1,retrieval,M-LT,S8,4
claude,1,retrieval,M-LT,M6,8
claude,1,retrieval,M-LT,C4,9
claude,1,retrieval,M-LT,S1,3
claude,1,retrieval,M-LT,M8,7
claude,1,retrieval,M-LT,C1,2
claude,1,retrieval,M-LT,S5,4
claude,1,retrieval,M-LT,M3,4
claude,1,retrieval,M-LT,C8,1
claude,1,retrieval,M-LT,S2,2
claude,1,retrieval,M-LT,M7,5
claude,1,retrieval,M-LT,C5,1
claude,1,retrieval,M-LT,S6,9
claude,1,retrieval,M-LT,M2,4
claude,1,retrieval,M-LT,C3,1
claude,1,retrieval,M-LT,S7,1
claude,1,retrieval,M-LT,M4,5
claude,1,retrieval,M-LT,C6,9
claude,1,retrieval,M-LT,S4,3
claude,1,retrieval,M-LT,M5,3
claude,1,receiver,C-UG,UR2,30
claude,1,receiver,C-UG,UA1,20
claude,1,receiver,C-UG,UR1,32
claude,1,receiver,C-UG,UA2,18
claude,1,receiver,C-TG,TK1,25
claude,1,receiver,C-TG,TR2,27
claude,1,receiver,C-TG,TR1,25
claude,1,receiver,C-TG,TK2,23
claude,1,receiver,M-UG,UR2,30
claude,1,receiver,M-UG,UA1,20
claude,1,receiver,M-UG,UR1,32
claude,1,receiver,M-UG,UA2,18
claude,1,receiver,M-TG,TK1,25
claude,1,receiver,M-TG,TR2,26
claude,1,receiver,M-TG,TR1,24
claude,1,receiver,M-TG,TK2,25
claude,2,retrieval,M-TG,M4,1
claude,2,retrieval,M-TG,S6,10
claude,2,retrieval,M-TG,C1,5
claude,2,retrieval,M-TG,M2,1
claude,2,retrieval,M-TG,C8,5
claude,2,retrieval,M-TG,S3,3
claude,2,retrieval,M-TG,M7,1
claude,2,retrieval,M-TG,C5,5
claude,2,retrieval,M-TG,S1,2
claude,2,retrieval,M-TG,M5,0
claude,2,retrieval,M-TG,C3,4
claude,2,retrieval,M-TG,S8,0
claude,2,retrieval,M-TG,M1,2
claude,2,retrieval,M-TG,C6,18
claude,2,retrieval,M-TG,S4,0
claude,2,retrieval,M-TG,M8,1
claude,2,retrieval,M-TG,C2,12
claude,2,retrieval,M-TG,S7,0
claude,2,retrieval,M-TG,M3,0
claude,2,retrieval,M-TG,C7,6
claude,2,retrieval,M-TG,S2,2
claude,2,retrieval,M-TG,M6,8
claude,2,retrieval,M-TG,C4,15
claude,2,retrieval,M-TG,S5,0
claude,2,retrieval,C-LT,M4,8
claude,2,retrieval,C-LT,S6,0
claude,2,retrieval,C-LT,C1,1
claude,2,retrieval,C-LT,M2,9
claude,2,retrieval,C-LT,C8,1
claude,2,retrieval,C-LT,S3,2
claude,2,retrieval,C-LT,M7,12
claude,2,retrieval,C-LT,C5,1
claude,2,retrieval,C-LT,S1,2
claude,2,retrieval,C-LT,M5,8
claude,2,retrieval,C-LT,C3,1
claude,2,retrieval,C-LT,S8,1
claude,2,retrieval,C-LT,M1,12
claude,2,retrieval,C-LT,C6,0
claude,2,retrieval,C-LT,S4,2
claude,2,retrieval,C-LT,M8,12
claude,2,retrieval,C-LT,C2,0
claude,2,retrieval,C-LT,S7,1
claude,2,retrieval,C-LT,M3,8
claude,2,retrieval,C-LT,C7,1
claude,2,retrieval,C-LT,S2,2
claude,2,retrieval,C-LT,M6,10
claude,2,retrieval,C-LT,C4,1
claude,2,retrieval,C-LT,S5,2
claude,2,retrieval,AID,M4,10
claude,2,retrieval,AID,S6,0
claude,2,retrieval,AID,C1,0
claude,2,retrieval,AID,M2,9
claude,2,retrieval,AID,C8,0
claude,2,retrieval,AID,S3,1
claude,2,retrieval,AID,M7,16
claude,2,retrieval,AID,C5,0
claude,2,retrieval,AID,S1,1
claude,2,retrieval,AID,M5,9
claude,2,retrieval,AID,C3,0
claude,2,retrieval,AID,S8,0
claude,2,retrieval,AID,M1,11
claude,2,retrieval,AID,C6,0
claude,2,retrieval,AID,S4,1
claude,2,retrieval,AID,M8,15
claude,2,retrieval,AID,C2,0
claude,2,retrieval,AID,S7,0
claude,2,retrieval,AID,M3,8
claude,2,retrieval,AID,C7,0
claude,2,retrieval,AID,S2,1
claude,2,retrieval,AID,M6,7
claude,2,retrieval,AID,C4,0
claude,2,retrieval,AID,S5,0
claude,2,retrieval,M-UG,M4,1
claude,2,retrieval,M-UG,S6,12
claude,2,retrieval,M-UG,C1,2
claude,2,retrieval,M-UG,M2,1
claude,2,retrieval,M-UG,C8,4
claude,2,retrieval,M-UG,S3,3
claude,2,retrieval,M-UG,M7,1
claude,2,retrieval,M-UG,C5,5
claude,2,retrieval,M-UG,S1,3
claude,2,retrieval,M-UG,M5,1
claude,2,retrieval,M-UG,C3,3
claude,2,retrieval,M-UG,S8,9
claude,2,retrieval,M-UG,M1,1
claude,2,retrieval,M-UG,C6,5
claude,2,retrieval,M-UG,S4,13
claude,2,retrieval,M-UG,M8,1
claude,2,retrieval,M-UG,C2,4
claude,2,retrieval,M-UG,S7,1
claude,2,retrieval,M-UG,M3,1
claude,2,retrieval,M-UG,C7,3
claude,2,retrieval,M-UG,S2,3
claude,2,retrieval,M-UG,M6,1
claude,2,retrieval,M-UG,C4,8
claude,2,retrieval,M-UG,S5,14
claude,2,retrieval,C-KW,M4,10
claude,2,retrieval,C-KW,S6,0
claude,2,retrieval,C-KW,C1,0
claude,2,retrieval,C-KW,M2,9
claude,2,retrieval,C-KW,C8,0
claude,2,retrieval,C-KW,S3,1
claude,2,retrieval,C-KW,M7,14
claude,2,retrieval,C-KW,C5,0
claude,2,retrieval,C-KW,S1,1
claude,2,retrieval,C-KW,M5,9
claude,2,retrieval,C-KW,C3,0
claude,2,retrieval,C-KW,S8,0
claude,2,retrieval,C-KW,M1,12
claude,2,retrieval,C-KW,C6,0
claude,2,retrieval,C-KW,S4,1
claude,2,retrieval,C-KW,M8,14
claude,2,retrieval,C-KW,C2,0
claude,2,retrieval,C-KW,S7,0
claude,2,retrieval,C-KW,M3,9
claude,2,retrieval,C-KW,C7,0
claude,2,retrieval,C-KW,S2,1
claude,2,retrieval,C-KW,M6,9
claude,2,retrieval,C-KW,C4,0
claude,2,retrieval,C-KW,S5,0
claude,2,retrieval,BONUS,M4,5
claude,2,retrieval,BONUS,S6,0
claude,2,retrieval,BONUS,C1,1
claude,2,retrieval,BONUS,M2,8
claude,2,retrieval,BONUS,C8,0
claude,2,retrieval,BONUS,S3,0
claude,2,retrieval,BONUS,M7,13
claude,2,retrieval,BONUS,C5,0
claude,2,retrieval,BONUS,S1,0
claude,2,retrieval,BONUS,M5,5
claude,2,retrieval,BONUS,C3,0
claude,2,retrieval,BONUS,S8,0
claude,2,retrieval,BONUS,M1,30
claude,2,retrieval,BONUS,C6,0
claude,2,retrieval,BONUS,S4,0
claude,2,retrieval,BONUS,M8,18
claude,2,retrieval,BONUS,C2,1
claude,2,retrieval,BONUS,S7,1
claude,2,retrieval,BONUS,M3,5
claude,2,retrieval,BONUS,C7,1
claude,2,retrieval,BONUS,S2,0
claude,2,retrieval,BONUS,M6,12
claude,2,retrieval,BONUS,C4,0
claude,2,retrieval,BONUS,S5,0
claude,2,retrieval,M-LT,M4,1
claude,2,retrieval,M-LT,S6,12
claude,2,retrieval,M-LT,C1,2
claude,2,retrieval,M-LT,M2,1
claude,2,retrieval,M-LT,C8,4
claude,2,retrieval,M-LT,S3,3
claude,2,retrieval,M-LT,M7,1
claude,2,retrieval,M-LT,C5,5
claude,2,retrieval,M-LT,S1,3
claude,2,retrieval,M-LT,M5,1
claude,2,retrieval,M-LT,C3,3
claude,2,retrieval,M-LT,S8,9
claude,2,retrieval,M-LT,M1,1
claude,2,retrieval,M-LT,C6,5
claude,2,retrieval,M-LT,S4,13
claude,2,retrieval,M-LT,M8,1
claude,2,retrieval,M-LT,C2,4
claude,2,retrieval,M-LT,S7,1
claude,2,retrieval,M-LT,M3,1
claude,2,retrieval,M-LT,C7,3
claude,2,retrieval,M-LT,S2,3
claude,2,retrieval,M-LT,M6,1
claude,2,retrieval,M-LT,C4,8
claude,2,retrieval,M-LT,S5,14
claude,2,retrieval,C-UG,M4,8
claude,2,retrieval,C-UG,S6,1
claude,2,retrieval,C-UG,C1,1
claude,2,retrieval,C-UG,M2,8
claude,2,retrieval,C-UG,C8,1
claude,2,retrieval,C-UG,S3,2
claude,2,retrieval,C-UG,M7,10
claude,2,retrieval,C-UG,C5,1
claude,2,retrieval,C-UG,S1,2
claude,2,retrieval,C-UG,M5,8
claude,2,retrieval,C-UG,C3,1
claude,2,retrieval,C-UG,S8,2
claude,2,retrieval,C-UG,M1,11
claude,2,retrieval,C-UG,C6,1
claude,2,retrieval,C-UG,S4,3
claude,2,retrieval,C-UG,M8,11
claude,2,retrieval,C-UG,C2,1
claude,2,retrieval,C-UG,S7,2
claude,2,retrieval,C-UG,M3,8
claude,2,retrieval,C-UG,C7,1
claude,2,retrieval,C-UG,S2,2
claude,2,retrieval,C-UG,M6,9
claude,2,retrieval,C-UG,C4,2
claude,2,retrieval,C-UG,S5,3
claude,2,retrieval,C-TG,M4,1
claude,2,retrieval,C-TG,S6,10
claude,2,retrieval,C-TG,C1,6
claude,2,retrieval,C-TG,M2,1
claude,2,retrieval,C-TG,C8,6
claude,2,retrieval,C-TG,S3,3
claude,2,retrieval,C-TG,M7,1
claude,2,retrieval,C-TG,C5,5
claude,2,retrieval,C-TG,S1,3
claude,2,retrieval,C-TG,M5,1
claude,2,retrieval,C-TG,C3,5
claude,2,retrieval,C-TG,S8,1
claude,2,retrieval,C-TG,M1,1
claude,2,retrieval,C-TG,C6,16
claude,2,retrieval,C-TG,S4,1
claude,2,retrieval,C-TG,M8,1
claude,2,retrieval,C-TG,C2,13
claude,2,retrieval,C-TG,S7,1
claude,2,retrieval,C-TG,M3,0
claude,2,retrieval,C-TG,C7,7
claude,2,retrieval,C-TG,S2,2
claude,2,retrieval,C-TG,M6,5
claude,2,retrieval,C-TG,C4,14
claude,2,retrieval,C-TG,S5,1
claude,2,retrieval,M-KW,M4,1
claude,2,retrieval,M-KW,S6,12
claude,2,retrieval,M-KW,C1,2
claude,2,retrieval,M-KW,M2,1
claude,2,retrieval,M-KW,C8,4
claude,2,retrieval,M-KW,S3,3
claude,2,retrieval,M-KW,M7,1
claude,2,retrieval,M-KW,C5,5
claude,2,retrieval,M-KW,S1,3
claude,2,retrieval,M-KW,M5,1
claude,2,retrieval,M-KW,C3,3
claude,2,retrieval,M-KW,S8,10
claude,2,retrieval,M-KW,M1,1
claude,2,retrieval,M-KW,C6,5
claude,2,retrieval,M-KW,S4,13
claude,2,retrieval,M-KW,M8,1
claude,2,retrieval,M-KW,C2,4
claude,2,retrieval,M-KW,S7,1
claude,2,retrieval,M-KW,M3,1
claude,2,retrieval,M-KW,C7,3
claude,2,retrieval,M-KW,S2,3
claude,2,retrieval,M-KW,M6,1
claude,2,retrieval,M-KW,C4,7
claude,2,retrieval,M-KW,S5,14
claude,2,receiver,M-TG,TR1,33
claude,2,receiver,M-TG,TK2,20
claude,2,receiver,M-TG,TK1,15
claude,2,receiver,M-TG,TR2,32
claude,2,receiver,M-UG,UA2,33
claude,2,receiver,M-UG,UR1,18
claude,2,receiver,M-UG,UA1,32
claude,2,receiver,M-UG,UR2,17
claude,2,receiver,C-UG,UA2,25
claude,2,receiver,C-UG,UR1,25
claude,2,receiver,C-UG,UA1,25
claude,2,receiver,C-UG,UR2,25
claude,2,receiver,C-TG,TR1,30
claude,2,receiver,C-TG,TK2,22
claude,2,receiver,C-TG,TK1,18
claude,2,receiver,C-TG,TR2,30
claude,3,retrieval,AID,C6,0
claude,3,retrieval,AID,M5,5
claude,3,retrieval,AID,S2,2
claude,3,retrieval,AID,C4,0
claude,3,retrieval,AID,M8,10
claude,3,retrieval,AID,S7,1
claude,3,retrieval,AID,C1,0
claude,3,retrieval,AID,M3,5
claude,3,retrieval,AID,S5,0
claude,3,retrieval,AID,C8,0
claude,3,retrieval,AID,M1,13
claude,3,retrieval,AID,S4,0
claude,3,retrieval,AID,C3,0
claude,3,retrieval,AID,M6,9
claude,3,retrieval,AID,S8,0
claude,3,retrieval,AID,C7,0
claude,3,retrieval,AID,M2,15
claude,3,retrieval,AID,S6,0
claude,3,retrieval,AID,C5,0
claude,3,retrieval,AID,M7,18
claude,3,retrieval,AID,S3,1
claude,3,retrieval,AID,C2,0
claude,3,retrieval,AID,M4,20
claude,3,retrieval,AID,S1,1
claude,3,retrieval,M-LT,C6,16
claude,3,retrieval,M-LT,M5,1
claude,3,retrieval,M-LT,S2,2
claude,3,retrieval,M-LT,C4,12
claude,3,retrieval,M-LT,M8,4
claude,3,retrieval,M-LT,S7,1
claude,3,retrieval,M-LT,C1,4
claude,3,retrieval,M-LT,M3,1
claude,3,retrieval,M-LT,S5,3
claude,3,retrieval,M-LT,C8,3
claude,3,retrieval,M-LT,M1,7
claude,3,retrieval,M-LT,S4,3
claude,3,retrieval,M-LT,C3,2
claude,3,retrieval,M-LT,M6,10
claude,3,retrieval,M-LT,S8,2
claude,3,retrieval,M-LT,C7,3
claude,3,retrieval,M-LT,M2,6
claude,3,retrieval,M-LT,S6,14
claude,3,retrieval,M-LT,C5,2
claude,3,retrieval,M-LT,M7,2
claude,3,retrieval,M-LT,S3,1
claude,3,retrieval,M-LT,C2,5
claude,3,retrieval,M-LT,M4,1
claude,3,retrieval,M-LT,S1,0
claude,3,retrieval,C-TG,C6,16
claude,3,retrieval,C-TG,M5,0
claude,3,retrieval,C-TG,S2,2
claude,3,retrieval,C-TG,C4,15
claude,3,retrieval,C-TG,M8,0
claude,3,retrieval,C-TG,S7,1
claude,3,retrieval,C-TG,C1,8
claude,3,retrieval,C-TG,M3,0
claude,3,retrieval,C-TG,S5,1
claude,3,retrieval,C-TG,C8,9
claude,3,retrieval,C-TG,M1,0
claude,3,retrieval,C-TG,S4,1
claude,3,retrieval,C-TG,C3,8
claude,3,retrieval,C-TG,M6,2
claude,3,retrieval,C-TG,S8,0
claude,3,retrieval,C-TG,C7,10
claude,3,retrieval,C-TG,M2,0
claude,3,retrieval,C-TG,S6,5
claude,3,retrieval,C-TG,C5,6
claude,3,retrieval,C-TG,M7,0
claude,3,retrieval,C-TG,S3,3
claude,3,retrieval,C-TG,C2,12
claude,3,retrieval,C-TG,M4,0
claude,3,retrieval,C-TG,S1,1
claude,3,retrieval,C-KW,C6,1
claude,3,retrieval,C-KW,M5,9
claude,3,retrieval,C-KW,S2,1
claude,3,retrieval,C-KW,C4,2
claude,3,retrieval,C-KW,M8,13
claude,3,retrieval,C-KW,S7,0
claude,3,retrieval,C-KW,C1,1
claude,3,retrieval,C-KW,M3,10
claude,3,retrieval,C-KW,S5,1
claude,3,retrieval,C-KW,C8,1
claude,3,retrieval,C-KW,M1,15
claude,3,retrieval,C-KW,S4,1
claude,3,retrieval,C-KW,C3,1
claude,3,retrieval,C-KW,M6,13
claude,3,retrieval,C-KW,S8,0
claude,3,retrieval,C-KW,C7,1
claude,3,retrieval,C-KW,M2,14
claude,3,retrieval,C-KW,S6,0
claude,3,retrieval,C-KW,C5,1
claude,3,retrieval,C-KW,M7,14
claude,3,retrieval,C-KW,S3,1
claude,3,retrieval,C-KW,C2,1
claude,3,retrieval,C-KW,M4,12
claude,3,retrieval,C-KW,S1,0
claude,3,retrieval,M-TG,C6,15
claude,3,retrieval,M-TG,M5,0
claude,3,retrieval,M-TG,S2,2
claude,3,retrieval,M-TG,C4,15
claude,3,retrieval,M-TG,M8,0
claude,3,retrieval,M-TG,S7,1
claude,3,retrieval,M-TG,C1,8
claude,3,retrieval,M-TG,M3,0
claude,3,retrieval,M-TG,S5,1
claude,3,retrieval,M-TG,C8,9
claude,3,retrieval,M-TG,M1,0
claude,3,retrieval,M-TG,S4,1
claude,3,retrieval,M-TG,C3,8
claude,3,retrieval,M-TG,M6,1
claude,3,retrieval,M-TG,S8,0
claude,3,retrieval,M-TG,C7,11
claude,3,retrieval,M-TG,M2,0
claude,3,retrieval,M-TG,S6,5
claude,3,retrieval,M-TG,C5,6
claude,3,retrieval,M-TG,M7,0
claude,3,retrieval,M-TG,S3,3
claude,3,retrieval,M-TG,C2,12
claude,3,retrieval,M-TG,M4,0
claude,3,retrieval,M-TG,S1,2
claude,3,retrieval,C-UG,C6,2
claude,3,retrieval,C-UG,M5,9
claude,3,retrieval,C-UG,S2,1
claude,3,retrieval,C-UG,C4,3
claude,3,retrieval,C-UG,M8,12
claude,3,retrieval,C-UG,S7,0
claude,3,retrieval,C-UG,C1,1
claude,3,retrieval,C-UG,M3,9
claude,3,retrieval,C-UG,S5,1
claude,3,retrieval,C-UG,C8,1
claude,3,retrieval,C-UG,M1,14
claude,3,retrieval,C-UG,S4,1
claude,3,retrieval,C-UG,C3,1
claude,3,retrieval,C-UG,M6,12
claude,3,retrieval,C-UG,S8,0
claude,3,retrieval,C-UG,C7,1
claude,3,retrieval,C-UG,M2,13
claude,3,retrieval,C-UG,S6,1
claude,3,retrieval,C-UG,C5,1
claude,3,retrieval,C-UG,M7,13
claude,3,retrieval,C-UG,S3,1
claude,3,retrieval,C-UG,C2,2
claude,3,retrieval,C-UG,M4,11
claude,3,retrieval,C-UG,S1,0
claude,3,retrieval,BONUS,C6,0
claude,3,retrieval,BONUS,M5,4
claude,3,retrieval,BONUS,S2,0
claude,3,retrieval,BONUS,C4,0
claude,3,retrieval,BONUS,M8,14
claude,3,retrieval,BONUS,S7,1
claude,3,retrieval,BONUS,C1,1
claude,3,retrieval,BONUS,M3,4
claude,3,retrieval,BONUS,S5,0
claude,3,retrieval,BONUS,C8,0
claude,3,retrieval,BONUS,M1,30
claude,3,retrieval,BONUS,S4,0
claude,3,retrieval,BONUS,C3,0
claude,3,retrieval,BONUS,M6,10
claude,3,retrieval,BONUS,S8,0
claude,3,retrieval,BONUS,C7,1
claude,3,retrieval,BONUS,M2,15
claude,3,retrieval,BONUS,S6,0
claude,3,retrieval,BONUS,C5,0
claude,3,retrieval,BONUS,M7,13
claude,3,retrieval,BONUS,S3,0
claude,3,retrieval,BONUS,C2,1
claude,3,retrieval,BONUS,M4,5
claude,3,retrieval,BONUS,S1,1
claude,3,retrieval,M-KW,C6,15
claude,3,retrieval,M-KW,M5,1
claude,3,retrieval,M-KW,S2,2
claude,3,retrieval,M-KW,C4,12
claude,3,retrieval,M-KW,M8,5
claude,3,retrieval,M-KW,S7,1
claude,3,retrieval,M-KW,C1,4
claude,3,retrieval,M-KW,M3,1
claude,3,retrieval,M-KW,S5,3
claude,3,retrieval,M-KW,C8,3
claude,3,retrieval,M-KW,M1,8
claude,3,retrieval,M-KW,S4,2
claude,3,retrieval,M-KW,C3,2
claude,3,retrieval,M-KW,M6,9
claude,3,retrieval,M-KW,S8,1
claude,3,retrieval,M-KW,C7,3
claude,3,retrieval,M-KW,M2,6
claude,3,retrieval,M-KW,S6,12
claude,3,retrieval,M-KW,C5,2
claude,3,retrieval,M-KW,M7,3
claude,3,retrieval,M-KW,S3,1
claude,3,retrieval,M-KW,C2,4
claude,3,retrieval,M-KW,M4,1
claude,3,retrieval,M-KW,S1,0
claude,3,retrieval,C-LT,C6,1
