vignette_id,structure,sender_profile,sender_keeps,sender_gives,receiver_action,receiver_transfer,setting,market_anonymous,text
TG-M-RET-P,TG,Moral,3,3,return,3,personal,False,"Miriam starts with six investment tokens and may send some to Roberto. Every token sent is tripled before Roberto receives it, and Roberto then decides how many tokens to return. Miriam says a fair outcome should leave them with equal final amounts, so she sends three tokens. Roberto receives nine and returns three. Miriam finishes with six tokens and Roberto with six."
TG-M-RET-K,TG,Moral,3,3,return,3,market,True,"An anonymous firm receives six financing units in a one-time platform transaction. It may send units to another anonymous firm; every unit sent becomes three revenue units, after which the receiving firm chooses a return payment. The first firm's manager selects three units as the amount compatible with an equal final outcome. The receiver obtains nine units and returns three, leaving each firm with six."
TG-M-KEEP-P,TG,Moral,3,3,keep,0,personal,False,"Alessia starts with six investment tokens and may send some to Enrico. Every token sent is tripled before Enrico receives it, and Enrico then chooses how many to return. Alessia says an equal final outcome would be fair and sends three tokens. Enrico receives nine tokens but returns none. Alessia finishes with the three she kept, while Enrico keeps all nine."
TG-M-KEEP-K,TG,Moral,3,3,keep,0,market,True,"A firm receives six financing units in an anonymous one-time platform transaction. Any units it sends to another anonymous firm are tripled, after which the receiver determines the return payment. The first firm's manager sends three units because this could support an equal final allocation. The receiver obtains nine revenue units but returns nothing, keeping all nine while the sender retains only three."
TG-S-RET-P,TG,Self-interest,5,1,return,2,personal,False,"Nicola starts with six trading tokens and may send some to Beatrice. Each token sent becomes three sales tokens, after which Beatrice decides how many to return. Nicola wants to expose as little of his own balance as possible while still creating a return opportunity, so he sends one token and keeps five. Beatrice receives three tokens and returns two to Nicola."
TG-S-RET-K,TG,Self-interest,5,1,return,2,market,True,"An anonymous investor receives six financing units for a single transaction with an anonymous seller. Every unit advanced produces three revenue units, after which the seller chooses the repayment. The investor wants to keep most funds under its own control and advances only one unit. The seller generates three revenue units and returns two, so the investor finishes with seven units."
TG-S-KEEP-P,TG,Self-interest,5,1,keep,0,personal,False,"Giorgio starts with six sales tokens and may send some to Valentina. Each token sent creates three sales tokens, after which Valentina decides how many to return. Giorgio wants to retain almost all of his original balance and risk only a small amount, so he sends one token and keeps five. Valentina receives three tokens and returns nothing, keeping all three."
TG-S-KEEP-K,TG,Self-interest,5,1,keep,0,market,True,"A one-time anonymous investor receives six financing units and may advance some to an anonymous online seller. Each unit advanced creates three revenue units, after which the seller chooses the repayment. The investor wants to retain almost all of its funds and advances only one unit. The seller receives three revenue units and returns nothing, while the investor keeps its remaining five."
TG-C-RET-P,TG,Cooperation,0,6,return,9,personal,False,"Camilla starts with six production tokens and may send some to Federico. Every token sent is tripled before Federico receives it, and Federico then chooses how many to return. Camilla sends all six tokens so that the largest possible joint surplus, eighteen tokens, can be produced. Federico receives eighteen and returns nine. Camilla and Federico each finish with nine tokens."
TG-C-RET-K,TG,Cooperation,0,6,return,9,market,True,"An anonymous supplier receives six input units for a one-time transaction with an anonymous retailer. Every unit supplied produces three revenue units, after which the retailer chooses a repayment. The supplier sends all six units so the transaction can generate the maximum joint revenue of eighteen. The retailer receives eighteen revenue units and returns nine, leaving nine units with each anonymous firm."
TG-C-KEEP-P,TG,Cooperation,0,6,keep,0,personal,False,"Silvia starts with six production tokens and may send some to Lorenzo. Each token sent becomes three output tokens, after which Lorenzo decides how many to return. Silvia sends all six tokens so that they can produce the maximum joint surplus of eighteen. Lorenzo receives eighteen output tokens but returns none. Silvia finishes with zero, while Lorenzo keeps all eighteen."
TG-C-KEEP-K,TG,Cooperation,0,6,keep,0,market,True,"An anonymous supplier has six input units in a one-time platform transaction with an anonymous retailer. Each supplied unit produces three revenue units, after which the retailer decides the repayment. The supplier sends all six units to generate the maximum joint revenue of eighteen. The retailer receives eighteen revenue units but returns nothing, so the supplier finishes with zero and the retailer keeps all eighteen."
