source_row,ra1_code,ra2_code,llm_code,agreement_support,PROLIFIC_PID,game,story,reasons,training_code,training_category
1588,2,3,3,llm_and_one_ra,63ced9adadc38e1acc2b58b6,dgkw,1,I thought this change was a strong recommendation and showed that my data is a good choice and quality entry,3,Self-interest
1596,1,2,2,llm_and_one_ra,64d542239dcf23c895827837,dgkw,1,"It seemed like a resonable discount, also it is an even number and i hope my partner picks it",2,Mutual Benefit / Cooperation
2410,3,2,3,llm_and_one_ra,676a584412b90586c1da74a0,dglt,0,"I thought to myself, what would the other participant do?",3,Self-interest
2439,3,3,3,all_three,64ab68704360985ae9dea61f,dglt,0,"I had no choice in what was allocated from the computer.  I was chosen to have more, so that is the luck of the draw.",3,Self-interest
2615,3,3,3,all_three,631123376033bb148edc0ebb,dglt,0,"The allocation that I was given is what I would have chosen, I didn't want to change it.",3,Self-interest
2766,1,3,1,llm_and_one_ra,5e3b759740e302397f294a2d,dglt,0,I accept the allocation that I was given and dont feel the need to give or take any money to the other participant.,1,Moral
3237,1,2,1,llm_and_one_ra,5707c88f374137000fbc5aec,tg,0,I THOUGHT THAT WAS A RESAONABLE SUM.,1,Moral
3305,2,1,1,llm_and_one_ra,680dc9d524604b69fbc41814,tg,0,"So Player 1 gets $6, he can choose how much to send back. If he chooses $1 for example, we both get $5.",1,Moral
3338,2,1,1,llm_and_one_ra,6658b1e184cb793eeaa03fbc,tg,0,As they would then get 6,1,Moral
3449,3,3,3,all_three,69c55b66d8ade7f9bd6109d6,tg,0,I chose to send 1.5 because I think am the bigger decider,3,Self-interest
3501,1,3,1,llm_and_one_ra,6736112af674ebe6a3298994,tg,0,I think it's normal amount and flexed,1,Moral
3571,1,3,3,llm_and_one_ra,63038022102690944a6720cf,tg,0,I personally feel like it's a good amount,3,Self-interest
3867,1,3,3,llm_and_one_ra,66699f85a69c5a20e26d0446,tg,1,This is base in the instruction as best option,3,Self-interest
4014,3,3,3,all_three,5e3158990da2f214583fed0a,tg,1,Just seemed like the best choice to me,3,Self-interest
4026,1,1,1,all_three,63f9af803f5fc2fdaf3977f4,tg,1,Seems sensible to choose the midpoint. ,1,Moral
4052,3,2,3,llm_and_one_ra,67335e8a302aac96120cc104,tg,1,I wanted to see who will get with a non-split,3,Self-interest
4153,3,3,3,all_three,55cb5f66fdf99b2da2a053af,tg,1,I just thought it was the smartest choice,3,Self-interest
4159,1,3,1,llm_and_one_ra,5c276a6b70d93a000120f63b,tg,1,I felt that this was the most accurate response,1,Moral
4212,2,2,2,all_three,69bb6ecc1fe6ad3c246ea942,tg,1,"I'm not really sure what we're doing here. I understand the broker will receive 3x what I sent, but I'm not sure what the benefit is of keeping any data, so I chose I higher amount of data to send.",2,Mutual Benefit / Cooperation
4271,2,2,2,all_three,69ce797b0fda54134367feeb,tg,1,Because that is the amount the broker is willing to sell it for,2,Mutual Benefit / Cooperation
4305,1,2,1,llm_and_one_ra,69b0cfe7076b7ef983adc570,tg,1,This seemed like a reasonable amount.,1,Moral
4306,2,1,1,llm_and_one_ra,69d8501df44c01f3dd2ebc20,tg,1,No specific reason. I just decided to half it for both broker and the research team.,1,Moral
4367,1,2,1,llm_and_one_ra,69dd33b86f70aa687d35f7fd,tg,1,I chose $5 because it is a nice even number.,1,Moral
5629,2,2,2,all_three,69cbcec84da6cce6321abe1a,ug,0,Choosing this proposal simply means that i trust my colleague to be able to handle and make the right decisions about it and implement it.,2,Mutual Benefit / Cooperation
5651,1,3,1,llm_and_one_ra,69bc2e44548552e940d2c1e0,ug,0,I feel that the  amount i have  allocated to the player is sufficient.,1,Moral
5687,3,3,3,all_three,69db57b5e8dd8e9c01bcd866,ug,0,i chose to allocate less than half of the allotted amount due to personal preference,3,Self-interest
5693,1,3,3,llm_and_one_ra,69ddf5283bb835229738467d,ug,0,i feel that would be enough.,3,Self-interest
5742,3,3,3,all_three,67e6d5f9bbdbca5a13db27ed,ug,0,it is based on my personal allocation following the instruction that was given.,3,Self-interest
5788,1,3,3,llm_and_one_ra,697f07ae9595abbff4c39ffb,ug,0,BECAUSE I FEEL LIKE IT WILL BE ENOUGH,3,Self-interest
5831,1,3,1,llm_and_one_ra,69e3d97f631f2d671134a3a7,ug,0,5 seemed like it would be the most likely split between 10 hence I chose it instead of 6.,1,Moral
5842,1,1,1,all_three,6980f465beddc5f033e1c6a2,ug,0,it was in the middle,1,Moral
5901,1,2,1,llm_and_one_ra,6151f8d17451289b4a59a6a8,ug,0,A friendly introduction to other person.,1,Moral
6055,2,3,3,llm_and_one_ra,6993a2122ad1ab7ae567e395,ug,0,I choose this proposal because it's the better choice and best choice.,3,Self-interest
6211,3,3,3,all_three,6768434c73d3cbf6add74da9,ug,1,I didn't want to change the price,3,Self-interest
6213,2,3,3,llm_and_one_ra,67673cda94b4d0cf1a6a7382,ug,1,I just didn't want to change the price. Just wanted to go with it.,3,Self-interest
6214,1,3,3,llm_and_one_ra,69baad8d3dcf97ce81dae5c2,ug,1,This seemed like the optimal price,3,Self-interest
6245,2,2,2,all_three,5dbb0562b1df1b110ead5bba,ug,1,It was the amount used in the example so thought it would work out successfully ,2,Mutual Benefit / Cooperation
6250,1,2,2,llm_and_one_ra,6715b46f9f59f9e05837029a,ug,1,I felt it was the right decision for the sale.,2,Mutual Benefit / Cooperation
6252,3,3,3,all_three,69c1cc91d4f2f932e6077822,ug,1,Honestly I didn't see a reason to subtract the total so I went with what the computer listed,3,Self-interest
6279,1,2,1,llm_and_one_ra,69cebffc3abfa52b0c8e34d5,ug,1,I chose this because I felt it was the most reasonable. ,1,Moral
6288,1,3,1,llm_and_one_ra,65c124f50d9f69bff3c15313,ug,1,$10 as the price is not a bad amount and not too much or too small,1,Moral
6291,2,3,3,llm_and_one_ra,69a2729e738108a5ae7b0fc9,ug,1,I think the $12.00 price is good.,3,Self-interest
6293,3,3,3,all_three,69da5f6151635793903f5638,ug,1,I want the price to remain at that.,3,Self-interest
6301,3,3,3,all_three,69d434ba402b76af7c7cd069,ug,1,I did not want to change the price amount.  $12 seems good. ,3,Self-interest
6302,1,2,2,llm_and_one_ra,5f174b1c034f640a2364c426,ug,1,it seems a good price,2,Mutual Benefit / Cooperation
6342,1,2,1,llm_and_one_ra,6106be7782b53b55a4d92587,ug,1,Not too little not too much,1,Moral
6415,3,3,3,all_three,631123376033bb148edc0ebb,ug,1,"I want to keep the price as it is, do not change it.",3,Self-interest
6436,1,1,1,all_three,5ff0715715b59b3ab8009888,ug,1,I always go for somewhere in the middle,1,Moral
6437,1,2,2,llm_and_one_ra,69951a858846bd48df012f7b,ug,1,"I found the computers starting price is acceptable, hopefully to negotiations.",2,Mutual Benefit / Cooperation
6451,2,3,3,llm_and_one_ra,5efdb4266a255121c1bcc531,ug,1,I think this would be the best option for the outcome,3,Self-interest
6493,1,1,1,all_three,669c5685010cd2159e2024b1,ug,1,Because it was the average. ,1,Moral
6537,3,3,3,all_three,69ab409b130a3bb7fa229e02,ug,1,I didn't want to change the price.,3,Self-interest
6551,3,3,3,all_three,64320c7e058c530eea927103,ug,1,i didn;t want to change the price by very much,3,Self-interest
6564,3,3,3,all_three,69ae0d684ac4df4fbfc2b30f,ug,1,I just wanted to change the price a little bit. Just to test the broker really.,3,Self-interest
6565,1,2,1,llm_and_one_ra,605e4cc9d4e548bca0ad00ad,ug,1,£10 looked reasonable,1,Moral
6567,3,2,3,llm_and_one_ra,5cf96e582c528a000143f8e7,ug,1,I chose as a test the full amount to see what happened,3,Self-interest
6595,3,3,3,all_three,697a8631cb24ee7e91e5744e,ug,1,I went with the recommended set price and will not change that until the market says otherwise. ,3,Self-interest
6600,2,3,3,llm_and_one_ra,62879b859698ba45e6afa90f,ug,1,"To be perfectly honest the number 10 was more appealing than the number 12. You did ask that I be truthful and careful, as I just did.",3,Self-interest
6614,1,3,1,llm_and_one_ra,5dceca2541afe801a32e27ac,ug,1,I think that the broker would be very willing to accept a price that is 1/2 of what is expected.,1,Moral
6616,3,3,3,all_three,628bb31571a8935ee2dbd6f9,ug,1,I wanted to keep it at that amount,3,Self-interest
6617,2,3,3,llm_and_one_ra,69d59bb26cbbb9ca14a5eb04,ug,1,I decided to lower the price by 1.00 to see what the other participant will chose because I am curious which amount is acceptable to them,3,Self-interest
6622,1,3,1,llm_and_one_ra,699e02c290f0a9129d233bf4,ug,1,I thought that close to $12 minus .5 seemed like a reasonable amount for the thing.,1,Moral
6638,3,3,3,all_three,69bab75a24b4f3a6127c2bd1,ug,1,I just wanted it to be slightly lower,3,Self-interest
6657,1,2,1,llm_and_one_ra,651c455ed0c3f987bf5e1a72,ug,1,im sure what the other person choose i felt like it by be reasonable price,1,Moral
6675,1,2,1,llm_and_one_ra,5fc0add1954a2256e62c13da,ug,1,-3 seemed like a reasonable reduction in the circumstances,1,Moral
6695,3,3,3,all_three,6679cfba14b59d3f748dd414,ug,1,I'm actually not too sure why I choose it. I guess I wanted the lest impact. ,3,Self-interest
6711,2,3,3,llm_and_one_ra,5b27d79e878ec200017b0eb3,ug,1,i thought it was the best result,3,Self-interest
6714,1,2,1,llm_and_one_ra,668525b0e1eff8d40c686ec0,ug,1,This price is reasonable ,1,Moral
6723,2,3,3,llm_and_one_ra,676302645c023570f5d43a0f,ug,1,I chose the proposal because I like the price and I it is very good.,3,Self-interest
6760,1,2,1,llm_and_one_ra,580ff8b4b2432b00013e28b5,ug,1,"I guess it just seems reasonable to try to reduce the price at least a little, I don't have a good rationale for the exact number I chose.",1,Moral
6788,1,1,1,all_three,5ea48ae3461d1044f2d282cc,ug,1,"If I understand correctly, if I choose $6 as the price, that means both I and the broker will receive the same earning? To sell for $6 I have to reduce the price by $6.",1,Moral
