StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q231,Q4,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q224,Q234_First Click,Q234_Last Click,Q234_Page Submit,Q234_Click Count,Q236_First Click,Q236_Last Click,Q236_Page Submit,Q236_Click Count,Q244_First Click,Q244_Last Click,Q244_Page Submit,Q244_Click Count,Q225_First Click,Q225_Last Click,Q225_Page Submit,Q225_Click Count,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,transfer,reasons,beliefs,beliefs_hp,attention_check,story,Q_DataPolicyViolations
2026-04-21 11:14:56,2026-04-21 11:18:26,0,,100,210,1,2026-04-21 11:18:27,R_8m3sp8J1Us7EZKW,,,,,,,anonymous,EN,1,,,1,1,3,2,Steve and his team were awarded a performance bonus for exceeding their target. The director gave Steve the bonus. Steve does not whether to keep the whole bonus or share with Max.,0,0,2.022,0,8.782,9.8,12.266,2,In the hope they will then send half back and we get $9 each,3.643,3.643,5.509,1,,,,,3.959,3.959,5.499,1,0,0,0.22,0,0,0,62aae73fdf5c0791aab9cf42,69e75c246eec4fa63fd622b7,69e7557895b8b62fbc3c50b8,6,In the hope they will then send half back and we get $9 each,9,3,1,2,
2026-04-21 11:13:39,2026-04-21 11:18:52,0,,100,313,1,2026-04-21 11:18:53,R_2BhDyRO8a6jt4n1,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve has been awarded a bonus, based on his teams performance and exceeding their sales targets. Steve can choose to keep the whole bonus or share it with his teammate. ",0,0,2.013,0,18.064,18.064,18.973,1,"I am not sure whether the other player knows the rules, but given that my amount is multiplied, this will give them a good amount of 'bonus' Even if they send me a third of their amount back, I'll be quids in. I am hopeing generosity breeds generosity. The amount I hve kepts is less, but still more than I had before!",8.633,8.633,9.557,1,,,,,10.204,10.204,11.145,1,0,0,0.218,0,0,2,668466eedf5df9893a0e9bb9,69e75bcf5dd107d480fd625b,69e7557895b8b62fbc3c50b8,4,"I am not sure whether the other player knows the rules, but given that my amount is multiplied, this will give them a good amount of 'bonus' Even if they send me a third of their amount back, I'll be quids in. I am hopeing generosity breeds generosity. The amount I hve kepts is less, but still more than I had before!",5,2,1,2,
2026-04-21 11:04:22,2026-04-21 11:19:03,0,,100,881,1,2026-04-21 11:19:03,R_25V6XsCjtkdQOqd,,,,,,,anonymous,EN,1,,,1,1,3,2,"James applied for financial welfare assistance through a government agency. James was selected but on visiting the agency he met Mark, a neighbour who had not been selected for financial help, and James now faced a moral dilemma of whether to give Mark some money.",0,0,2.113,0,38.454,116.143,119.572,3,I do not fully trust Player two to make the right moral decision if I send all $6 to be multiplied. If I send $1.50 we both have an equal share without Player 2 having to make a decision on sharing a fair amount. If I knew I could trust Player 2 I would try and maximise our profit to $9 each. I was very close to sending $6.,8.096,8.096,10.812,1,,,,,15.65,15.65,19.15,1,0,0,0.212,0,0,4.5,6266ac01a2a15cce6ed5fba7,69e759add3d2985a46e008cc,69e7557895b8b62fbc3c50b8,1.5,I do not fully trust Player two to make the right moral decision if I send all $6 to be multiplied. If I send $1.50 we both have an equal share without Player 2 having to make a decision on sharing a fair amount. If I knew I could trust Player 2 I would try and maximise our profit to $9 each. I was very close to sending $6.,0,0,1,4,
2026-04-21 11:15:39,2026-04-21 11:21:02,0,,100,323,1,2026-04-21 11:21:02,R_85XgUV24BQ36NGJ,,,,,,,anonymous,EN,1,,,1,1,3,2,"Struggling James received the full entitlement for financial assistance. On going to collect the assistance he learned that his neighbour James who is also struggling did not qualify. Dilemma, should James help Mark?",0,0,2.02,0,15.885,23.397,24.449,2,The $2 would be multiplied by 3 and so would equate to $6. I would hope that the other player would also end $2.,5.318,7.7,8.891,2,,,,,,,,,0,0,0.211,0,1,4,6543abc4a891f67206a11481,69e75c559f30ddd1ef1693e1,69e7557895b8b62fbc3c50b8,2,The $2 would be multiplied by 3 and so would equate to $6. I would hope that the other player would also end $2.,2,,1,4,
2026-04-21 11:13:02,2026-04-21 11:21:03,0,,100,481,1,2026-04-21 11:21:04,R_21j6xPxHA4sBgn7,,,,,,,anonymous,EN,1,,,1,1,3,2,"James was experiencing financial difficules and was pleased to hear he had been selected to receive aid.  When he went to collect his aid he met an acquaintance, Mark , who had also applied for this assistance but had been rejected.  James now faced a difficult decision on whether to give Mark some of his assistance as he was also struggling.",0,0,2.113,0,9.096,13.048,15.782,3,I thought that at least I would have half the original amount regardless of what player 2 sent me,8.153,14.248,17.013,3,,,,,12.219,23.37,26.477,3,0,0,0.207,0,0,3,60170c02d3a5ad927c5ccb77,69e75bae51ee04196a4aec73,69e7557895b8b62fbc3c50b8,3,I thought that at least I would have half the original amount regardless of what player 2 sent me,4.5,2,1,4,
2026-04-21 11:20:30,2026-04-21 11:21:35,0,,100,64,1,2026-04-21 11:21:35,R_8dmd5Yl5DxV7IWs,,,,,,,anonymous,EN,1,,,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5c561712f9120f0001d29c4d,69e75d79cb5f290f5fb60a2f,69e7557895b8b62fbc3c50b8,,,,,1,,
2026-04-21 11:21:41,2026-04-21 11:21:54,0,,100,13,1,2026-04-21 11:21:54,R_2mRt8l7i7ykaEiB,,,,,,,anonymous,EN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,69e65cb2f360c1e575c22235,69e75dbf13ade51120c45943,69e7557895b8b62fbc3c50b8,,,,,0,,
2026-04-21 11:11:55,2026-04-21 11:22:02,0,,100,607,1,2026-04-21 11:22:02,R_2ahPEMgtDv8PG2u,,,,,,,anonymous,EN,1,,,1,1,3,2,"James, who had been going through a rough time financially, received the good news that he had been approved for financial assistance from the government that he had applied to previously. Upon going to collect the financial aid from the agency, he bumped into a neighbour, Mark, who had also applied but had been denied the help. He questioned giving some of the money to Mark but was conflicted about the decision.",0,0,2.009,0,13.441,29.475,31.47,2,"I figured that by sending $1, the other participant would recieve $3 with minimal loss to my amount. ",4.674,6.865,9.305,2,,,,,5.559,11.262,13.198,5,0,0,0.216,0,1,5,555a457afdf99b10ecc87187,69e75b7174559355ebbd9d94,69e7557895b8b62fbc3c50b8,1,"I figured that by sending $1, the other participant would recieve $3 with minimal loss to my amount. ",0,2,1,4,
2026-04-21 11:11:42,2026-04-21 11:23:02,0,,100,680,1,2026-04-21 11:23:03,R_6BWSfNmjTj6OH6S,,,,,,,anonymous,EN,1,,,1,1,3,2,"As the team leader of a project, Steve was given a bonus and was offered the choice to either keep the full bonus or to share it with a team member who made a significant contribution to the project.",0,0,2.01,0,12.568,64.305,65.372,3,I felt this was a fair way to share the money as it gave the person $6 which is more than I have now and if they decide not to reciprocate I would still have a decent amount of money.  If they do decide to share I could have the opportunity to break even or possibly make more money.  Overall I felt good about this decision and would not feel upset if they did not share. ,18.928,18.928,29.726,1,,,,,,,,,0,0,0.209,0,0,4,6234afc11b0f28d2f618991c,69e75b5f7424beb55e690056,69e7557895b8b62fbc3c50b8,2,I felt this was a fair way to share the money as it gave the person $6 which is more than I have now and if they decide not to reciprocate I would still have a decent amount of money.  If they do decide to share I could have the opportunity to break even or possibly make more money.  Overall I felt good about this decision and would not feel upset if they did not share. ,1,,1,2,
2026-04-21 11:18:16,2026-04-21 11:23:27,0,,100,311,1,2026-04-21 11:23:27,R_2MniBCmzpiX59Mp,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steven was team captain in his team and they managed to get a bonus, the dircetor allowed steve to keep the bonus or dish out some to his team. He now faced a big decision",0,0,2.011,0,5.341,14.497,15.231,5,it will be tripled so they will be getting 6 ,6.426,6.426,7.214,1,,,,,,,,,0,0,0.215,0,1,4,6759980d797dbe50150130e0,69e75cf228a3eeee4464f9b7,69e7557895b8b62fbc3c50b8,2,it will be tripled so they will be getting 6 ,2,,1,2,
2026-04-21 11:20:27,2026-04-21 11:24:38,0,,100,250,1,2026-04-21 11:24:38,R_5vR224x5UytPl3b,,,,,,,anonymous,EN,1,,,1,1,3,2,James qualified for government assistance while Mark did not. Mark is just an acquaintance. ,0,0,2.115,0,11.865,15.631,30.299,2,in the end we would both end up with the same amount if player 2 chooses not to send anything back. ,4.594,6.255,8.207,3,,,,,9.972,9.972,11.058,1,0,0,0.211,0,0,4.5,663b904366436f090b4b7704,69e75d72cff8be1581e4150e,69e7557895b8b62fbc3c50b8,1.5,in the end we would both end up with the same amount if player 2 chooses not to send anything back. ,0,1.5,1,4,
2026-04-21 11:17:48,2026-04-21 11:25:16,0,,100,448,1,2026-04-21 11:25:16,R_7awSB1VWPxRr5wi,,,,,,,anonymous,EN,1,,,1,1,3,2,"Two men have applied for social assistance with a federal agency. One has been approved for financial assistance, while the other has yet to be approved.",0,0,2.111,0,34.071,38.651,50.983,4,"Since the amount will be multiplied by 3, I feel this is a fair share of what has been given to me.",7.127,27.767,30.031,3,,,,,13.498,13.498,16.493,1,0,0,0.207,0,0,5,67794d9c602cb30aad2a4993,69e75cd451ee04196a4aec98,69e7557895b8b62fbc3c50b8,1,"Since the amount will be multiplied by 3, I feel this is a fair share of what has been given to me.",0,1,1,4,
2026-04-21 11:20:47,2026-04-21 11:25:17,0,,100,269,1,2026-04-21 11:25:18,R_3eJl9bBzEuBacDL,,,,,,,anonymous,EN,1,,,1,1,3,2,"He should give Max half of the bonus, that is fair.",0,0,2.01,0,1.201,10.89,13.653,6,"I hope they would return half of it to me, a lot of people would.",4.545,4.545,12.189,1,,,,,4.243,4.243,5.201,1,0,0,0.21,0,0,3,5e8a1827052175000938eb91,69e75d86d653f76d1a7fe441,69e7557895b8b62fbc3c50b8,3,"I hope they would return half of it to me, a lot of people would.",4,2,1,2,
2026-04-21 11:21:16,2026-04-21 11:26:00,0,,100,283,1,2026-04-21 11:26:00,R_83RsSOeDfifFnDr,,,,,,,anonymous,EN,1,,,1,1,3,2,"Steve is team leader of a sales team, which has worked hard to exceed their sales target.   The director tells Steve that the entire bonus will be given to him, but he can share it with his colleague Max if he chooses - Steve has to decide whether to do so.",0,0,2.005,0,6.241,6.241,7.527,1,"Player 2 will receive $9.  Hopefully they will send me back $3, so that I also receive $9.",3.286,3.286,4.653,1,,,,,10.276,10.276,11.386,1,0,0,0.204,0,0,3,5d7874252f037f0016637125,69e75da474a3e824e672c435,69e7557895b8b62fbc3c50b8,3,"Player 2 will receive $9.  Hopefully they will send me back $3, so that I also receive $9.",3,2,1,2,
2026-04-21 11:21:29,2026-04-21 11:26:35,0,,100,306,1,2026-04-21 11:26:35,R_6tx6E2s0QI6FEPp,,,,,,,anonymous,EN,1,,,1,1,3,2,"James was going through a touch financial period and applied for aid through the government, which was granted. While at the government office he saw an acquaintance/neighbor, Mark, who was also struggling but was not granted funds. James had to decide to help Mark, or not. ",0,0,2.117,0,11.193,15.186,16.025,2,I chose that amount because I thought it was fair and I wanted to help someone else. ,5.576,10.104,10.919,7,,,,,,,,,0,0,0.208,0,0,4,6449103e84f82d613e8d6d73,69e75db379a32494047fe42b,69e7557895b8b62fbc3c50b8,2,I chose that amount because I thought it was fair and I wanted to help someone else. ,0,,1,4,
2026-04-21 11:23:48,2026-04-21 11:27:06,0,,100,198,1,2026-04-21 11:27:07,R_2qmyMDZOkSEGnJ1,,,,,,,anonymous,EN,1,,,1,1,3,2,"he should keep the money for himself he has been through the same process and he is not aware of reasons or cicrumstances of the other person, take the entitled amounts and any issues he can contact them directly to discuss.",0,0,2.012,0,2.322,3.499,4.278,2,it seemed around the right proportion to give,7.901,7.901,8.928,1,,,,,1.321,1.321,2.326,1,0,0,0.218,0,1,2.5,629b3553f9621f7c65de7f5a,69e75e3ffe9c02335a9c257f,69e7557895b8b62fbc3c50b8,3.5,it seemed around the right proportion to give,6,4,1,4,
2026-04-21 11:20:03,2026-04-21 11:27:35,0,,100,452,1,2026-04-21 11:27:36,R_1Iegliq8lrd2peF,,,,,,,anonymous,EN,1,,,1,1,3,2,"James was in a rough patch financially, and so was Mark. James received money from a government agency, but mark had not. Should James help Mark?",0,0,2.011,0,13.561,14.664,16.075,2,If we are both participating I want to give half.,5.199,8.455,10.65,3,,,,,14.177,16.601,19.891,2,0,0,0.107,0,0,3,697cf8746b38df081682fd19,69e75d57ae701e90c12d2813,69e7557895b8b62fbc3c50b8,3,If we are both participating I want to give half.,2,2.5,1,4,
2026-04-21 11:20:58,2026-04-21 11:27:51,0,,100,413,1,2026-04-21 11:27:52,R_7qk8q6ooWjioFhn,,,,,,,anonymous,EN,1,,,1,1,3,2,Steve had worked really hard on a project spending many long nights and much effort. He was notified that his team would be rewarded with a bonus for their hard work and was told by the director since he was the lead the full bonus would be granted to Steve and it would be his decision how to allocate the bonus. Steve needs to consider how to divide the bonus between himself and another contributor who led to the success of the project named Mark. ,0,0,2.11,0,26.876,50.484,51.16,2,"Because if I choose to keep some they may feel like I am trying to get over on them or don't trust them then send me less back. If I send the full amount they will feel maybe I showed trust in them. And that might affect them being fair with me. Since it is a bonus, it doesn't actually affect me so I should take a chance on the other player to be fair. But if not I won't be surprised",6.22,9.411,13.008,2,,,,,9.017,9.017,11.139,1,0,0,0.21,0,0,0,6574890e515887ae3dd1a434,69e75d8c53850e194f92a339,69e7557895b8b62fbc3c50b8,6,"Because if I choose to keep some they may feel like I am trying to get over on them or don't trust them then send me less back. If I send the full amount they will feel maybe I showed trust in them. And that might affect them being fair with me. Since it is a bonus, it doesn't actually affect me so I should take a chance on the other player to be fair. But if not I won't be surprised",9,3,1,2,
2026-04-21 11:22:23,2026-04-21 11:28:03,0,,100,340,1,2026-04-21 11:28:03,R_2kjDSn112lbI7m7,,,,,,,anonymous,EN,1,,,1,1,3,2,James has applied for funding and been accepted. His acquaintance and neighbour Mark also applied but wasnt accepted. James has to decide whether to keep all the money for himself or give some to Mark.,0,0,2.021,0,19.193,22.938,23.685,5,I went for three which was half because i still get half and the other person gets nine so therefore i hope they give me at least three back but ideally half of theirs so i then make a profit ,5.883,7.757,9.03,3,,,,,4.277,9.389,10.179,7,0,0,0.211,0,0,3,64455cfdcc83f30266ad2345,69e75ddaf75a03a2b7da1285,69e7557895b8b62fbc3c50b8,3,I went for three which was half because i still get half and the other person gets nine so therefore i hope they give me at least three back but ideally half of theirs so i then make a profit ,4.5,3,1,4,
