within_hp_id,source_study,source_row,PROLIFIC_PID,subject_id,game,Market,trial_order,anchor_allocation_kept,memory_source_column,memory,kw_dummy,market_x_kw,treatment_cell,anchor_share_sent,memory_key,actual_allocation_kept,actual_share_sent,actual_reason,actual_reason_category,actual_reason_category_num,category_num,category,classification_origin
WHP00021,control_kwlt,63,55999e94fdf99b37246adab5,control_kwlt::55999e94fdf99b37246adab5,kw,0,2,4.0,memory_kw_$8,i feel bad they havent got any money but they did something helpful as well,1,0,kw_control,0.6666666666666666,i feel bad they havent got any money but they did something helpful as well,6.0,0.5,i feel bad they got nothing plus its not my money so half seems fair,Moral,1,1,Moral,primary_agent_rowwise
WHP00022,control_kwlt,63,55999e94fdf99b37246adab5,control_kwlt::55999e94fdf99b37246adab5,kw,0,2,6.0,memory_kw_$6,im starting to like them also dont want them to have nothing,1,0,kw_control,0.5,im starting to like them also dont want them to have nothing,6.0,0.5,i feel bad they got nothing plus its not my money so half seems fair,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00023,control_kwlt,63,55999e94fdf99b37246adab5,control_kwlt::55999e94fdf99b37246adab5,kw,0,2,8.0,memory_kw_$4,want to spread some happiness around,1,0,kw_control,0.3333333333333333,want to spread some happiness around,6.0,0.5,i feel bad they got nothing plus its not my money so half seems fair,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00024,control_kwlt,63,55999e94fdf99b37246adab5,control_kwlt::55999e94fdf99b37246adab5,kw,0,2,12.0,memory_kw_$0,"they did something i didnt like, or tried to take all my money",1,0,kw_control,0.0,"they did something i didnt like, or tried to take all my money",6.0,0.5,i feel bad they got nothing plus its not my money so half seems fair,Moral,1,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00025,control_kwlt,266,55cf6a7b34e9060005e56ca2,control_kwlt::55cf6a7b34e9060005e56ca2,kw,0,1,4.0,memory_kw_$8,,1,0,kw_control,0.6666666666666666,,6.0,0.5,Sharing the amount seems fair,Moral,1,0,No clear justification,empty_text
WHP00026,control_kwlt,266,55cf6a7b34e9060005e56ca2,control_kwlt::55cf6a7b34e9060005e56ca2,kw,0,1,6.0,memory_kw_$6,,1,0,kw_control,0.5,,6.0,0.5,Sharing the amount seems fair,Moral,1,0,No clear justification,empty_text
WHP00027,control_kwlt,266,55cf6a7b34e9060005e56ca2,control_kwlt::55cf6a7b34e9060005e56ca2,kw,0,1,8.0,memory_kw_$4,,1,0,kw_control,0.3333333333333333,,6.0,0.5,Sharing the amount seems fair,Moral,1,0,No clear justification,empty_text
WHP00028,control_kwlt,266,55cf6a7b34e9060005e56ca2,control_kwlt::55cf6a7b34e9060005e56ca2,kw,0,1,12.0,memory_kw_$0,,1,0,kw_control,0.0,,6.0,0.5,Sharing the amount seems fair,Moral,1,0,No clear justification,empty_text
WHP00029,control_kwlt,266,55cf6a7b34e9060005e56ca2,control_kwlt::55cf6a7b34e9060005e56ca2,lt,0,2,4.0,memory_lt_$4,Treating someone to a coffee,0,0,lt_control,0.6666666666666666,treating someone to a coffee,5.5,0.5416666666666667,Seemed fair,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00030,control_kwlt,266,55cf6a7b34e9060005e56ca2,control_kwlt::55cf6a7b34e9060005e56ca2,lt,0,2,6.0,memory_lt_$2,Donation to street collection charity,0,0,lt_control,0.5,donation to street collection charity,5.5,0.5416666666666667,Seemed fair,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00031,control_kwlt,266,55cf6a7b34e9060005e56ca2,control_kwlt::55cf6a7b34e9060005e56ca2,lt,0,2,8.0,memory_lt_$0,When someone treats you to a coffee,0,0,lt_control,0.3333333333333333,when someone treats you to a coffee,5.5,0.5416666666666667,Seemed fair,Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00032,control_kwlt,266,55cf6a7b34e9060005e56ca2,control_kwlt::55cf6a7b34e9060005e56ca2,lt,0,2,12.0,memory_lt_-$4,Can't think of anything,0,0,lt_control,0.0,can't think of anything,5.5,0.5416666666666667,Seemed fair,Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00033,control_kwlt,549,55e9aa1c735c45001043fbb6,control_kwlt::55e9aa1c735c45001043fbb6,kw,0,1,4.0,memory_kw_$8,I find it a bit too much. It wouldn't be fair on me,1,0,kw_control,0.6666666666666666,i find it a bit too much. it wouldn't be fair on me,8.0,0.3333333333333333,I thought 4 is good not 50% but not too bad,Moral,1,1,Moral,primary_agent_rowwise
WHP00034,control_kwlt,549,55e9aa1c735c45001043fbb6,control_kwlt::55e9aa1c735c45001043fbb6,kw,0,1,6.0,memory_kw_$6,it is fair share 50/50,1,0,kw_control,0.5,it is fair share 50/50,8.0,0.3333333333333333,I thought 4 is good not 50% but not too bad,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00035,control_kwlt,549,55e9aa1c735c45001043fbb6,control_kwlt::55e9aa1c735c45001043fbb6,kw,0,1,8.0,memory_kw_$4,Not too bad it is better than having nothing,1,0,kw_control,0.3333333333333333,not too bad it is better than having nothing,8.0,0.3333333333333333,I thought 4 is good not 50% but not too bad,Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00036,control_kwlt,549,55e9aa1c735c45001043fbb6,control_kwlt::55e9aa1c735c45001043fbb6,kw,0,1,12.0,memory_kw_$0,I find it mean not donating anything a bit like Scrooge,1,0,kw_control,0.0,i find it mean not donating anything a bit like scrooge,8.0,0.3333333333333333,I thought 4 is good not 50% but not too bad,Moral,1,1,Moral,primary_agent_rowwise
WHP00037,control_kwlt,549,55e9aa1c735c45001043fbb6,control_kwlt::55e9aa1c735c45001043fbb6,lt,0,2,4.0,memory_lt_$4,It is the same as the first option too much,0,0,lt_control,0.6666666666666666,it is the same as the first option too much,10.0,0.1666666666666666,We both have 6 now,Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00038,control_kwlt,549,55e9aa1c735c45001043fbb6,control_kwlt::55e9aa1c735c45001043fbb6,lt,0,2,6.0,memory_lt_$2,fair we will both have 6,0,0,lt_control,0.5,fair we will both have 6,10.0,0.1666666666666666,We both have 6 now,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00039,control_kwlt,549,55e9aa1c735c45001043fbb6,control_kwlt::55e9aa1c735c45001043fbb6,lt,0,2,8.0,memory_lt_$0,A bit mean,0,0,lt_control,0.3333333333333333,a bit mean,10.0,0.1666666666666666,We both have 6 now,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00040,control_kwlt,549,55e9aa1c735c45001043fbb6,control_kwlt::55e9aa1c735c45001043fbb6,lt,0,2,12.0,memory_lt_-$4,i think it would be unfair the other player will have 8 and I will have 4,0,0,lt_control,0.0,i think it would be unfair the other player will have 8 and i will have 4,10.0,0.1666666666666666,We both have 6 now,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00041,control_kwlt,521,561f684fed6e5a000dc7e878,control_kwlt::561f684fed6e5a000dc7e878,kw,0,1,4.0,memory_kw_$8,peer2peer,1,0,kw_control,0.6666666666666666,peer2peer,7.0,0.4166666666666666,This is the only amount i can loan out.,Self-interest,3,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00042,control_kwlt,521,561f684fed6e5a000dc7e878,control_kwlt::561f684fed6e5a000dc7e878,kw,0,1,6.0,memory_kw_$6,peer2peer,1,0,kw_control,0.5,peer2peer,7.0,0.4166666666666666,This is the only amount i can loan out.,Self-interest,3,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00043,control_kwlt,521,561f684fed6e5a000dc7e878,control_kwlt::561f684fed6e5a000dc7e878,kw,0,1,8.0,memory_kw_$4,Cashapp,1,0,kw_control,0.3333333333333333,cashapp,7.0,0.4166666666666666,This is the only amount i can loan out.,Self-interest,3,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00044,control_kwlt,521,561f684fed6e5a000dc7e878,control_kwlt::561f684fed6e5a000dc7e878,kw,0,1,12.0,memory_kw_$0,peer2peer,1,0,kw_control,0.0,peer2peer,7.0,0.4166666666666666,This is the only amount i can loan out.,Self-interest,3,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00045,control_kwlt,521,561f684fed6e5a000dc7e878,control_kwlt::561f684fed6e5a000dc7e878,lt,0,2,4.0,memory_lt_$4,peer2peer,0,0,lt_control,0.6666666666666666,peer2peer,7.5,0.375,I wouldn't give more than half,Self-interest,3,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00046,control_kwlt,521,561f684fed6e5a000dc7e878,control_kwlt::561f684fed6e5a000dc7e878,lt,0,2,6.0,memory_lt_$2,fun,0,0,lt_control,0.5,fun,7.5,0.375,I wouldn't give more than half,Self-interest,3,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00047,control_kwlt,521,561f684fed6e5a000dc7e878,control_kwlt::561f684fed6e5a000dc7e878,lt,0,2,8.0,memory_lt_$0,none,0,0,lt_control,0.3333333333333333,none,7.5,0.375,I wouldn't give more than half,Self-interest,3,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00048,control_kwlt,521,561f684fed6e5a000dc7e878,control_kwlt::561f684fed6e5a000dc7e878,lt,0,2,12.0,memory_lt_-$4,debiting,0,0,lt_control,0.0,debiting,7.5,0.375,I wouldn't give more than half,Self-interest,3,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00049,control_kwlt,538,56610c81b018d100126e5da9,control_kwlt::56610c81b018d100126e5da9,lt,0,1,4.0,memory_lt_$4,I find this similar to donating to a charity,0,0,lt_control,0.6666666666666666,i find this similar to donating to a charity,10.0,0.1666666666666666,I chose this option because this would come to an equal distribution between the 2 of us.,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00050,control_kwlt,538,56610c81b018d100126e5da9,control_kwlt::56610c81b018d100126e5da9,lt,0,1,6.0,memory_lt_$2,I find this similar to splitting the money equally between 2 winners in a giveaway,0,0,lt_control,0.5,i find this similar to splitting the money equally between 2 winners in a giveaway,10.0,0.1666666666666666,I chose this option because this would come to an equal distribution between the 2 of us.,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00051,control_kwlt,538,56610c81b018d100126e5da9,control_kwlt::56610c81b018d100126e5da9,lt,0,1,8.0,memory_lt_$0,I find this similar to nothing.,0,0,lt_control,0.3333333333333333,i find this similar to nothing.,10.0,0.1666666666666666,I chose this option because this would come to an equal distribution between the 2 of us.,Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00052,control_kwlt,538,56610c81b018d100126e5da9,control_kwlt::56610c81b018d100126e5da9,lt,0,1,12.0,memory_lt_-$4,I find this similar to gambling at a casino,0,0,lt_control,0.0,i find this similar to gambling at a casino,10.0,0.1666666666666666,I chose this option because this would come to an equal distribution between the 2 of us.,Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00053,control_kwlt,538,56610c81b018d100126e5da9,control_kwlt::56610c81b018d100126e5da9,kw,0,2,4.0,memory_kw_$8,I find this similar to gambling and throwing my money away.,1,0,kw_control,0.6666666666666666,i find this similar to gambling and throwing my money away.,6.0,0.5,I chose this option to be fair and equal with my partner.,Moral,1,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00054,control_kwlt,538,56610c81b018d100126e5da9,control_kwlt::56610c81b018d100126e5da9,kw,0,2,6.0,memory_kw_$6,"I find this similar to giving a homeless person a few bucks,",1,0,kw_control,0.5,"i find this similar to giving a homeless person a few bucks,",6.0,0.5,I chose this option to be fair and equal with my partner.,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00055,control_kwlt,538,56610c81b018d100126e5da9,control_kwlt::56610c81b018d100126e5da9,kw,0,2,8.0,memory_kw_$4,I find this similar to giving a few bucks to my kid,1,0,kw_control,0.3333333333333333,i find this similar to giving a few bucks to my kid,6.0,0.5,I chose this option to be fair and equal with my partner.,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00056,control_kwlt,538,56610c81b018d100126e5da9,control_kwlt::56610c81b018d100126e5da9,kw,0,2,12.0,memory_kw_$0,I find this similar to keeping all of the birthday cake to myself on my birthday,1,0,kw_control,0.0,i find this similar to keeping all of the birthday cake to myself on my birthday,6.0,0.5,I chose this option to be fair and equal with my partner.,Moral,1,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00057,control_kwlt,355,56a1ed56e1e5a6000c8fbe33,control_kwlt::56a1ed56e1e5a6000c8fbe33,lt,0,1,4.0,memory_lt_$4,Giving a gift when I;m feeling generous,0,0,lt_control,0.6666666666666666,giving a gift when i;m feeling generous,8.0,0.3333333333333333,I'm just keeping it as it was. I'm normally all about sharing and fairness but I've had a bad week so I'm not feeling as generous as I usually would,Self-interest,3,1,Moral,gpt_5_6_subagent_rowwise
WHP00058,control_kwlt,355,56a1ed56e1e5a6000c8fbe33,control_kwlt::56a1ed56e1e5a6000c8fbe33,lt,0,1,6.0,memory_lt_$2,Being nice and generous,0,0,lt_control,0.5,being nice and generous,8.0,0.3333333333333333,I'm just keeping it as it was. I'm normally all about sharing and fairness but I've had a bad week so I'm not feeling as generous as I usually would,Self-interest,3,1,Moral,gpt_5_6_subagent_rowwise
WHP00059,control_kwlt,355,56a1ed56e1e5a6000c8fbe33,control_kwlt::56a1ed56e1e5a6000c8fbe33,lt,0,1,8.0,memory_lt_$0,It's just life- you get nothing,0,0,lt_control,0.3333333333333333,it's just life- you get nothing,8.0,0.3333333333333333,I'm just keeping it as it was. I'm normally all about sharing and fairness but I've had a bad week so I'm not feeling as generous as I usually would,Self-interest,3,0,No clear justification,gpt_5_6_subagent_rowwise
WHP00060,control_kwlt,355,56a1ed56e1e5a6000c8fbe33,control_kwlt::56a1ed56e1e5a6000c8fbe33,lt,0,1,12.0,memory_lt_-$4,How my bank makes me feel by taking all my money,0,0,lt_control,0.0,how my bank makes me feel by taking all my money,8.0,0.3333333333333333,I'm just keeping it as it was. I'm normally all about sharing and fairness but I've had a bad week so I'm not feeling as generous as I usually would,Self-interest,3,0,No clear justification,primary_agent_rowwise
WHP00061,control_kwlt,355,56a1ed56e1e5a6000c8fbe33,control_kwlt::56a1ed56e1e5a6000c8fbe33,kw,0,2,4.0,memory_kw_$8,,1,0,kw_control,0.6666666666666666,,7.0,0.4166666666666666,I was going to go 50 50 but I have been recently denied a pay rise and and not feeling overly generous.,Self-interest,3,0,No clear justification,empty_text
WHP00062,control_kwlt,355,56a1ed56e1e5a6000c8fbe33,control_kwlt::56a1ed56e1e5a6000c8fbe33,kw,0,2,6.0,memory_kw_$6,,1,0,kw_control,0.5,,7.0,0.4166666666666666,I was going to go 50 50 but I have been recently denied a pay rise and and not feeling overly generous.,Self-interest,3,0,No clear justification,empty_text
WHP00063,control_kwlt,355,56a1ed56e1e5a6000c8fbe33,control_kwlt::56a1ed56e1e5a6000c8fbe33,kw,0,2,8.0,memory_kw_$4,,1,0,kw_control,0.3333333333333333,,7.0,0.4166666666666666,I was going to go 50 50 but I have been recently denied a pay rise and and not feeling overly generous.,Self-interest,3,0,No clear justification,empty_text
WHP00064,control_kwlt,355,56a1ed56e1e5a6000c8fbe33,control_kwlt::56a1ed56e1e5a6000c8fbe33,kw,0,2,12.0,memory_kw_$0,,1,0,kw_control,0.0,,7.0,0.4166666666666666,I was going to go 50 50 but I have been recently denied a pay rise and and not feeling overly generous.,Self-interest,3,0,No clear justification,empty_text
WHP00065,control_kwlt,523,56a93b0a402025000bd62f17,control_kwlt::56a93b0a402025000bd62f17,kw,0,1,4.0,memory_kw_$8,the other person having made a larger contribution in the first place,1,0,kw_control,0.6666666666666666,the other person having made a larger contribution in the first place,12.0,0.0,I don't know the other person so don't feel beholden to give them any money,Self-interest,3,1,Moral,gpt_5_6_subagent_rowwise
WHP00066,control_kwlt,523,56a93b0a402025000bd62f17,control_kwlt::56a93b0a402025000bd62f17,kw,0,1,6.0,memory_kw_$6,splitting winnings 50/50 with a friend,1,0,kw_control,0.5,splitting winnings 50/50 with a friend,12.0,0.0,I don't know the other person so don't feel beholden to give them any money,Self-interest,3,1,Moral,gpt_5_6_subagent_rowwise
WHP00067,control_kwlt,523,56a93b0a402025000bd62f17,control_kwlt::56a93b0a402025000bd62f17,kw,0,1,8.0,memory_kw_$4,yourself having made a larger contribution in the first place,1,0,kw_control,0.3333333333333333,yourself having made a larger contribution in the first place,12.0,0.0,I don't know the other person so don't feel beholden to give them any money,Self-interest,3,1,Moral,gpt_5_6_subagent_rowwise
WHP00068,control_kwlt,523,56a93b0a402025000bd62f17,control_kwlt::56a93b0a402025000bd62f17,kw,0,1,12.0,memory_kw_$0,what would happen in real life if you were asked to share some money with a stranger,1,0,kw_control,0.0,what would happen in real life if you were asked to share some money with a stranger,12.0,0.0,I don't know the other person so don't feel beholden to give them any money,Self-interest,3,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00069,control_kwlt,523,56a93b0a402025000bd62f17,control_kwlt::56a93b0a402025000bd62f17,lt,0,2,4.0,memory_lt_$4,paying a debt,0,0,lt_control,0.6666666666666666,paying a debt,8.0,0.3333333333333333,I wouldn't give someone I don't know some of my money but wouldn't take any money from them,Self-interest,3,1,Moral,gpt_5_6_subagent_rowwise
WHP00070,control_kwlt,523,56a93b0a402025000bd62f17,control_kwlt::56a93b0a402025000bd62f17,lt,0,2,6.0,memory_lt_$2,sharing the money 50/50 with a friend,0,0,lt_control,0.5,sharing the money 50/50 with a friend,8.0,0.3333333333333333,I wouldn't give someone I don't know some of my money but wouldn't take any money from them,Self-interest,3,1,Moral,gpt_5_6_subagent_rowwise
WHP00071,control_kwlt,523,56a93b0a402025000bd62f17,control_kwlt::56a93b0a402025000bd62f17,lt,0,2,8.0,memory_lt_$0,"real life, wouldn't give someone I don't know any money",0,0,lt_control,0.3333333333333333,"real life, wouldn't give someone i don't know any money",8.0,0.3333333333333333,I wouldn't give someone I don't know some of my money but wouldn't take any money from them,Self-interest,3,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00072,control_kwlt,523,56a93b0a402025000bd62f17,control_kwlt::56a93b0a402025000bd62f17,lt,0,2,12.0,memory_lt_-$4,selfishness,0,0,lt_control,0.0,selfishness,8.0,0.3333333333333333,I wouldn't give someone I don't know some of my money but wouldn't take any money from them,Self-interest,3,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00073,control_kwlt,408,56c81007ba8e37000d7b211e,control_kwlt::56c81007ba8e37000d7b211e,lt,0,1,4.0,memory_lt_$4,That would even us up somewhat,0,0,lt_control,0.6666666666666666,that would even us up somewhat,7.0,0.4166666666666666,I think it’s fair they had some more,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00074,control_kwlt,408,56c81007ba8e37000d7b211e,control_kwlt::56c81007ba8e37000d7b211e,lt,0,1,6.0,memory_lt_$2,I don’t understand wha you mean by what would find That similar to at all? Evening the situation up so that it is fair?,0,0,lt_control,0.5,i don’t understand wha you mean by what would find that similar to at all? evening the situation up so that it is fair?,7.0,0.4166666666666666,I think it’s fair they had some more,Moral,1,1,Moral,primary_agent_rowwise
WHP00075,control_kwlt,408,56c81007ba8e37000d7b211e,control_kwlt::56c81007ba8e37000d7b211e,lt,0,1,8.0,memory_lt_$0,That isn’t fair. That would be me taking more,0,0,lt_control,0.3333333333333333,that isn’t fair. that would be me taking more,7.0,0.4166666666666666,I think it’s fair they had some more,Moral,1,3,Self-interest,gpt_5_6_subagent_rowwise
WHP00076,control_kwlt,408,56c81007ba8e37000d7b211e,control_kwlt::56c81007ba8e37000d7b211e,lt,0,1,12.0,memory_lt_-$4,That’s really unfair,0,0,lt_control,0.0,that’s really unfair,7.0,0.4166666666666666,I think it’s fair they had some more,Moral,1,1,Moral,gpt_5_6_subagent_rowwise
WHP00077,control_kwlt,408,56c81007ba8e37000d7b211e,control_kwlt::56c81007ba8e37000d7b211e,kw,0,2,4.0,memory_kw_$8,That would be me losing out,1,0,kw_control,0.6666666666666666,that would be me losing out,9.5,0.2083333333333333,It feels fair to share,Moral,1,3,Self-interest,gpt_5_6_subagent_rowwise
