classification_id,memory_key,memory
WCLS00024,"$8 is a great price for all this information. you'd spend this on some crisps and some pepsi, or maybe a mcdonalds","$8 is a great price for all this information. You'd spend this on some crisps and some Pepsi, or maybe a McDonalds"
WCLS00025,$8 is similar to ten dollars but less,$8 is similar to ten dollars but less
WCLS00026,$8? that's more like giving them a magazine.,$8? That's more like giving them a magazine.
WCLS00027,"'alright geez would you mind adjusting the price for an old mate, how about gimme that £12 one for £4?' 'nah you're out your mind man'","'Alright geez would you mind adjusting the price for an old mate, how about gimme that £12 one for £4?' 'Nah you're out your mind man'"
WCLS00028,-$4,-$4
WCLS00029,-$4 asking them to buy me a decent newspaper.,-$4 Asking them to buy me a decent newspaper.
WCLS00030,-$6,-$6
WCLS00031,-$8,-$8
WCLS00032,-2,-2
WCLS00033,-2 not so bad but just how everything is changing on prices for everything.,-2 not so bad but just how everything is changing on prices for everything.
WCLS00034,-4,-4
WCLS00035,-4 is half price and reminds me of deep disocunts meant to intice shoppers at the holiday season.,-4 is half price and reminds me of deep disocunts meant to intice shoppers at the holiday season.
WCLS00036,-4$,-4$
WCLS00037,"-4? i don't get this question. if it's the same as the previous one, then a coffee.","-4? I don't get this question. If it's the same as the previous one, then a coffee."
WCLS00038,-75% sale on a item in a shop,-75% sale on a item in a shop
WCLS00039,0,0
WCLS00040,0 doesn't change anything - kind of like our political landscape - status quo,0 doesn't change anything - kind of like our political landscape - status quo
WCLS00041,0 nothing as it has no effect on anything,0 nothing as it has no effect on anything
WCLS00042,0% of the $12.00,0% of the $12.00
WCLS00043,0% of the $8.00,0% of the $8.00
WCLS00044,0% sent,0% sent
WCLS00045,1 third discount off the initial price,1 third discount off the initial price
WCLS00046,1/2 discount on the price,1/2 discount on the price
WCLS00047,1/3 rd discount which is ok,1/3 rd discount which is ok
WCLS00048,1/3rd discount on the price,1/3rd discount on the price
WCLS00049,10,10
WCLS00050,100% taxes. working hard just to stay still and having to give the broker the whole $12 as their fee.,100% taxes. Working hard just to stay still and having to give the broker the whole $12 as their fee.
WCLS00051,12,12
WCLS00052,12 dollars i will get what i asked for and so will the broker,12 DOLLARS I WILL GET WHAT I ASKED FOR AND SO WILL THE BROKER
WCLS00053,12 no change to the original price,12 no change to the original price
WCLS00054,12 would float my boat ok sirree,12 would float my boat ok sirree
WCLS00055,12% of the price at the beginng,12% of the price at the beginng
WCLS00056,2,2
WCLS00057,2 for 1 offer in a supermarket,2 for 1 offer in a supermarket
WCLS00058,2 friends split the bill evenly regardless of who ordered more expensive items or who had more money,2 friends split the bill evenly regardless of who ordered more expensive items or who had more money
WCLS00059,2 friends were having lunch and one of them didn't have enough to buy any sides or drink. the other friend helped them by giving them enough to purchase a full meal.,2 friends were having lunch and one of them didn't have enough to buy any sides or drink. The other friend helped them by giving them enough to purchase a full meal.
WCLS00060,2 people participating equally and completing a task. or a 'draw'.,2 people participating equally and completing a task. Or a 'draw'.
WCLS00061,"2 roommates split chores, one ends up doing more, but they dont change the split to make the responsibility more fair, they just accept it.","2 roommates split chores, one ends up doing more, but they dont change the split to make the responsibility more fair, they just accept it."
WCLS00062,2 thirds discount off the initial price,2 thirds discount off the initial price
WCLS00063,2/3rds discount on the price,2/3rds discount on the price
WCLS00064,25%,25%
WCLS00065,"25% decrease, special offer to promote product and get people to try it.","25% decrease, special offer to promote product and get people to try it."
WCLS00066,25% of the $8.00,25% of the $8.00
WCLS00067,25% off of sale items at a department store sale,25% off of sale items at a department store sale
WCLS00068,25% off sale whe of the pricere you get the product at 3/4,25% off sale whe of the pricere you get the product at 3/4
WCLS00069,25% sale on all items in a retail shop,25% sale on all items in a retail shop
WCLS00070,30% of the $12.00,30% of the $12.00
WCLS00071,33% fee for the broker as benefit,33% fee for the broker as benefit
WCLS00072,33.3% off of something bought in a shop,33.3% off of something bought in a shop
WCLS00073,4,4
WCLS00074,4 giving away money at this point,4 giving away money at this point
WCLS00075,"4 is ok, its good to have middle ground","4 is ok, its good to have middle ground"
WCLS00076,4 or 12 are similar to five and 13,4 or 12 are similar to five and 13
WCLS00077,4 the temps when i went ski ing in bulgaria a long time ago,4 the temps when i went ski ing in bulgaria a long time ago
WCLS00078,5,5
WCLS00079,50 % disco8nd again too much,50 % disco8nd again too much
WCLS00080,"50 / 50 split, is fair i guess.","50 / 50 split, is fair i guess."
WCLS00081,50 50 split,50 50 split
WCLS00082,50%,50%
WCLS00083,"50% decrease or half price, clearance sale to shift it and get something for it","50% decrease or half price, clearance sale to shift it and get something for it"
WCLS00084,"50% increase, could be the price of petrol during times of crisis","50% increase, could be the price of petrol during times of crisis"
WCLS00085,50% of orginal price,50% of orginal price
WCLS00086,50% of the $8.00,50% of the $8.00
WCLS00087,50% off flash offer for a limited period only.,50% off flash offer for a limited period only.
WCLS00088,50% off is a good dicount. sometimes the bread in my local supermarket has this kind of discount at the end of the day.,50% off is a good dicount. sometimes the bread in my local supermarket has this kind of discount at the end of the day.
WCLS00089,50% off mean the product will cost you half,50% off mean the product will cost you half
WCLS00090,50% off sale or a specific special offer / discount code,50% off sale or a specific special offer / discount code
WCLS00091,50% or half price. substantial discounts,50% or half price. Substantial discounts
WCLS00092,50/50 split as a partnership between two equal owners,50/50 split as a partnership between two equal owners
WCLS00093,550-50 is a fair split. in an ideal world we would all share everything this way,550-50 is a fair split. in an ideal world we would all share everything this way
WCLS00094,6,6
WCLS00095,"6 dollars goes a long way in todays society, having any money really is a blessing with how bad inflation has become.","6 dollars goes a long way in todays society, having any money really is a blessing with how bad inflation has become."
WCLS00096,6 equal to half a dozen eggs i use for breakfast on a weekend fresh from the farm,6 equal to half a dozen eggs i use for breakfast on a weekend fresh from the farm
WCLS00097,6 fair i suppose becuase now its 50/50,6 fair i suppose becuase now its 50/50
WCLS00098,6 would be better for me ngl,6 would be better for me ngl
WCLS00099,6$. half price t shirts,6$. Half price t shirts
WCLS00100,"6, seems fair to do 50/50","6, seems fair to do 50/50"
WCLS00101,60% of the $12.00,60% of the $12.00
WCLS00102,7,7
WCLS00103,75% off at kohls for the holidays,75% off at kohls for the holidays
WCLS00104,8,8
WCLS00105,"8 a discount , i guess this is fair because the other person gets paid some","8 a discount , i guess this is fair because the other person gets paid some"
WCLS00106,8 dollars the broker will loss out on this one,8 DOLLARS THE BROKER WILL LOSS OUT ON THIS ONE
WCLS00107,"8 is a huge difference more than half the price, its like taking sweets from a baby","8 is a huge difference more than half the price, its like taking sweets from a baby"
WCLS00108,8 my mum is one of 8 children so i have 4 aunties 4 uncles my dads birthday falls on the 8th of a month,8 my mum is one of 8 children so i have 4 aunties 4 uncles my dads birthday falls on the 8th of a month
WCLS00109,8$. i suppose that's the same price as a box of chocolate,8$. I suppose that's the same price as a box of chocolate
WCLS00110,`buying them a cup of coffee,`buying them a cup of coffee
WCLS00111,a $4 drop is like a half-price sale at a retailer.,A $4 drop is like a half-price sale at a retailer.
WCLS00112,"a -$2 change would remind me for a minor discount, potentially when applying a coupon code to an online order","a -$2 change would remind me for a minor discount, potentially when applying a coupon code to an online order"
WCLS00113,a 10% off sale in an average supermarket,A 10% off sale in an average supermarket
WCLS00114,a 10% sale in a shop,a 10% sale in a shop
WCLS00115,a 25% decrease makes me think of a discounted item on sale at target,a 25% decrease makes me think of a discounted item on sale at target
WCLS00116,a 25% discount on a product,a 25% discount on a product
WCLS00117,a 4 pound win at bookies,A 4 pound win at bookies
WCLS00118,a 5% off sale in an average supermarket,A 5% off sale in an average supermarket
WCLS00119,a 50% cut - maybe like a black friday quick sle,A 50% cut - maybe like a Black Friday quick sle
WCLS00120,a 50% discount off the initial price,a 50% discount off the initial price
WCLS00121,a 50% discount on black friday,A 50% discount on black friday
WCLS00122,a 50% increase in price makes me think of kitchen renovations we were involved in during the pandemic when everything was inflated in price,a 50% increase in price makes me think of kitchen renovations we were involved in during the pandemic when everything was inflated in price
WCLS00123,a 50% off deal on something,a 50% off deal on something
WCLS00124,a 50% off sale in a shop.,A 50% off sale in a shop.
WCLS00125,a 50% offer online or in-store shopping (as starting price is $8),A 50% offer online or in-store shopping (as starting price is $8)
WCLS00126,a 50% reduction in my allocation but increasing the other participants allocation by 100%,a 50% reduction in my allocation but increasing the other participants allocation by 100%
WCLS00127,a 50% sale at a black friday event.,A 50% sale at a black Friday event.
WCLS00128,a 50% sale in a retail shop,A 50% sale in a retail shop
WCLS00129,a 50/50 split is an agreeable term for evenly shared workload. i find it similar to being project partners with someone who's able to equally pull their weight through the working section of the task.,A 50/50 split is an agreeable term for evenly shared workload. I find it similar to being project partners with someone who's able to equally pull their weight through the working section of the task.
WCLS00130,a 50/50 split the pot raffle - each party gets half.,A 50/50 split the pot raffle - each party gets half.
WCLS00131,a 75% rebate on something.,A 75% rebate on something.
WCLS00132,a attempt to display a lack of concern about money.,A attempt to display a lack of concern about money.
WCLS00133,a balanced distribution among unequal hierarcies.,A balanced distribution among unequal hierarcies.
WCLS00134,a balanced negotiation between two people.,A balanced negotiation between two people.
WCLS00135,"a bank transfer to pay back for bus ticket money that was leant to me by my friend,","A bank transfer to pay back for bus ticket money that was leant to me by my friend,"
WCLS00136,a barber offers a discount to regular customers.,A barber offers a discount to regular customers.
WCLS00137,a bargain a bargain a bargain,a bargain a bargain a bargain
WCLS00138,a bargain for the purchaser,a bargain for the purchaser
WCLS00139,a bargain for the seller.,a bargain for the seller.
WCLS00140,a bargain or price decrease,a bargain or price decrease
WCLS00141,a basic need,a basic need
WCLS00142,a beggar who i know is not a beggar,a beggar who i know is not a beggar
WCLS00143,a bet,a bet
WCLS00144,a better amount to consider sending,a better amount to consider sending
WCLS00145,a better price hike than 20,A better price hike than 20
WCLS00146,a big black friday discount or a clearance sale,A big Black Friday discount or a clearance sale
WCLS00147,a big candy bar,A big candy bar
WCLS00148,a big discount for the data seller,a big discount for the data seller
WCLS00149,"a big middle finger, haha.","A big middle finger, haha."
WCLS00150,a big tip,a big tip
WCLS00151,"a bigger discount, maybe i'm taking more of a loss","a bigger discount, maybe i'm taking more of a loss"
WCLS00152,a bigger profit by the increased reduction in price.,A bigger profit by the increased reduction in price.
WCLS00153,a bill collector shows up to collect on money that you owed but refused to pay.,A bill collector shows up to collect on money that you owed but refused to pay.
WCLS00154,a birthday card from a skinflint. big fat 0.,a birthday card from a skinflint. big fat 0.
WCLS00155,a birthday gift,A birthday gift
WCLS00156,a birthday present,A birthday present
WCLS00157,a bit benevolent. it depends on the giver.,A bit benevolent. It depends on the giver.
WCLS00158,a bit cheeky but possible in the business world of making as much money as possible.,A bit cheeky but possible in the business world of making as much money as possible.
WCLS00159,a bit mean,A bit mean
WCLS00160,"a bit mean spirited, i had the opportunity to give a nice gift that wasn't even given to me before this task.","a bit mean spirited, I had the opportunity to give a nice gift that wasn't even given to me before this task."
WCLS00161,"a bit rude, like going to someones party and not speaking to them","a bit rude, like going to someones party and not speaking to them"
WCLS00162,a bit sneaky and mean,A bit sneaky and mean
WCLS00163,"a black friday deal on a new pair of sneakers you've had your eye on for ages, and that you can finally afford","A Black Friday deal on a new pair of sneakers you've had your eye on for ages, and that you can finally afford"
WCLS00164,a black friday discount,A black friday discount
WCLS00165,a black friday discount.,a black Friday discount.
WCLS00166,a black friday sale,A Black Friday sale
WCLS00167,a black friday sale i think is closest,A black friday sale i think is closest
WCLS00168,a black friday sale is what i imagine in this scenario,a black friday sale is what i imagine in this scenario
WCLS00169,a black friday sale with limited time to take advantage of.,A Black Friday sale with limited time to take advantage of.
WCLS00170,a black friday sale.,A Black Friday sale.
WCLS00171,a blanket from a retail store. the blanket is quite small,A blanket from a retail store. The blanket is quite small
WCLS00172,a bonus for a job they did exceptionally well.,A bonus for a job they did exceptionally well.
WCLS00173,a book on the subject to help them,a book on the subject to help them
WCLS00174,a boss getting a full bonus and sharing none with their team.,A boss getting a full bonus and sharing none with their team.
WCLS00175,a boss giving a discretionary bonus or tip that is less than half.,A boss giving a discretionary bonus or tip that is less than half.
WCLS00176,a bottled drink,a bottled drink
WCLS00177,a box of nice tea bags,A box of nice tea bags
WCLS00178,a british company selling their amazing new invention to an american company for a fraction of its value.,A British company selling their amazing new invention to an American company for a fraction of its value.
WCLS00179,a bseless act considering that i do not know this person,a bseless act considering that I do not know this person
WCLS00180,a business between two equal partners who split the profits fairly.,A business between two equal partners who split the profits fairly.
WCLS00181,a business deal between two people and the partner doesn't know its a 60/40 type deal with the person they are working with getting a bigger cut. like they're being shortchanged.,A business deal between two people and the partner doesn't know its a 60/40 type deal with the person they are working with getting a bigger cut. Like they're being shortchanged.
WCLS00182,a business marking up prices higher than what the product is worth.,A business marking up prices higher than what the product is worth.
WCLS00183,a business owner having a small business that realizes that their product is being sold by a retailer at a price of $12 and they are able to force the retailer to sell their product at that price. this maximizes their profit and the retailer with zero profit. it is the full value claim or high leverage negotiation.,A business owner having a small business that realizes that their product is being sold by a retailer at a price of $12 and they are able to force the retailer to sell their product at that price. This maximizes their profit and the retailer with zero profit. It is the full value claim or high leverage negotiation.
WCLS00184,a business owner increasing their prices to maximise profit,A business owner increasing their prices to maximise profit
WCLS00185,a business providing discounts to charity workers,a business providing discounts to charity workers
WCLS00186,a business putting on a sale,a business putting on a sale
WCLS00187,a business raising the prices of their products,a business raising the prices of their products
WCLS00188,a business that is doing really well but decides to only pass on a small amount of its profits to customers in terms of price reductions.,A business that is doing really well but decides to only pass on a small amount of its profits to customers in terms of price reductions.
WCLS00189,a business transaction in my professional life,A business transaction in my professional life
WCLS00190,a business trying to break even,A business trying to break even
WCLS00191,a business trying to make as much money as possible,A business trying to make as much money as possible
WCLS00192,a businessman trying to be greedy and squeeze a little extra profit for no extra effort om their part.,A businessman trying to be greedy and squeeze a little extra profit for no extra effort om their part.
WCLS00193,a buy one get one free.,A buy one get one free.
WCLS00194,a buy one get one half off sale,A Buy One Get One Half off sale
WCLS00195,a café offers a small weekday discount on sandwiches—just a modest price cut to stay competitive with a new café next door,A café offers a small weekday discount on sandwiches—just a modest price cut to stay competitive with a new café next door
WCLS00196,a calculated by benevolent action,a calculated by benevolent action
WCLS00197,a capitalist society that is attempting to reallocate resources to eliminate poverty,A capitalist society that is attempting to reallocate resources to eliminate poverty
WCLS00198,"a capitalist society, where what is mine is my own and i do not have to share with anyone to help them","A capitalist society, where what is mine is my own and I do not have to share with anyone to help them"
WCLS00199,a car that was brought new sold after a year of use.,A car that was brought new sold after a year of use.
WCLS00200,a card or board game,a card or board game
WCLS00201,a cash back program,A cash back program
WCLS00202,"a ceo of a company that has large increasing profits, but they do not increase the wages of their employees.","A CEO of a company that has large increasing profits, but they do not increase the wages of their employees."
WCLS00203,a chance of winning more money,a chance of winning more money
WCLS00204,a chance to win some money,a chance to win some money
WCLS00205,a change of this magnitude would have been very unwise as the result would not cover her material costs yet alone time spent.,A change of this magnitude would have been very unwise as the result would not cover her material costs yet alone time spent.
WCLS00206,a charitable donation,a charitable donation
WCLS00207,a charitable donation on my part.,A charitable donation on my part.
WCLS00208,"a charitable organisation, perhaps - a not-for-profit.","A charitable organisation, perhaps - a not-for-profit."
WCLS00209,a charity donation,a charity donation
WCLS00210,a cheap tesco item,a cheap tesco item
WCLS00211,a child being given a bag of sweets and deciding not to share any of them with anyone.,A child being given a bag of sweets and deciding not to share any of them with anyone.
WCLS00212,a child not sharing its toys with another child,A child not sharing its toys with another child
WCLS00213,a child that feels selfish and wants the money for themself,A child that feels selfish and wants the money for themself
WCLS00214,a christian way of solving a case. equality and sympathy.,A christian way of solving a case. Equality and sympathy.
WCLS00215,a christmas carol,A Christmas Carol
WCLS00216,a christmas sale price where things are a little cheaper from boxing day onwards,A Christmas sale price where things are a little cheaper from Boxing Day onwards
WCLS00217,a clearance sale like amazon or walmart,A clearance sale like Amazon or Walmart
WCLS00218,a clearance sale on a small item,A clearance sale on a small item
WCLS00219,a clearance sale online,A Clearance sale online
WCLS00220,a clearance sale where prices are slashed hugely,A clearance sale where prices are slashed hugely
WCLS00221,a clearance sale where the store wants to get rid of the item,A clearance sale where the store wants to get rid of the item
WCLS00222,"a clearance sale, or a market loss, like sams club chicken","A clearance sale, or a market loss, like Sams Club chicken"
WCLS00223,"a cleareance sale, or a black friday promotion.","A cleareance sale, or a Black Friday promotion."
WCLS00224,"a close friend who needs the money. i'd be sacrificing my amount so they have more than me, so it wouldn't be just anyone.","A close friend who needs the money. I'd be sacrificing my amount so they have more than me, so it wouldn't be just anyone."
WCLS00225,a closing down mega sale,a closing down mega sale
WCLS00226,a closing down sale where they want to get rid of stock,a closing down sale where they want to get rid of stock
WCLS00227,a clumsy friend losing a few coins down a drain.,A clumsy friend losing a few coins down a drain.
WCLS00228,a coffee,A coffee
WCLS00229,a coffee and a cake,A coffee and a cake
WCLS00230,a coffee in starbucks,a coffee in starbucks
WCLS00231,a coffee they like,A coffee they like
WCLS00232,"a common situation might be we both work at the same place, i showed up for the work, the other participant did not, they stayed home. as they did none of the work that day they did not deserve any of the pay.","A common situation might be we both work at the same place, I showed up for the work, the other participant did not, they stayed home. As they did none of the work that day they did not deserve any of the pay."
WCLS00233,a company about to go under becuase they have to cut prices by 75%,a company about to go under becuase they have to cut prices by 75%
WCLS00234,a company hurting for revenue trying to boost their top line.,a company hurting for revenue trying to boost their top line.
WCLS00235,a company keeping steady prices,a company keeping steady prices
WCLS00236,a company not increasing its prices,a company not increasing its prices
WCLS00237,"a company or a person i have a connection with, to offer them a discount.","A company or a person I have a connection with, to offer them a discount."
WCLS00238,"a company owes you a piddly amount refund, like your insurance company","a company owes you a piddly amount refund, like your insurance company"
WCLS00239,"a company produces a product, and sells it to a retailer at six dollars, and the retailer sells it at twelve.","A company produces a product, and sells it to a retailer at six dollars, and the retailer sells it at twelve."
WCLS00240,a company really wanting to sell the data and maybe wanting to be competitive.,A company really wanting to sell the data and maybe wanting to be competitive.
WCLS00241,a compassionate non profit organization,A compassionate non profit organization
WCLS00242,"a competitive price has been set for a good selling line , there is no reason to change he price as an increase would cut sales and a decrease would hit profit margins.","a competitive price has been set for a good selling line , there is no reason to change he price as an increase would cut sales and a decrease would hit profit margins."
WCLS00243,a competitor having a sale and needing to match the prices,A competitor having a sale and needing to match the prices
WCLS00244,a compromise,a compromise
WCLS00245,a concert venue raises ticket prices because the artist suddenly becomes more popular and demand spikes.,A concert venue raises ticket prices because the artist suddenly becomes more popular and demand spikes.
WCLS00246,a considerable penalty and very unfair,a considerable penalty and very unfair
WCLS00247,a contract that agrees not to increase your rent for the next year.,A contract that agrees not to increase your rent for the next year.
WCLS00248,a corporation exploiting other people,a corporation exploiting other people
WCLS00249,a couple of cheap tshirts from primark,A couple of cheap tshirts from Primark
WCLS00250,a coupon at the store,a coupon at the store
WCLS00251,a coupon discount i would be glad to use,A coupon discount I would be glad to use
WCLS00252,a crime and injustice like modern day slavery as i wouldn't get what i deserve.,A crime and injustice like modern day slavery as I wouldn't get what I deserve.
WCLS00253,a cup of cofee and a breakfast pastry,a cup of cofee and a breakfast pastry
WCLS00254,a cup of coffee at starbucks,a cup of coffee at starbucks
WCLS00255,a cup of coffee in a cafe,A cup of coffee in a cafe
WCLS00256,a cyber monday sale is what i imagine in this scenario,a cyber monday sale is what i imagine in this scenario
WCLS00257,"a deal among friends, where nobody profits or suffers","A deal among friends, where nobody profits or suffers"
WCLS00258,a deal to allow the broker to make more money e.g. bulk buy.,A deal to allow the broker to make more money e.g. bulk buy.
WCLS00259,a decorative item newly on display.,A decorative item newly on display.
WCLS00260,a decrease in total money which isn't good,A decrease in total money which isn't good
WCLS00261,a deliveroo order,a deliveroo order
WCLS00262,a department store was running a sale on its everyday products. it was a 30% off sale and drew customers in.,A department store was running a sale on its everyday products. It was a 30% off sale and drew customers in.
WCLS00263,a designer boutique where no discounts are offered as their items are in high demand and sell really quickly.,A designer boutique where no discounts are offered as their items are in high demand and sell really quickly.
WCLS00264,a detergent company decreasing the price by $4 to gain new customers,A detergent company decreasing the price by $4 to gain new customers
WCLS00265,a difficult decision,A difficult decision
WCLS00266,a discount at a store.,A discount at a store.
WCLS00267,a discount at a supermarket for loyalty card holders,A discount at a supermarket for loyalty card holders
WCLS00268,a discount code for an online shop.,A discount code for an online shop.
WCLS00269,a discount for purchase,a discount for purchase
WCLS00270,a discount from a shop by -2 lowering it initial prices.this leads to more sales since customers will prefer to buy at a cheaper price.,A discount from a shop by -2 lowering it initial prices.This leads to more sales since customers will prefer to buy at a cheaper price.
WCLS00271,a discount in a high street shop,A discount in a high street shop
WCLS00272,a discount in a shop in the high street,a discount in a shop in the high street
WCLS00273,"a discount on items, for example, clubcard prices.","A discount on items, for example, clubcard prices."
WCLS00274,a discount on something i buy,a discount on something I buy
WCLS00275,a discount sale like a store might run,A discount sale like a store might run
WCLS00276,a discount using a loyalty card,A discount using a loyalty card
WCLS00277,"a discount, a seasonal sale","a discount, a seasonal sale"
WCLS00278,a discussion where you are all friendly and accept the situation as it is without questioning the rights or wrongs of the scenario.,A discussion where you are all friendly and accept the situation as it is without questioning the rights or wrongs of the scenario.
WCLS00279,a discussion where you feel that you can afford to give up your position to help the other party.,A discussion where you feel that you can afford to give up your position to help the other party.
WCLS00280,"a discussion where you want to work towards a common ground, ensuring fairness.","A discussion where you want to work towards a common ground, ensuring fairness."
WCLS00281,a display of my lack of bravery,A display of my lack of bravery
WCLS00282,a divorce where both parties divide everything completely equally down the middle and both end up with the same amount.,A divorce where both parties divide everything completely equally down the middle and both end up with the same amount.
WCLS00283,a dominant party exploiting a weaker party to achieve total control.,A dominant party exploiting a weaker party to achieve total control.
WCLS00284,a donation given in generosity.,A donation given in generosity.
WCLS00285,a donation to a charity,A donation to a charity
WCLS00286,a donation to a charity with a local cause,A donation to a charity with a local cause
WCLS00287,a donation to charity,a donation to charity
WCLS00288,a donation.,A donation.
WCLS00289,a donation. giving up more money to the broker is saying that i don't value my data as much.,a donation. Giving up more money to the broker is saying that I don't value my data as much.
WCLS00290,"a double bonus, sharing.","A double bonus, sharing."
WCLS00291,a draw,A draw
WCLS00292,a drink and chips,a drink and chips
WCLS00293,a end of season sale.,A end of season sale.
WCLS00294,a equal relationship.,A equal relationship.
WCLS00295,a fair adjustment to brokering the deal,a fair adjustment to brokering the deal
WCLS00296,a fair and equitable balance between equals.,A fair and equitable balance between equals.
WCLS00297,a fair and equitable share in the spoils,a fair and equitable share in the spoils
WCLS00298,a fair and equitable society which gives us both the same amount,a fair and equitable society which gives us both the same amount
WCLS00299,"a fair and even trade, paying my friend back for something they paid for me","a fair and even trade, paying my friend back for something they paid for me"
WCLS00300,a fair arrangment,a fair arrangment
WCLS00301,a fair compromise,A fair compromise
WCLS00302,a fair days work,a fair days work
WCLS00303,"a fair deal but weighted towards them, e.g. having 2 slices of cake and giving them the slice that's a lot bigger","A fair deal but weighted towards them, e.g. having 2 slices of cake and giving them the slice that's a lot bigger"
WCLS00304,a fair deal for both of us,a fair deal for both of us
WCLS00305,a fair deal where a pot is split evenly.,A fair deal where a pot is split evenly.
WCLS00306,a fair deal. the broker provides a service but a relatively small one.,A fair deal. The broker provides a service but a relatively small one.
WCLS00307,a fair decision - what most people would pick,A fair decision - what most people would pick
WCLS00308,a fair division between partners,A fair division between partners
WCLS00309,a fair friend,A fair friend
WCLS00310,a fair game between two people,A fair game between two people
WCLS00311,a fair meet in the middle,A fair meet in the middle
WCLS00312,a fair offer being fair and reasonable,a fair offer being fair and reasonable
WCLS00313,a fair outcome for 2 people.,A fair outcome for 2 people.
WCLS00314,a fair payment,A fair payment
WCLS00315,a fair price for brokering the deal,a fair price for brokering the deal
WCLS00316,"a fair price for the data, a situation agreeable to both parties","A fair price for the data, a situation agreeable to both parties"
WCLS00317,a fair return on funds for the recipient,a fair return on funds for the recipient
WCLS00318,a fair share for equal participants,A fair share for equal participants
WCLS00319,a fair share to somebody who assisted more than myself,A fair share to somebody who assisted more than myself
WCLS00320,a fair situation for all,a fair situation for all
WCLS00321,a fair society where people get to keep their money without interference.,A fair society where people get to keep their money without interference.
WCLS00322,a fair split,A fair split
WCLS00323,a fair transaction that involves fair payment,A fair transaction that involves fair payment
WCLS00324,a family or friend with greater needs than i,A family or friend with greater needs than I
WCLS00325,a far etter outcome for me personally,a far etter outcome for me personally
WCLS00326,a farmer selling a commodity which has experienced a 33% price decline.,A farmer selling a commodity which has experienced a 33% price decline.
WCLS00327,a farmer selling a commodity which has experienced a 50% price decline.,A farmer selling a commodity which has experienced a 50% price decline.
WCLS00328,a farmer selling a commodity which has experienced a 66% price decline.,A farmer selling a commodity which has experienced a 66% price decline.
WCLS00329,a farmer selling a commodity which has maintained a stable price.,A farmer selling a commodity which has maintained a stable price.
WCLS00330,a fast food restaurant decreasing their burrito by $2 to gain new customers,A fast food restaurant decreasing their burrito by $2 to gain new customers
WCLS00331,"a father who earns their salary only to purchase christmas gifts for their children, and remaining with less than they require to make their day equally memorable","A father who earns their salary only to purchase Christmas gifts for their children, and remaining with less than they require to make their day equally memorable"
WCLS00332,a feeling of not needing the money and hoping the other participant is in need of it more,A feeling of not needing the money and hoping the other participant is in need of it more
WCLS00333,a final clearance sale,A final clearance sale
WCLS00334,a flash sale or black friday deal,A flash sale or Black Friday deal
WCLS00335,a flat economy in my country,a flat economy in my country
WCLS00336,a football match where both teams draw,a football match where both teams draw
WCLS00337,"a football team, where the top scorer takes home all the glory without the need to know how their team performed, or who assisted them to get there.","A football team, where the top scorer takes home all the glory without the need to know how their team performed, or who assisted them to get there."
WCLS00338,"a free event, that does not need money to be handed over","A free event, that does not need money to be handed over"
WCLS00339,a free giveaway or a free reward,A free giveaway or a free reward
WCLS00340,"a free, limited time offer from a subscription service e.g youtube","A free, limited time offer from a subscription service e.g Youtube"
