classification_id,memory_key,memory,category_num,classification_origin,category
WCLS00035,-4 is half price and reminds me of deep disocunts meant to intice shoppers at the holiday season.,-4 is half price and reminds me of deep disocunts meant to intice shoppers at the holiday season.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00036,-4$,-4$,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00037,"-4? i don't get this question. if it's the same as the previous one, then a coffee.","-4? I don't get this question. If it's the same as the previous one, then a coffee.",0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00038,-75% sale on a item in a shop,-75% sale on a item in a shop,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00039,0,0,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00040,0 doesn't change anything - kind of like our political landscape - status quo,0 doesn't change anything - kind of like our political landscape - status quo,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00041,0 nothing as it has no effect on anything,0 nothing as it has no effect on anything,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00042,0% of the $12.00,0% of the $12.00,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00043,0% of the $8.00,0% of the $8.00,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00044,0% sent,0% sent,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00045,1 third discount off the initial price,1 third discount off the initial price,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00046,1/2 discount on the price,1/2 discount on the price,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00047,1/3 rd discount which is ok,1/3 rd discount which is ok,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00048,1/3rd discount on the price,1/3rd discount on the price,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00049,10,10,0,inherited_gpt_5_6_between,No clear justification
WCLS00050,100% taxes. working hard just to stay still and having to give the broker the whole $12 as their fee.,100% taxes. Working hard just to stay still and having to give the broker the whole $12 as their fee.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00051,12,12,0,inherited_gpt_5_6_between,No clear justification
WCLS00052,12 dollars i will get what i asked for and so will the broker,12 DOLLARS I WILL GET WHAT I ASKED FOR AND SO WILL THE BROKER,2,gpt_5_6_subagent_rowwise,Mutual Benefit / Cooperation
WCLS00053,12 no change to the original price,12 no change to the original price,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00054,12 would float my boat ok sirree,12 would float my boat ok sirree,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00055,12% of the price at the beginng,12% of the price at the beginng,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00056,2,2,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00057,2 for 1 offer in a supermarket,2 for 1 offer in a supermarket,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00058,2 friends split the bill evenly regardless of who ordered more expensive items or who had more money,2 friends split the bill evenly regardless of who ordered more expensive items or who had more money,1,gpt_5_6_subagent_rowwise,Moral
WCLS00059,2 friends were having lunch and one of them didn't have enough to buy any sides or drink. the other friend helped them by giving them enough to purchase a full meal.,2 friends were having lunch and one of them didn't have enough to buy any sides or drink. The other friend helped them by giving them enough to purchase a full meal.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00060,2 people participating equally and completing a task. or a 'draw'.,2 people participating equally and completing a task. Or a 'draw'.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00061,"2 roommates split chores, one ends up doing more, but they dont change the split to make the responsibility more fair, they just accept it.","2 roommates split chores, one ends up doing more, but they dont change the split to make the responsibility more fair, they just accept it.",1,gpt_5_6_subagent_rowwise,Moral
WCLS00062,2 thirds discount off the initial price,2 thirds discount off the initial price,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00063,2/3rds discount on the price,2/3rds discount on the price,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00064,25%,25%,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00065,"25% decrease, special offer to promote product and get people to try it.","25% decrease, special offer to promote product and get people to try it.",0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00066,25% of the $8.00,25% of the $8.00,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00067,25% off of sale items at a department store sale,25% off of sale items at a department store sale,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00068,25% off sale whe of the pricere you get the product at 3/4,25% off sale whe of the pricere you get the product at 3/4,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00069,25% sale on all items in a retail shop,25% sale on all items in a retail shop,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00070,30% of the $12.00,30% of the $12.00,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00071,33% fee for the broker as benefit,33% fee for the broker as benefit,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00072,33.3% off of something bought in a shop,33.3% off of something bought in a shop,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00073,4,4,1,inherited_gpt_5_6_between,Moral
WCLS00074,4 giving away money at this point,4 giving away money at this point,1,gpt_5_6_subagent_rowwise,Moral
WCLS00075,"4 is ok, its good to have middle ground","4 is ok, its good to have middle ground",1,gpt_5_6_subagent_rowwise,Moral
WCLS00076,4 or 12 are similar to five and 13,4 or 12 are similar to five and 13,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00077,4 the temps when i went ski ing in bulgaria a long time ago,4 the temps when i went ski ing in bulgaria a long time ago,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00078,5,5,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00079,50 % disco8nd again too much,50 % disco8nd again too much,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00080,"50 / 50 split, is fair i guess.","50 / 50 split, is fair i guess.",1,gpt_5_6_subagent_rowwise,Moral
WCLS00081,50 50 split,50 50 split,1,gpt_5_6_subagent_rowwise,Moral
WCLS00082,50%,50%,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00083,"50% decrease or half price, clearance sale to shift it and get something for it","50% decrease or half price, clearance sale to shift it and get something for it",3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00084,"50% increase, could be the price of petrol during times of crisis","50% increase, could be the price of petrol during times of crisis",0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00085,50% of orginal price,50% of orginal price,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00086,50% of the $8.00,50% of the $8.00,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00087,50% off flash offer for a limited period only.,50% off flash offer for a limited period only.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00088,50% off is a good dicount. sometimes the bread in my local supermarket has this kind of discount at the end of the day.,50% off is a good dicount. sometimes the bread in my local supermarket has this kind of discount at the end of the day.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00089,50% off mean the product will cost you half,50% off mean the product will cost you half,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00090,50% off sale or a specific special offer / discount code,50% off sale or a specific special offer / discount code,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00091,50% or half price. substantial discounts,50% or half price. Substantial discounts,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00092,50/50 split as a partnership between two equal owners,50/50 split as a partnership between two equal owners,1,gpt_5_6_subagent_rowwise,Moral
WCLS00093,550-50 is a fair split. in an ideal world we would all share everything this way,550-50 is a fair split. in an ideal world we would all share everything this way,1,gpt_5_6_subagent_rowwise,Moral
WCLS00094,6,6,0,inherited_gpt_5_6_between,No clear justification
WCLS00095,"6 dollars goes a long way in todays society, having any money really is a blessing with how bad inflation has become.","6 dollars goes a long way in todays society, having any money really is a blessing with how bad inflation has become.",0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00096,6 equal to half a dozen eggs i use for breakfast on a weekend fresh from the farm,6 equal to half a dozen eggs i use for breakfast on a weekend fresh from the farm,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00097,6 fair i suppose becuase now its 50/50,6 fair i suppose becuase now its 50/50,1,gpt_5_6_subagent_rowwise,Moral
WCLS00098,6 would be better for me ngl,6 would be better for me ngl,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00099,6$. half price t shirts,6$. Half price t shirts,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00100,"6, seems fair to do 50/50","6, seems fair to do 50/50",1,gpt_5_6_subagent_rowwise,Moral
WCLS00101,60% of the $12.00,60% of the $12.00,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00102,7,7,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00103,75% off at kohls for the holidays,75% off at kohls for the holidays,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00104,8,8,0,inherited_gpt_5_6_between,No clear justification
WCLS00105,"8 a discount , i guess this is fair because the other person gets paid some","8 a discount , i guess this is fair because the other person gets paid some",1,gpt_5_6_subagent_rowwise,Moral
WCLS00106,8 dollars the broker will loss out on this one,8 DOLLARS THE BROKER WILL LOSS OUT ON THIS ONE,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00107,"8 is a huge difference more than half the price, its like taking sweets from a baby","8 is a huge difference more than half the price, its like taking sweets from a baby",1,gpt_5_6_subagent_rowwise,Moral
WCLS00108,8 my mum is one of 8 children so i have 4 aunties 4 uncles my dads birthday falls on the 8th of a month,8 my mum is one of 8 children so i have 4 aunties 4 uncles my dads birthday falls on the 8th of a month,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00109,8$. i suppose that's the same price as a box of chocolate,8$. I suppose that's the same price as a box of chocolate,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00110,`buying them a cup of coffee,`buying them a cup of coffee,1,gpt_5_6_subagent_rowwise,Moral
WCLS00111,a $4 drop is like a half-price sale at a retailer.,A $4 drop is like a half-price sale at a retailer.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00112,"a -$2 change would remind me for a minor discount, potentially when applying a coupon code to an online order","a -$2 change would remind me for a minor discount, potentially when applying a coupon code to an online order",0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00113,a 10% off sale in an average supermarket,A 10% off sale in an average supermarket,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00114,a 10% sale in a shop,a 10% sale in a shop,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00115,a 25% decrease makes me think of a discounted item on sale at target,a 25% decrease makes me think of a discounted item on sale at target,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00116,a 25% discount on a product,a 25% discount on a product,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00117,a 4 pound win at bookies,A 4 pound win at bookies,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00118,a 5% off sale in an average supermarket,A 5% off sale in an average supermarket,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00119,a 50% cut - maybe like a black friday quick sle,A 50% cut - maybe like a Black Friday quick sle,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00120,a 50% discount off the initial price,a 50% discount off the initial price,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00121,a 50% discount on black friday,A 50% discount on black friday,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00122,a 50% increase in price makes me think of kitchen renovations we were involved in during the pandemic when everything was inflated in price,a 50% increase in price makes me think of kitchen renovations we were involved in during the pandemic when everything was inflated in price,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00123,a 50% off deal on something,a 50% off deal on something,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00124,a 50% off sale in a shop.,A 50% off sale in a shop.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00125,a 50% offer online or in-store shopping (as starting price is $8),A 50% offer online or in-store shopping (as starting price is $8),0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00126,a 50% reduction in my allocation but increasing the other participants allocation by 100%,a 50% reduction in my allocation but increasing the other participants allocation by 100%,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00127,a 50% sale at a black friday event.,A 50% sale at a black Friday event.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00128,a 50% sale in a retail shop,A 50% sale in a retail shop,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00129,a 50/50 split is an agreeable term for evenly shared workload. i find it similar to being project partners with someone who's able to equally pull their weight through the working section of the task.,A 50/50 split is an agreeable term for evenly shared workload. I find it similar to being project partners with someone who's able to equally pull their weight through the working section of the task.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00130,a 50/50 split the pot raffle - each party gets half.,A 50/50 split the pot raffle - each party gets half.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00131,a 75% rebate on something.,A 75% rebate on something.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00132,a attempt to display a lack of concern about money.,A attempt to display a lack of concern about money.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00133,a balanced distribution among unequal hierarcies.,A balanced distribution among unequal hierarcies.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00134,a balanced negotiation between two people.,A balanced negotiation between two people.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00135,"a bank transfer to pay back for bus ticket money that was leant to me by my friend,","A bank transfer to pay back for bus ticket money that was leant to me by my friend,",1,gpt_5_6_subagent_rowwise,Moral
WCLS00136,a barber offers a discount to regular customers.,A barber offers a discount to regular customers.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00137,a bargain a bargain a bargain,a bargain a bargain a bargain,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00138,a bargain for the purchaser,a bargain for the purchaser,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00139,a bargain for the seller.,a bargain for the seller.,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00140,a bargain or price decrease,a bargain or price decrease,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00141,a basic need,a basic need,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00142,a beggar who i know is not a beggar,a beggar who i know is not a beggar,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00143,a bet,a bet,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00144,a better amount to consider sending,a better amount to consider sending,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00145,a better price hike than 20,A better price hike than 20,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00146,a big black friday discount or a clearance sale,A big Black Friday discount or a clearance sale,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00147,a big candy bar,A big candy bar,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00148,a big discount for the data seller,a big discount for the data seller,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00149,"a big middle finger, haha.","A big middle finger, haha.",0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00150,a big tip,a big tip,1,gpt_5_6_subagent_rowwise,Moral
WCLS00151,"a bigger discount, maybe i'm taking more of a loss","a bigger discount, maybe i'm taking more of a loss",0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00152,a bigger profit by the increased reduction in price.,A bigger profit by the increased reduction in price.,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00153,a bill collector shows up to collect on money that you owed but refused to pay.,A bill collector shows up to collect on money that you owed but refused to pay.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00154,a birthday card from a skinflint. big fat 0.,a birthday card from a skinflint. big fat 0.,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00155,a birthday gift,A birthday gift,1,gpt_5_6_subagent_rowwise,Moral
WCLS00156,a birthday present,A birthday present,1,gpt_5_6_subagent_rowwise,Moral
WCLS00157,a bit benevolent. it depends on the giver.,A bit benevolent. It depends on the giver.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00158,a bit cheeky but possible in the business world of making as much money as possible.,A bit cheeky but possible in the business world of making as much money as possible.,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00159,a bit mean,A bit mean,1,gpt_5_6_subagent_rowwise,Moral
WCLS00160,"a bit mean spirited, i had the opportunity to give a nice gift that wasn't even given to me before this task.","a bit mean spirited, I had the opportunity to give a nice gift that wasn't even given to me before this task.",1,gpt_5_6_subagent_rowwise,Moral
WCLS00161,"a bit rude, like going to someones party and not speaking to them","a bit rude, like going to someones party and not speaking to them",1,gpt_5_6_subagent_rowwise,Moral
WCLS00162,a bit sneaky and mean,A bit sneaky and mean,1,gpt_5_6_subagent_rowwise,Moral
WCLS00163,"a black friday deal on a new pair of sneakers you've had your eye on for ages, and that you can finally afford","A Black Friday deal on a new pair of sneakers you've had your eye on for ages, and that you can finally afford",0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00164,a black friday discount,A black friday discount,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00165,a black friday discount.,a black Friday discount.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00166,a black friday sale,A Black Friday sale,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00167,a black friday sale i think is closest,A black friday sale i think is closest,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00168,a black friday sale is what i imagine in this scenario,a black friday sale is what i imagine in this scenario,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00169,a black friday sale with limited time to take advantage of.,A Black Friday sale with limited time to take advantage of.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00170,a black friday sale.,A Black Friday sale.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00171,a blanket from a retail store. the blanket is quite small,A blanket from a retail store. The blanket is quite small,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00172,a bonus for a job they did exceptionally well.,A bonus for a job they did exceptionally well.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00173,a book on the subject to help them,a book on the subject to help them,1,gpt_5_6_subagent_rowwise,Moral
WCLS00174,a boss getting a full bonus and sharing none with their team.,A boss getting a full bonus and sharing none with their team.,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00175,a boss giving a discretionary bonus or tip that is less than half.,A boss giving a discretionary bonus or tip that is less than half.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00176,a bottled drink,a bottled drink,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00177,a box of nice tea bags,A box of nice tea bags,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00178,a british company selling their amazing new invention to an american company for a fraction of its value.,A British company selling their amazing new invention to an American company for a fraction of its value.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00179,a bseless act considering that i do not know this person,a bseless act considering that I do not know this person,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00180,a business between two equal partners who split the profits fairly.,A business between two equal partners who split the profits fairly.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00181,a business deal between two people and the partner doesn't know its a 60/40 type deal with the person they are working with getting a bigger cut. like they're being shortchanged.,A business deal between two people and the partner doesn't know its a 60/40 type deal with the person they are working with getting a bigger cut. Like they're being shortchanged.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00182,a business marking up prices higher than what the product is worth.,A business marking up prices higher than what the product is worth.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00183,a business owner having a small business that realizes that their product is being sold by a retailer at a price of $12 and they are able to force the retailer to sell their product at that price. this maximizes their profit and the retailer with zero profit. it is the full value claim or high leverage negotiation.,A business owner having a small business that realizes that their product is being sold by a retailer at a price of $12 and they are able to force the retailer to sell their product at that price. This maximizes their profit and the retailer with zero profit. It is the full value claim or high leverage negotiation.,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00184,a business owner increasing their prices to maximise profit,A business owner increasing their prices to maximise profit,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00185,a business providing discounts to charity workers,a business providing discounts to charity workers,1,gpt_5_6_subagent_rowwise,Moral
WCLS00186,a business putting on a sale,a business putting on a sale,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00187,a business raising the prices of their products,a business raising the prices of their products,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00188,a business that is doing really well but decides to only pass on a small amount of its profits to customers in terms of price reductions.,A business that is doing really well but decides to only pass on a small amount of its profits to customers in terms of price reductions.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00189,a business transaction in my professional life,A business transaction in my professional life,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00190,a business trying to break even,A business trying to break even,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00191,a business trying to make as much money as possible,A business trying to make as much money as possible,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00192,a businessman trying to be greedy and squeeze a little extra profit for no extra effort om their part.,A businessman trying to be greedy and squeeze a little extra profit for no extra effort om their part.,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00193,a buy one get one free.,A buy one get one free.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00194,a buy one get one half off sale,A Buy One Get One Half off sale,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00195,a café offers a small weekday discount on sandwiches—just a modest price cut to stay competitive with a new café next door,A café offers a small weekday discount on sandwiches—just a modest price cut to stay competitive with a new café next door,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00196,a calculated by benevolent action,a calculated by benevolent action,1,gpt_5_6_subagent_rowwise,Moral
WCLS00197,a capitalist society that is attempting to reallocate resources to eliminate poverty,A capitalist society that is attempting to reallocate resources to eliminate poverty,1,gpt_5_6_subagent_rowwise,Moral
WCLS00198,"a capitalist society, where what is mine is my own and i do not have to share with anyone to help them","A capitalist society, where what is mine is my own and I do not have to share with anyone to help them",3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00199,a car that was brought new sold after a year of use.,A car that was brought new sold after a year of use.,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00200,a card or board game,a card or board game,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00201,a cash back program,A cash back program,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00202,"a ceo of a company that has large increasing profits, but they do not increase the wages of their employees.","A CEO of a company that has large increasing profits, but they do not increase the wages of their employees.",3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00203,a chance of winning more money,a chance of winning more money,2,gpt_5_6_subagent_rowwise,Mutual Benefit / Cooperation
WCLS00204,a chance to win some money,a chance to win some money,2,gpt_5_6_subagent_rowwise,Mutual Benefit / Cooperation
WCLS00205,a change of this magnitude would have been very unwise as the result would not cover her material costs yet alone time spent.,A change of this magnitude would have been very unwise as the result would not cover her material costs yet alone time spent.,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00206,a charitable donation,a charitable donation,1,gpt_5_6_subagent_rowwise,Moral
WCLS00207,a charitable donation on my part.,A charitable donation on my part.,1,gpt_5_6_subagent_rowwise,Moral
WCLS00208,"a charitable organisation, perhaps - a not-for-profit.","A charitable organisation, perhaps - a not-for-profit.",1,gpt_5_6_subagent_rowwise,Moral
WCLS00209,a charity donation,a charity donation,1,inherited_gpt_5_6_between,Moral
WCLS00210,a cheap tesco item,a cheap tesco item,0,gpt_5_6_subagent_rowwise,No clear justification
WCLS00211,a child being given a bag of sweets and deciding not to share any of them with anyone.,A child being given a bag of sweets and deciding not to share any of them with anyone.,3,gpt_5_6_subagent_rowwise,Self-interest
WCLS00212,a child not sharing its toys with another child,A child not sharing its toys with another child,3,gpt_5_6_subagent_rowwise,Self-interest
