"classification_id","memory"
"WCLS08686","Reducing the price of an item I'm struggling to sell on E-Bay"
"WCLS08687","Reducing the price of my data too much and receiving less than the broker would receive."
"WCLS08688","Reducing the price on a car you are selling to someone because you need to make a quick sale"
"WCLS08689","Reducing the price on an online platform to encourage it to sell"
"WCLS08690","Reducing the price slightly but not to equal amounts."
"WCLS08691","reducing the price to start so that the offer is attraftive and you can get business even if the profit is low"
"WCLS08692","reducing the price when selling on vinted"
"WCLS08693","Reducing the price would reduce the amount the broker gets but increases the amount I keep. This is like splitting money 50/50 with another person."
"WCLS08694","Reduction in petrol tax"
"WCLS08695","reduction of goods at a fare"
"WCLS08696","Reduction of price by -6 is equivalent to a moderate discount on what one possesses e.g. reduction of price of a handmade product so as to promote a sale and still retain some value on the self."
"WCLS08697","Reduction to make up for something wrong"
"WCLS08698","reduction/ special offer the price is cheaper"
"WCLS08699","Reductions in the supermarket on food"
"WCLS08700","refunding"
"WCLS08701","refusing a request to lend money"
"WCLS08702","Refusing to give up what you have or earned"
"WCLS08703","Refusing to lend money to a friend."
"WCLS08704","Refusing to pay for a service"
"WCLS08705","Refusing to pay someone"
"WCLS08706","Refusing to say thank you to a cashier at a shop who just served you"
"WCLS08707","Refusing to share money based on random allocation, greedy"
"WCLS08708","Regular life - some people are born with more, and some with less."
"WCLS08709","regular price, no change to price"
"WCLS08710","regular shopping experience, no sale going on"
"WCLS08711","regular shopping situations"
"WCLS08712","regular stock which is popular but stock you have plenty of and that sells adequately"
"WCLS08713","Regular work you are doing nothing more nothing less"
"WCLS08714","Reimbursement for a bad job done"
"WCLS08715","Rejecting a middleman and selling to get full price yourself"
"WCLS08716","Remain with$4 and the other participant get $8"
"WCLS08717","Reminds me of a criminal persuading people to invest in non existent schemes"
"WCLS08718","Reminds me of being paid for a service"
"WCLS08719","Reminds me of greedy people, always upping their prices to the point where people can no longer afford to buy the things they want"
"WCLS08720","Reminds me of last week when I went out with my friend to avoid complicating things, we shared the dinner bill even if that meant for me to pay 4£ more"
"WCLS08721","Reminds me of regularly hanging out with someone, with no costs needed"
"WCLS08722","reminds me of when I lost my purse and lost money which left me feeling sad"
"WCLS08723","Reminds me of when someone swaps places with you on a plane, so they get the better window seat."
"WCLS08724","removing 4 dollars is a close out sale of 50% off"
"WCLS08725","Reparations"
"WCLS08726","Repaying a friend for a few snacks they bought me."
"WCLS08727","Repaying a friend for buying me candy."
"WCLS08728","Repaying a friend for buying me lunch"
"WCLS08729","Repaying a loan to a friend."
"WCLS08730","Repayment for their contribution"
"WCLS08731","Requesting"
"WCLS08732","Requesting a discount in a shop."
"WCLS08733","Requesting money from someone"
"WCLS08734","requesting money from the friend ,"
"WCLS08735","Respecting the other person, like a dealership"
"WCLS08736","Restaurants are all raising their prices. For example, the chimichangas dinner used to be 14.99 Its not 19.99. We ate there last week and noticed."
"WCLS08737","Result would be an even split between producer and broker, and possibly reasonable when the broker adds some extra value to the supply chain. Possibly like recruitment agencies."
"WCLS08738","Retain the status quo"
"WCLS08739","Retaining the current situation. Neither of us is better off."
"WCLS08740","reversal of roles, correcting an injustice"
"WCLS08741","Reviewing the original price, I am able to provide a 50% discount without it affecting the business."
"WCLS08742","Rewarding a careless person for a job not well done"
"WCLS08743","rewarding someone for doing the bulk of the task"
"WCLS08744","Rewarding someone for going over and above"
"WCLS08745","Rewarding someone for something"
"WCLS08746","Rich but not donating"
"WCLS08747","Rich people not donating or giving back to the less fortunate"
"WCLS08748","Rich residents not sharing."
"WCLS08749","Riding in the car with friends and stopping at a store for gas . then I decide to help pa for the gas."
"WCLS08750","Ringfencing, but at the same time practising altruism. Like a philanthropist/entrepreneur. They keep a lot of money for themselves so that they don't go without, but have sufficient money to give a sizeable amount of it away to a good cause."
"WCLS08751","Ripping off the middle man who has helped me find a buyer and taking advantage of them"
"WCLS08752","ripping the other person off"
"WCLS08754","Robbery - why should I get their allocation?"
"WCLS08755","Robbery, greed, rich politicians."
"WCLS08756","robbing"
"WCLS08757","robbing a store"
"WCLS08758","Robbing money from some body"
"WCLS08759","Robbing Peter to pay Paul"
"WCLS08760","Robbing someone"
"WCLS08761","Robbing someone for all their possessions."
"WCLS08762","Robbing someone of their lunch money"
"WCLS08763","Robbing the person of their money."
"WCLS08764","Robin Hood - taking from the rich and giving to the poor"
"WCLS08765","Robinhood stealing from the rich."
"WCLS08766","Rounding up a cost to donate to charity"
"WCLS08767","Rude and selfish"
"WCLS08768","Running a charity and not caring about the price."
"WCLS08769","Running a successful business."
"WCLS08770","running out of milk after making a cup of tea"
"WCLS08771","Running your business at a loss."
"WCLS08772","s both keeping our own earnings"
"WCLS08773","Sacrificial giving"
"WCLS08774","Safe and fair."
"WCLS08775","Safe as it’s unlikely they will give me more"
"WCLS08776","safe as we don't really lose either way and we are back to the start"
"WCLS08777","Salary - people get paid similar amounts for the same role."
"WCLS08778","Salary stagflation when you aren’t given a payrise"
"WCLS08779","sale price is reduced by 2/3 where you pay 4.00 for the product"
"WCLS08780","sale price of an article of clothing"
"WCLS08781","Sale prices at the dept store"
"WCLS08782","sales in a shop, when something is on final clearance."
"WCLS08783","Salvation Army the thrift store."
"WCLS08784","Same again donating to a charity"
"WCLS08785","Same allocations"
"WCLS08786","Same answer as above. Stealing but rationalising as not actually stealing because technically 'the money is mine' first of all. This is like the richest in society paying tax advisers to avoid as much tax as possible. Legally - not tax evasion which would be taking $12 from the other participant in this analogy. Just Tax Avoidance which is legal and they can do it but quite often it is simply being greedy and not wanting to pay their fare share after already having so much, they still want more. It is Tax Avoidance in my eyes to not transfer any money across to the other participant because it isn't 'illegal' as in it isn't technically wrong, I can do it, but that doesn't make it right."
"WCLS08787","Same as $6 above, its unexpected."
"WCLS08789","Same as above - I feel it’s also like the current Labour government"
"WCLS08790","Same as above, but more pay."
"WCLS08791","same as always, not giving money away"
"WCLS08792","Same as before being nice."
"WCLS08793","Same as the example above: Asking for money back from a friend, I will always round it down."
"WCLS08794","SAME PRICE AND GOOD .SUPER"
"WCLS08795","Same thing again. It feels like a gift to a stranger. I'm not sure what else it would be."
"WCLS08796","same thing. Giving a friend a few dollars"
"WCLS08797","Same, what the hell does this even mean."
"WCLS08798","Sandwich and potato chips"
"WCLS08799","Satisfactory performance of services"
"WCLS08800","Saving a little bit of money"
"WCLS08801","saving for buying multiple tickets"
"WCLS08802","Saving for retirement"
"WCLS08803","saving money"
"WCLS08804","Saving money for a rainy day"
"WCLS08805","Saving money on something at the supermarket like biscuits due to a weekly roll-back."
"WCLS08806","Saving money on something with a discount code and feeling good about it."
"WCLS08807","Saving your money for later."
"WCLS08808","saying hello"
"WCLS08809","Saying no to donating for charity."
"WCLS08810","saying no to someone asking for money"
"WCLS08811","Saying to my partner i don't need payment from them when i've paid for something for the family that they have offered to pay half on."
"WCLS08812","Saying we'll make groceries affordable and then making them more expensive and telling everyone money isn't even real."
"WCLS08813","Scoring a basket in a game of basketball."
"WCLS08814","screwing myself over"
"WCLS08815","Scrooge"
"WCLS08816","scrooge at christmas"
"WCLS08817","Scrooge is a movie that I always liked."
"WCLS08818","Scrooge refusing Bob Cratchit any more logs for the latter's fireplace, even though Scrooge can easily afford it; self-protecting but unkind."
"WCLS08819","seasonal fluctuation."
"WCLS08820","Second mile giving in a church or non-profit."
"WCLS08821","See above, I still feel anger and unfairness at the low price my data got sold for"
"WCLS08822","Seeing a 1/4 reduction"
"WCLS08823","Seeing a child who wants a toy in the store but the parent cannot afford it. A small gesture hoping to instill the pay if forward sentiment to that family."
"WCLS08824","Seeing a gift that is more than you would like to spend, but going for it anyway"
"WCLS08825","Seeing a homeless person in the street and not helping them out in any way"
"WCLS08826","Seeing a work colleague taking from another without a second thought"
"WCLS08827","seeing other people as equals to oneself"
"WCLS08828","Seeing someone got nothing and deciding to give them a little so they can at least have some joy"
"WCLS08829","Seeing someone with no food when you have a whole sandwich. So you cut it in half and give them half so you can both be equally fed"
"WCLS08830","seeing something at market prices"
"WCLS08831","Seeing that someone wasn't paid for something and making sure they get their fair share"
"WCLS08832","Seeing that the other person has a dessert I want and when they're not looking, I've decided to swallow the lot."
"WCLS08833","Seeing the collection bucket for a charity, but walking past without donating."
"WCLS08834","Seeing the price as a fair amount and paying the agreement. Just like most transactions that take palce within the worl without batering"
"WCLS08835","Seeing the price for something, buying it then getting charged for addons"
"WCLS08836","Seeking to show respect to the broker."
"WCLS08837","Seemingly fair beneficial to both parties"
"WCLS08838","Seemingly generous but at little real cost"
"WCLS08839","Seems a little greedy but normal"
"WCLS08840","seems about fair"
"WCLS08841","Seems fair and like minded approach which they may also chose"
"WCLS08842","Seems fair as the computer was random"
"WCLS08843","Seems fair as we would both get 6 dollars"
"WCLS08844","Seems fair but could ask for more"
"WCLS08845","Seems fair to keep it the same"
"WCLS08846","seems fair to me"
"WCLS08847","Seems fair, we each keep what we've been given. A bit like life"
"WCLS08848","Seems kind of greedy."
"WCLS08849","Seems like a fair counter"
"WCLS08850","Seems like a fair purchase/selling transaction with profit for all"
"WCLS08851","seems like a good idea as it sets a high threshold"
"WCLS08852","Seems like too much of an increase ."
"WCLS08853","Seems pretty fair to split it"
"WCLS08854","seems reasonable to me"
"WCLS08855","Seems self serving."
"WCLS08856","Seems to be fair that each person keeps $6."
"WCLS08857","seems uneven or out of balance, could be compared to the government always taking their share whether or not entitled to it."
"WCLS08858","self sacrifice"
"WCLS08859","Selfish"
"WCLS08860","Selfish and only thinking about yourself."
"WCLS08861","selfish behaviour"
"WCLS08862","Selfish behaviour."
"WCLS08863","selfish individuals who are unkind"
"WCLS08864","Selfish like a tax man"
"WCLS08865","selfish or simply not a people-pleaser"
"WCLS08866","Selfish or someone who looks out for themselves first and foremost"
"WCLS08867","Selfishly not sharing a slice of pie"
"WCLS08868","selfishness"
"WCLS08869","selfishness - I want to keep all of my money"
"WCLS08870","Selfishness to keep most of the money for yourself, but in this situation, you are the one doing the work."
"WCLS08871","Selfishness!"
"WCLS08872","Selfless acts of kindness"
"WCLS08873","Sell it at $6 Broker gets $6"
"WCLS08874","selling a good for its regular retail price."
"WCLS08875","Selling a high quality item to a friend because it isn't suitable in some way."
"WCLS08876","Selling a large bit of personal info"
"WCLS08877","Selling a medium bit of personal info"
"WCLS08878","Selling a posession for less than I paid"
"WCLS08879","Selling a product and increasing the price of groceries"
"WCLS08880","Selling a product at the set price, not lower or higher."
"WCLS08881","selling a product directly to the end user, rather than going through middlemen."
"WCLS08882","Selling a product for a better price than before but still not wholly what it is worth (when the item for sale is priceless)"
"WCLS08883","Selling a product for a discount"
"WCLS08884","Selling a product that is slightly flawed and offering someone a reduction for the flaw."
"WCLS08885","Selling a product to deliberately make an unncessary and unfair profit"
"WCLS08886","Selling a second hand item, the buyer noticed that it had significant damage and would only pay 1/3 of the asking price"
"WCLS08887","selling a share price"
"WCLS08888","Selling a small bit of personal info"
"WCLS08889","Selling a used car that has many miles on it."
"WCLS08890","Selling an item at a discount to someone you know doesn't need a discount that much, such as a family member."
"WCLS08891","Selling an item at a discount, perhaps to a close friend."
"WCLS08892","selling an item cheaply"
"WCLS08893","Selling an item for $4 less than the original price as the owner of a store to a customer, it is a one off discount after bartering."
"WCLS08894","selling an item for free"
"WCLS08895","selling an item very cheaply"
"WCLS08896","Selling an item which at full price would have been $12 but for a quick sale the buyer is willing to sell for $6"
"WCLS08897","Selling an iten for the set price without any negotiation"
"WCLS08898","Selling an old book that has lost some of it's value."
"WCLS08899","Selling at a loss such as in a closing down sale"
"WCLS08900","selling at list price"
"WCLS08901","selling at market prices"
"WCLS08902","selling goods - this time a better deal for me, and still a good deal for the buyer."
"WCLS08903","selling goods with a good deal for whoever is buying the goods (the data), but not a great deal for me."
"WCLS08904","Selling it at $12 broker gets nothing."
"WCLS08905","Selling it at $4 broker gets $8"
"WCLS08906","Selling it at $8 broker gets $4"
"WCLS08907","selling my data at any cost and certainly too cheaply"
"WCLS08908","selling my data for a higher amt"
"WCLS08909","selling my data for a lower amt"
"WCLS08910","selling my data for an even lower amt"
"WCLS08911","Selling my house and charging a realistic price for it."
"WCLS08912","Selling my product at full price"
"WCLS08913","selling my work for a fair price"
"WCLS08914","Selling myself short and giving away profits"
"WCLS08915","Selling myself short, shortchanging myself. I am worth more."
"WCLS08916","Selling old stock to replace with newer stock"
"WCLS08917","Selling or commission agreement with a non-profit."
"WCLS08918","Selling perishable goods like donuts."
"WCLS08919","Selling product through commission or a gallery setting."
"WCLS08920","selling something at market value"
"WCLS08921","selling something but no offers of full price so reduce the price"
"WCLS08922","Selling something desirable"
"WCLS08923","Selling something for less than your desired price on ebay"
"WCLS08924","selling something for the asking price set"
"WCLS08925","Selling something I don't need for a very low amount to simply get rid of it."
"WCLS08926","selling something just to get rid of it"
"WCLS08927","selling something on ebay"
"WCLS08928","selling something on ebay and putting the price up if its closer to christmas"
"WCLS08929","Selling something on eBay for the price I listed it at"
"WCLS08930","Selling something on facebook marketplace and they haggle you."
"WCLS08931","Selling something on Marketplace for half the original price just to get it sold fast."
"WCLS08932","Selling something second hand."
"WCLS08933","Selling something to a friend at a discounted price because they are my friend"
"WCLS08934","Selling something to someone else that I have already used"
"WCLS08935","Selling something to someone who will pay what they will sell for the product"
"WCLS08936","Selling something to the detriment of your own welfare and financial situation"
"WCLS08937","Selling something very cheap because there were no takers"
"WCLS08938","Selling something which belonged to me, and keeping all of the money for myself"
"WCLS08939","Selling stock at a loss after a hot tip"
"WCLS08940","Selling the data for what it is worth but no profit for the broker."
"WCLS08941","Selling your product at the price you bought it."
"WCLS08942","Selling your soul for no profit not worth it"
"WCLS08943","Sending $4 feels like when you help somebody out a little bit just so they’re not completely empty-handed, but you still keep most of what you came with. Kinda like spotting someone a few dollars for food but not paying for their whole meal."
"WCLS08944","sending 6 to the other participant is like sharing my last 12"
"WCLS08945","Sending a donation to a friend who may need the funds more than I do at the time."
"WCLS08946","Sending a friend some money for a meal we shared"
"WCLS08947","Sending a gift to a family member"
"WCLS08948","Sending an offer on vinted"
"WCLS08949","Sending funds I’ll never get back"
"WCLS08950","Sending funds through cash app"
"WCLS08951","Sending funds to a friend"
"WCLS08952","sending in to broker the correct amount that should be sent and being fair"
"WCLS08953","sending it to a family member"
"WCLS08954","Sending it to a friend when they are short"
"WCLS08955","sending money as my share of the taxi"
"WCLS08956","Sending money for a drink or something."
"WCLS08957","sending money for a raffle ticket entry"
"WCLS08958","sending money for a snack"
"WCLS08959","sending money for a snack or small meal"
"WCLS08960","sending money for alcohol"
"WCLS08961","Sending money for food"
"WCLS08962","Sending money I won’t get back"
"WCLS08963","Sending money I’ll never get back"
"WCLS08964","Sending money over to purchase goods"
"WCLS08965","Sending money to a friend for a coffee drink"
"WCLS08966","sending money to a friend for my part of the bill"
"WCLS08967","Sending money to a friend for them buying coffee for me."
"WCLS08968","Sending money to a friend you owe money to."
"WCLS08969","Sending money to contribute to a gift for a colleague at work."
"WCLS08970","Sending money to friends"
"WCLS08971","Sending money to my mum if she is slightly short to buy something."
"WCLS08972","Sending money to my son in Australia. It's always more than $2 but the principle is the same."
"WCLS08973","sending money to myself the through bank transfer"
"WCLS08974","sending money to one of my kids"
"WCLS08975","sending money to someone for something that they brought for me"
"WCLS08976","Sending money to utility companies because they take part of your paycheck every month."
"WCLS08977","Sending money to wife"
"WCLS08978","sending my boyfriend money for a costa"
"WCLS08979","sending my daughter bits of money to spend on her game"
"WCLS08980","sending my partner something from amazon"
"WCLS08981","sending my sister money for a meal deal"
"WCLS08982","sending nmy sister money"
"WCLS08983","Sending over money for something I have bought online via facebook"
"WCLS08984","sending pocket money"
"WCLS08985","Sending someone a bit extra to cheer them up."
"WCLS08986","Sending someone a fee for money that they owe you."
"WCLS08987","sending someone money just because"
"WCLS08988","Sending the other person £800 to help towards bills"
"WCLS08989","Sending the zero transfer of money is like the case of an individual retaining all the resources in his or her hands just like a worker who was given a bonus at work but not a single cent of that bonus is shared with the other employee who was in the background making the whole thing possible."
"WCLS08990","Sending them money for food"
"WCLS08991","Sending your friend money for a purchase they made for both of you."
"WCLS08992","Sending your nephew a birthday gift."
"WCLS08993","Seriously, I can't put myself in a situation where I decrease the value by 33%. I don't know a comparable life experience or even a fictional one, that this relates to."
"WCLS08994","Setting a low price to ensure a sale."
"WCLS08995","setting a reasonable price"
"WCLS08996","Setting price upward by half. Like raising my store prices due to tariffs"
"WCLS08997","Setting the bar lower"
"WCLS08998","Setting the price at -8 is comparable to accepting to sell something with a huge discount on it compared to its price as a person giving a friend a huge discount on a product or service or making a deal more acceptable."
"WCLS08999","setting the price for a book you are selling on kdp to increase your profit"
"WCLS09000","Setting up a direct debit"
"WCLS09001","settling up a bill equally"
"WCLS09002","Share the money evenly"
"WCLS09003","Shared and item of food and you're paying them the split fee"
"WCLS09004","shared equally"
"WCLS09006","sharing 1/3 of what i have with other person"
"WCLS09007","sharing 2/3 of what i have"
"WCLS09008","sharing 33% of the payout with the other person"
"WCLS09009","Sharing 50/50 with a friend as this is the fairest solution"
"WCLS09010","Sharing a bag of sweets equally with a friend"
"WCLS09011","Sharing a bag of sweets evenly"
"WCLS09012","sharing a bill in a restaurant"
"WCLS09013","sharing a bill that comes out to $12"
"WCLS09014","sharing a bit of food with someone else but keeping most for yourself"
"WCLS09015","Sharing a bonus eg. You decide to give part of your earnings or reward to a colleague or friend, enough to help them but not all of it. its a moderate compromise"
"WCLS09016","Sharing a bonus on a lottery ticket. Using that money to treat us both to something small but nice like a cake or a coffee."
"WCLS09017","sharing a bonus to even things out"
"WCLS09018","sharing a bonus to make things a bit more fair"
"WCLS09019","Sharing a box of chocolates"
"WCLS09020","Sharing a cake between 2 people equally so all is fair"
"WCLS09021","Sharing a cake equally."
"WCLS09022","Sharing a cake with someone"
"WCLS09023","Sharing a cake."
"WCLS09024","Sharing a find of money in a wood"
"WCLS09025","Sharing a gift with a friend"
"WCLS09026","Sharing a little bit but keeping more than what is being shared"
"WCLS09027","Sharing a little bit of money with charity."
"WCLS09028","Sharing a little bit of my wealth."
"WCLS09029","Sharing a little less than half of what you have with someone who has nothing"
"WCLS09030","sharing a little of what i have"
"WCLS09031","Sharing a little of what you have while still ensuring you have more."
"WCLS09032","Sharing a little of your money"
"WCLS09033","Sharing a little to make the split more balanced."
"WCLS09034","sharing a little with someone"
"WCLS09035","Sharing a lot of my snack because I know my friend is hungrier than I am."
"WCLS09036","Sharing a lottery win that you have both contributed to. So only fair to divide by 2."
"WCLS09037","sharing a meal with friends and paying more than someone else"
"WCLS09038","Sharing a meal with someone. We would now be even both ways and splitting the payment equally so it would all seem fair."
"WCLS09039","Sharing a minimal amount"
"WCLS09040","Sharing a payment I got for something that I did equally with someone else"
"WCLS09041","sharing a pie that was cut into two equal portions"
"WCLS09042","Sharing a piece of cake over coffee"
"WCLS09043","sharing a portion of my sandwich"
"WCLS09044","Sharing a pot of money equally, or both me and my friend winning a bet on the same outcome"
"WCLS09045","Sharing a prize"
"WCLS09046","Sharing a prize with a random prize with no incentive to share."
"WCLS09047","Sharing a quarter of the earnings."
"WCLS09048","Sharing a reward with a partner who contributed to my project but did not receive any recognition"
"WCLS09049","Sharing a reward with an equal partner"
"WCLS09050","sharing a round pizza"
"WCLS09051","sharing a sandwich with a friend who's forgot their lunch"
"WCLS09052","Sharing a slice of cake with a friend."
"WCLS09053","Sharing a small amount of my pay"
"WCLS09054","Sharing a small amount with others."
"WCLS09055","Sharing a small portion of something you own with a friend. Lending a friend a few dollars for coffee even though you both have some money. It's a modest act of generosity without giving up too much."
"WCLS09056","sharing a small portion of your lunch with a friend, giving a bit extra but not the full amount, reflecting modest generosity."
"WCLS09057","Sharing a small team reward for coffee"
"WCLS09058","Sharing a small win on a lottery."
"WCLS09059","Sharing a third of what I have with others."
"WCLS09060","sharing a third, a bit like when i share a chocolate bar with my other half"
"WCLS09061","Sharing a tip for a job with my coworker who was serving the same customer at a restaurant."
"WCLS09062","Sharing a tip with a coworker."
"WCLS09063","Sharing after finding money"
"WCLS09064","Sharing alike, probably the ethical thing to do, assuming that we would share that - however 1/10 getting the bonus it's not that simple - it's not equitable."
"WCLS09065","Sharing all of the money made between the two of you, similar to being a part of a company"
"WCLS09066","Sharing an allocation of money so we both have the same"
"WCLS09067","sharing an amount of money with a friend"
"WCLS09068","Sharing an equal amount"
"WCLS09069","Sharing and being equal."
"WCLS09070","sharing and being fair"
"WCLS09071","sharing and being generous"
"WCLS09072","Sharing and caring"
"WCLS09073","sharing and ensuring they have something. I would only lose 1/3 of my money"
"WCLS09074","Sharing as part of a coupe, where my partner and I would share the money equally."
"WCLS09075","Sharing as part of a family, where I would give my kids the lions share of the payment."
"WCLS09076","Sharing between siblings"
"WCLS09077","Sharing but over giving as they will be better off than me"
"WCLS09078","Sharing cost of a meal"
"WCLS09079","sharing costs"
"WCLS09080","sharing earnings with a partner in a task"
"WCLS09081","Sharing earnings with my husband, whereby all of our money is shared out for us both to spend as we like,"
"WCLS09082","Sharing equal and fairly"
"WCLS09084","Sharing equally all funds"
"WCLS09085","sharing equally and fairly"
"WCLS09086","Sharing equally and making it fair."
"WCLS09087","sharing equally half and half"
"WCLS09088","Sharing equally is what should be done and makes this fair for everyone."
"WCLS09089","Sharing equally the profit."
"WCLS09090","Sharing equally to be fair."
"WCLS09091","Sharing equally with a good friend."
"WCLS09092","Sharing equally with a partner or friend"
"WCLS09093","Sharing equally with a peer."
"WCLS09094","Sharing equally with others."
"WCLS09095","Sharing equally would be similar to just giving half like you do when you are a child."
"WCLS09097","Sharing everything equally."
"WCLS09098","sharing everything i have down the middle"
"WCLS09099","sharing fairly - but that depends on what we do"
"WCLS09100","Sharing fairly as I was brought up to do by my parents"
"WCLS09101","Sharing fairly with someone doing the same job."
"WCLS09102","sharing finances equally and both paying for your own bills separately."
"WCLS09103","sharing finances equally with my parenter."
"WCLS09104","Sharing food between family members"
"WCLS09105","Sharing food e.g., at a family meal so that everyone has the same amount."
"WCLS09106","sharing food equally so both people have the same amount"
"WCLS09107","Sharing food with a dieting friend."
"WCLS09108","Sharing food with a hungry child."
"WCLS09109","Sharing food with someone"
"WCLS09110","sharing generously and crediting the other participant for their contribution"
"WCLS09111","sharing gift with one's younger sibling"
"WCLS09112","sharing half is very fair"
"WCLS09113","sharing half my pizza"
"WCLS09114","Sharing half my profits with someone"
"WCLS09115","Sharing half of a pizza"
"WCLS09116","Sharing half of money with my partner"
"WCLS09117","Sharing half of my money would would be kind."
"WCLS09118","sharing half of my sandwich"
"WCLS09119","Sharing half of ones food to show fairness"
"WCLS09120","sharing half of what i have"
"WCLS09121","Sharing half of what I have to a stranger could be considered generous"
"WCLS09122","Sharing half of what I have."
"WCLS09123","Sharing half of what you have to someone who does not have"
"WCLS09124","sharing half of your wealth to benefit someone with nothing."
"WCLS09125","sharing half with a family member"
"WCLS09126","Sharing household expenses with my partner - I alway seem to pay the most."
"WCLS09128","Sharing is caring again! Although in this instance the sharing comes a bit harder."
"WCLS09129","Sharing is caring! This is being very generous."
"WCLS09130","sharing it between me and my two children equally"
"WCLS09131","sharing it eaqualy as friends"
