v_id,text
V18,"Miriam has a savings account with some dollars and should decide how many to send to Roberto, who invests the dollars at a 300% return and then decides how much to return to Miriam. Miriam says that splitting her savings account equally is fair, so she sends half to Roberto. Roberto returns a fair share of his investment output, so both people gain from the investment."
V19,"Firms A and B are matched on an online platform for a one-time joint project. Firm A can send project funds to Firm B, which uses them to generate 300% returns and then chooses how much to send back. Firm A sees a terrific opportunity to generate high joint returns, so it sends a large share of the funds. Firm B generates the extra returns but sends nothing back to Firm A, so only firm B benefits from the investment."
V20,"A local theater offers some concert credits to two friends, Elena and Paolo, who must jointly decide whether to accept the credits. Elena proposes a 50:50 split arguing it's the fair outcome. Paolo accepts the offer, so they obtain the credits."
V21,"Two firms can undertake a joint project, but first they need to agree on how to split future profits. One firm argues that this is a terrific opportunity for both, so proposes an equal split. The other firm does not accept, arguing that their share of profit is too low. Thus, no profit is realized."
V22,Giovanni receives the reward from a project he completed with Paola and decides how much of it to give her. Giovanni gives Paola a substantial share so that both benefit from the returns of their joint work.
V23,"Chiara and Stefano have access to a set of production credits, but only if they agree on a division. Chiara argues that this is a great profit opportunity for both, and proposes to reap it with an equal split with Stefano. Stefano rejects, deeming his share too low. The credits are lost."
V24,"Firms A and B are matched anonymously on an online platform for a one-time project. Firm A can send part of its funds to Firm B, which uses them to generate 300% returns and then chooses how much to pay back. Firm A is worried that Firm B might pay nothing back, so, to protect its own payoff, it sends only a small amount. Firm B generates the extra returns but sends nothing back to Firm A, so only firm B gains from the investment."
V25,"Firm A receives a payment from an online platform. It must now decide how much to send to Firm B, which can reinvest at a 300% return. Firm A says that sending half of the initial payment is fair. Firm B invests the money and keeps all returns from the investment, so only Firm B gains from the investment."
V26,"Firms A and B are matched on an online platform for a one-time joint project. Firm A can send project funds to Firm B, which uses them to generate 300% returns and then chooses how much to send back. Firm A sees a terrific opportunity to generate high joint returns, so it sends a large share of the funds. Firm B generates the extra returns and sends a substantial payment back to Firm A, so they both gain from the investment."
V27,"Luca and Giulia can receive a set of event credits if they agree on a division. Luca values the credit very much, and proposes to keep most to for himself leaving just a few to Giulia, to make sure she accepts. Giulia accepts the proposal, so the credits are paid."
V28,"Firm A received a transaction bonus from an online platform for completing an order with the platform. The manager of firm A splits the bonus with firm B, its input supplier. It is fair to do so, she thinks."
V29,"Miriam has a savings account with some dollars and decides how many to send to Roberto, who invests the dollars at a 300% return and then decides how much to return to Miriam. Miriam says that splitting her savings account equally is fair, so she sends half to Roberto.  Roberto keeps all the investment output, so he is the only one to gain from the investment."
V30,"Nicola can send part of his funds to Beatrice for a project that generates 300% returns, after which Beatrice chooses how much to pay back. Nicola is worried that Beatrice might pay him nothing, so, to protect his own payoff, he sends only a small amount. Beatrice generates the extra returns but sends nothing back to Nicola, so only Beatrice gains from the investment."
