vignette_id,structure,sender_category,sender_action,receiver_action,setting,relationship,text
UG-M-C-D-P,UG,Moral,C,D,individual,unfamiliar,"Two unfamiliar finalists are jointly awarded a fixed travel grant. Under the grant rules, Daniel proposes a division and Leila either accepts it or sends the entire grant back to the foundation. Daniel says that people selected on equal terms should be treated comparably and offers Leila forty-five percent. Leila rejects the proposal, so neither finalist receives any of the grant."
UG-M-C-D-K,UG,Moral,C,D,market,anonymous,"A digital platform and an independent contractor qualify for a fixed completion bonus. The platform chooses a proposed division; the contractor may accept, or reject and cause the bonus to expire for both sides. The platform manager says the contractor should receive an equitable share and offers forty-five percent. The contractor rejects the offer, and the bonus is withdrawn in full."
UG-M-D-C-P,UG,Moral,D,C,individual,known,"Eva and a longtime friend receive a fixed prize for a project, but Eva alone must propose its division. Her friend may accept the proposal or reject it, in which case the prize is forfeited by both. Eva says she carried the legal responsibility and therefore ought to receive most of the prize. She offers her friend fifteen percent. The friend accepts, and the unequal division is implemented."
UG-M-D-C-K,UG,Moral,D,C,market,ongoing,"A lead contractor and a regular supplier are due a fixed performance payment. The contractor proposes a split, and the supplier can accept it or reject it and lose the payment for both firms. The contractor's director says bearing the warranty obligation entitles his firm to the larger share and offers the supplier twenty percent. The supplier accepts, so the payment is divided as proposed."
UG-M-D-D-P,UG,Moral,D,D,individual,unfamiliar,"A museum offers two finders a fixed reward for returning a lost object. Amir must propose how to divide it, while the other finder can accept or reject; rejection cancels the reward entirely. Amir says the person who physically recovered the object is rightfully entitled to nearly all of it and offers the other finder ten percent. She rejects, and neither receives the reward."
UG-M-D-D-K,UG,Moral,D,D,market,anonymous,"Two firms qualify for a fixed innovation award, with the patent holder required to propose a division. The other firm can accept or reject, and rejection returns the award to the sponsor. The patent holder's manager says ownership of the underlying invention justifies retaining ninety percent. The other firm rejects the proposal, and both lose access to the award."
UG-S-C-C-P,UG,Self-interest,C,C,individual,known,"Marco and his former roommate are offered a fixed cash payment if they agree on its division. Marco makes the proposal; rejection eliminates the payment for both. Marco wants to secure a sizeable payment for himself without risking the entire opportunity, so he proposes an even split. His former roommate accepts, and Marco receives half of the available money."
UG-S-C-C-K,UG,Self-interest,C,C,market,ongoing,"An event organizer and a catering company can divide a fixed cancellation settlement only if they accept one proposed split. The organizer proposes the terms, while rejection voids the settlement. Wanting to lock in its own payment and avoid losing everything, the organizer offers the caterer half. The catering company accepts, and both firms receive their respective halves."
UG-S-C-D-P,UG,Self-interest,C,D,individual,unfamiliar,"A competition pairs two strangers for a fixed team prize. Helena proposes how to divide it, and the other participant can accept or reject; rejection leaves both with nothing. Helena wants a secure positive payoff and therefore offers the other participant half of the prize. He nevertheless rejects the proposal, so Helena and the other participant both receive zero."
UG-S-C-D-K,UG,Self-interest,C,D,market,anonymous,"A one-time buyer and seller are offered a fixed platform rebate if they agree on its allocation. The buyer proposes the split, and rejection makes the rebate expire. The buyer wants to preserve a substantial rebate for itself and proposes an equal division to facilitate agreement. The seller rejects the proposal, and neither business receives any rebate."
UG-S-D-C-P,UG,Self-interest,D,C,individual,known,"Giulia and a cousin can receive a fixed referral reward if they agree on its division. Giulia makes the offer, and rejection cancels the reward for both. She focuses on keeping as much money as possible and offers her cousin only ten percent. The cousin accepts, so Giulia receives ninety percent and her cousin receives the small amount offered."
UG-S-D-C-K,UG,Self-interest,D,C,market,ongoing,"A property agency and its regular photographer qualify for a fixed sales bonus. The agency proposes a split; if the photographer rejects, the bonus expires for both. The agency's owner wants to retain the largest possible amount and offers the photographer fifteen percent. The photographer accepts, and the agency receives the remaining eighty-five percent."
UG-S-D-D-P,UG,Self-interest,D,D,individual,unfamiliar,"Two strangers win a fixed sum in a joint puzzle round. Theo must propose a split, and the other winner can accept it or reject and eliminate the prize. Theo concentrates on maximizing his own share and offers the other winner five percent. She rejects the proposal, so the organizer keeps the entire prize and both winners receive nothing."
UG-S-D-D-K,UG,Self-interest,D,D,market,anonymous,"A marketplace offers two businesses a fixed dispute-resolution credit, conditional on their accepting one allocation. The larger business proposes the split and offers the smaller vendor five percent because it wants almost the entire credit. The vendor rejects. Under the marketplace rule, the credit then expires rather than being paid to either business."
UG-C-C-C-P,UG,Cooperation,C,C,individual,known,"Two friends are promised a fixed grant for a neighborhood project if they agree on its allocation. Alice proposes a split, while Bruno may accept or reject; rejection cancels the grant. Alice wants both parts of their project to remain viable and offers Bruno half of the funds. Bruno accepts, and each receives enough to carry out the planned work."
UG-C-C-C-K,UG,Cooperation,C,C,market,ongoing,"A manufacturer and a regular installer are due a fixed project margin that is paid only if they agree on its division. The manufacturer proposes a nearly equal split so both firms can cover their work and continue delivering together. The installer accepts the proposal, and the fixed margin is paid to the two firms according to that division."
UG-C-C-D-P,UG,Cooperation,C,D,individual,unfamiliar,"Two unfamiliar residents qualify for a fixed community budget if they agree on its division. Fatima proposes equal amounts because she wants both proposed activities to proceed. The other resident has the right to accept or reject, with rejection returning all funds to the council. He rejects the equal split, so neither activity receives any money."
UG-C-C-D-K,UG,Cooperation,C,D,market,anonymous,"Two unfamiliar startups qualify for a fixed shared-service credit. One startup proposes an equal division so that both can operate compatible parts of a pilot. The second startup may accept or reject, and rejection makes the credit expire for both. It rejects the proposal, leaving neither startup with the service credit."
UG-C-D-C-P,UG,Cooperation,D,C,individual,known,"Samira and a friend can use a fixed production fund only if they accept one division. Samira proposes keeping eighty percent because her workshop contains the equipment needed for both parts of their shared exhibition, and she says concentrating the budget there will keep the overall plan workable. Her friend accepts the proposal, so Samira receives eighty percent and the friend receives twenty percent."
UG-C-D-C-K,UG,Cooperation,D,C,market,ongoing,"A lead engineering firm and a specialist partner must agree on a fixed project reserve. The lead firm proposes retaining eighty percent because centralizing purchases through its facility will support both firms' tasks. Rejection would cancel the reserve for both. The specialist accepts, and the reserve is divided according to the strongly unequal proposal."
UG-C-D-D-P,UG,Cooperation,D,D,individual,unfamiliar,"Two musicians who have not worked together are offered a fixed recording budget if they accept one allocation. Noor proposes keeping eighty-five percent because the recording equipment is located at her studio and she says concentrating spending there would support a single coordinated session. The other musician rejects the proposal. The sponsor then withdraws the entire budget from both."
UG-C-D-D-K,UG,Cooperation,D,D,market,anonymous,"A prime contractor and an unfamiliar subcontractor qualify for a fixed implementation fund. The prime contractor proposes retaining eighty-five percent, explaining that one centralized purchasing plan would prevent incompatible orders. The subcontractor can accept or reject, and rejection cancels the fund for both. It rejects, so neither company receives any of the implementation money."
TG-M-C-C-P,TG,Moral,C,C,individual,known,"Clara receives ten credits that she may send to a longtime neighbor running a community stall. Every credit sent is tripled by a matching program, after which the neighbor decides how much of the resulting amount to return. Clara says helping someone who has supported the neighborhood is the right thing to do and sends eight credits. The neighbor returns twelve of the twenty-four generated credits to Clara."
TG-M-C-C-K,TG,Moral,C,C,market,ongoing,"A wholesaler can advance inventory worth ten units to a regular independent retailer. Each unit advanced produces three units of sales revenue, which the retailer controls before deciding what to repay. The wholesaler's director says a reliable partner deserves meaningful support and advances eight units. After the sales occur, the retailer returns twelve of the twenty-four revenue units to the wholesaler."
TG-M-C-D-P,TG,Moral,C,D,individual,unfamiliar,"Marta controls ten emergency tokens that can be transferred to an unfamiliar resident. A relief program triples any transferred tokens, and the resident then decides how many to return. Marta says people facing an urgent need should receive substantial help and sends eight tokens. The program turns them into twenty-four, but the resident keeps all twenty-four and returns nothing to Marta."
TG-M-C-D-K,TG,Moral,C,D,market,anonymous,"A supplier can provide ten units of stock on consignment to a new online retailer. Every unit supplied produces three units of sales proceeds, after which the retailer determines the repayment. The supplier's manager says small entrants deserve a genuine opportunity and provides eight units. The retailer earns twenty-four units of proceeds and retains all of them, returning nothing to the supplier."
TG-M-D-C-P,TG,Moral,D,C,individual,known,"A youth club gives Pietro ten fundraising tokens that he may transfer to a friend organizing an event. Transferred tokens are tripled by a sponsor, and the friend then chooses how many to return. Pietro says his first duty is to safeguard resources assigned to his own club, so he sends only two tokens. They become six, and his friend returns three tokens to Pietro."
TG-M-D-C-K,TG,Moral,D,C,market,ongoing,"A cooperative controls ten crates that it may consign to a member shop. Each consigned crate generates three revenue units, after which the shop decides the repayment. The cooperative's manager says she has a duty to protect stock belonging to all members and releases only two crates. The shop generates six revenue units and returns three to the cooperative."
TG-M-D-D-P,TG,Moral,D,D,individual,unfamiliar,"Elisa has ten matching-fund coupons and may transfer some to an unfamiliar applicant. Each transferred coupon becomes three usable credits, after which the applicant decides what to return. Elisa says limited community resources should go mainly to applicants who have completed the full requirements, so she sends this applicant only two coupons. They become six credits; the applicant keeps all six."
TG-M-D-D-K,TG,Moral,D,D,market,anonymous,"An industry fund controls ten seed units that it may place with a newly registered vendor. Each unit placed produces three revenue units, after which the vendor decides how much to repay. The fund manager says equal-treatment rules require limiting support to firms without a verified record and places only two units. The vendor generates six units and returns none."
TG-S-C-C-P,TG,Self-interest,C,C,individual,known,"Jonas has ten credits that he can place with a former classmate selling handmade goods. Each credit placed produces three credits of sales proceeds, and the classmate then decides what to return. Jonas wants the largest possible return from the opportunity and transfers eight credits. After receiving twenty-four credits in proceeds, the classmate sends twelve back to Jonas."
TG-S-C-C-K,TG,Self-interest,C,C,market,ongoing,"An investment company can supply ten units of working capital to a familiar merchant. Each unit supplied generates three units of trading proceeds, which the merchant controls before making a repayment. The company wants to earn a sizeable return and supplies eight units. The merchant produces twenty-four units and transfers twelve of them back to the company."
TG-S-C-D-P,TG,Self-interest,C,D,individual,unfamiliar,"A visitor at a makers' fair has ten material credits that can be placed with an unfamiliar craft seller. Each transferred credit creates three credits of sale proceeds, after which the seller controls any return payment. Seeking a large personal payoff, the visitor transfers eight credits. The seller receives twenty-four credits in proceeds and keeps all of them, returning nothing."
TG-S-C-D-K,TG,Self-interest,C,D,market,anonymous,"A financing platform can advance ten units to an unfamiliar online merchant. Each advanced unit yields three units of transaction revenue, and the merchant then controls how much to repay. The platform allocates eight units in pursuit of a large financial return. The merchant generates twenty-four revenue units but retains the full amount and repays nothing."
TG-S-D-C-P,TG,Self-interest,D,C,individual,known,"Chiara owns ten tokens that she may place with a neighbor's food stand. Each token placed becomes three revenue tokens, after which the neighbor decides what to send back. Chiara wants to limit how much of her own balance is exposed and transfers only two tokens. The stand generates six tokens, and the neighbor returns three of them to Chiara."
TG-S-D-C-K,TG,Self-interest,D,C,market,ongoing,"A lender can advance ten inventory units to a regular shop, with every advanced unit producing three revenue units. The shop controls the proceeds and then decides the repayment. The lender focuses on limiting its exposure and advances only two units. The shop generates six revenue units and returns three to the lender."
TG-S-D-D-P,TG,Self-interest,D,D,individual,unfamiliar,"Ravi has ten game credits that he may place with an unfamiliar stallholder. Each credit placed produces three credits of proceeds, after which the stallholder chooses how much to return. Ravi wants to keep most of his credits safely under his own control and transfers only two. The stallholder receives six credits in proceeds and keeps all six."
TG-S-D-D-K,TG,Self-interest,D,D,market,anonymous,"A one-time financier controls ten units that can be advanced to an unfamiliar seller. Every advanced unit creates three units of revenue, and the seller then determines the repayment. To minimize its exposure, the financier advances only two units. The seller generates six revenue units and retains the entire amount, making no repayment."
TG-C-C-C-P,TG,Cooperation,C,C,individual,known,"Aisha has ten supply tokens that she can transfer to a friend running the other half of a shared festival booth. Each transferred token creates three units of booth revenue, after which the friend decides what to return. Aisha wants both sides of the booth to operate as one workable project and sends eight tokens. Her friend generates twenty-four units and returns twelve to Aisha."
TG-C-C-C-K,TG,Cooperation,C,C,market,ongoing,"A producer can advance ten input units to a regular distributor. Each unit advanced creates three units of sales proceeds, which the distributor controls before deciding the repayment. The producer wants their linked operations to grow together and advances eight units. The distributor generates twenty-four units and returns twelve, leaving both firms with resources from the transaction."
TG-C-C-D-P,TG,Cooperation,C,D,individual,unfamiliar,"Leo controls ten equipment credits and may transfer them to an unfamiliar participant responsible for the second stage of a joint workshop. Each credit transferred produces three credits of workshop revenue, after which the participant decides what to return. Leo sends eight credits so both stages can function together. The participant generates twenty-four credits but keeps all of them."
TG-C-C-D-K,TG,Cooperation,C,D,market,anonymous,"A manufacturer can advance ten components to an unfamiliar assembler. Each component advanced creates three revenue units from completed products, and the assembler then controls the repayment. The manufacturer provides eight components to make an integrated production run possible. The assembler generates twenty-four revenue units and retains the full amount without returning any."
TG-C-D-C-P,TG,Cooperation,D,C,individual,known,"Dario has ten resource tokens that he may transfer to a friend beginning one part of a shared project. Each transferred token becomes three project credits, after which the friend decides what to return. Dario says they should build the arrangement gradually so their plans remain coordinated and sends only two tokens. They become six credits, and his friend returns three."
TG-C-D-C-K,TG,Cooperation,D,C,market,ongoing,"A supplier can consign ten units to a regular retailer, with each unit producing three revenue units. The retailer controls the proceeds and later determines the repayment. The supplier chooses a limited first shipment of two units so the firms can coordinate their systems gradually. The retailer generates six units and returns three to the supplier."
TG-C-D-D-P,TG,Cooperation,D,D,individual,unfamiliar,"Yara controls ten materials credits and may transfer some to an unfamiliar partner in a two-stage community project. Each transferred credit creates three project credits, after which the partner controls any return. Yara sends only two credits because she wants to test a small coordinated first stage before linking the full plans. The partner receives six credits and keeps all six."
TG-C-D-D-K,TG,Cooperation,D,D,market,anonymous,"A wholesaler can provide ten inventory units to a new marketplace retailer. Each unit provided creates three revenue units, and the retailer then determines the repayment. The wholesaler sends a limited first batch of two units so the firms can begin aligning their operations without committing the full stock. The retailer generates six revenue units and returns none."
